회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원
(주)고영테크놀러지,98460,Dec-16,0,0,315
(주)고영테크놀러지,98460,Dec-17,0,0,340
(주)고영테크놀러지,98460,Dec-18,0,0,408
(주)고영테크놀러지,98460,Dec-19,0,0,473
(주)골드앤에스,35290,Dec-11,0,0,161
(주)골드앤에스,35290,Dec-12,0,0,157
(주)골드앤에스,35290,Dec-13,0,0,114
(주)골드앤에스,35290,Dec-14,0,0,74
(주)골드앤에스,35290,Dec-15,0,0,52
(주)골드앤에스,35290,Dec-16,0,0,60
(주)골드앤에스,35290,Dec-17,0,0,47
(주)골드앤에스,35290,Dec-18,6312785,6312785,61
(주)골드앤에스,35290,Dec-19,5041785,5041785,49
(주)골드퍼시픽,38530,Dec-11,,8735073,59
(주)골드퍼시픽,38530,Dec-12,,8806771,70
(주)골드퍼시픽,38530,Dec-13,9852362,9148493,56
(주)골드퍼시픽,38530,Dec-14,23218426,9462293,22
(주)골드퍼시픽,38530,Dec-15,9384643,9384643,45
(주)골드퍼시픽,38530,Dec-16,,8456317,96
(주)골드퍼시픽,38530,Dec-17,,1187,30
(주)골드퍼시픽,38530,Dec-18,1,1,26
(주)골드퍼시픽,38530,Dec-19,,1,56
(주)골프존,215000,Dec-15,15246397,14772092,266
(주)골프존,215000,Dec-16,8489191,8016159,280
(주)골프존,215000,Dec-17,6366433,5302425,244
(주)골프존,215000,Dec-18,10750003,9375475,470
(주)골프존,215000,Dec-19,23070705,21081631,398
(주)골프존뉴딘홀딩스,121440,Dec-11,3740999,2137988,440
(주)골프존뉴딘홀딩스,121440,Dec-12,6741088,4325719,563
(주)골프존뉴딘홀딩스,121440,Dec-13,9468630,6257588,459
(주)골프존뉴딘홀딩스,121440,Dec-14,14665169,11868301,417
(주)골프존뉴딘홀딩스,121440,Dec-15,5486432,929229,142
(주)골프존뉴딘홀딩스,121440,Dec-16,4811532,1279019,164
(주)골프존뉴딘홀딩스,121440,Dec-17,3866859,1152613,114
(주)골프존뉴딘홀딩스,121440,Dec-18,1045111,1007080,57
(주)골프존뉴딘홀딩스,121440,Dec-19,3905950,1063694,42
(주)광림,14200,Dec-11,,4936148,199
(주)광림,14200,Dec-12,,5018088,194
(주)광림,14200,Dec-13,,4996916,217
(주)광림,14200,Dec-14,53846653,4661089,217
(주)광림,14200,Dec-15,,5377868,237
(주)광림,14200,Dec-16,81201134,5131560,235
(주)광림,14200,Dec-17,19796653,5833221,225
(주)광림,14200,Dec-18,12732645,5716811,195
(주)광림,14200,Dec-19,11784102,5564962,187
(주)광명전기,17040,Dec-11,8654360,3462346,175
(주)광명전기,17040,Dec-12,3890671,3507146,179
(주)광명전기,17040,Dec-13,3897065,3524946,183
(주)광명전기,17040,Dec-14,5186446,4782027,193
(주)광명전기,17040,Dec-15,5547126,4881827,195
(주)광명전기,17040,Dec-16,5239441,5001034,201
(주)광명전기,17040,Dec-17,6367073,6126867,190
(주)광명전기,17040,Dec-18,19907021,6337047,192
(주)광명전기,17040,Dec-19,6618653,6364047,194
(주)광무,29480,Dec-11,7156944,6974848,152
(주)광무,29480,Dec-12,5362621,5209598,132
(주)광무,29480,Dec-13,5389067,5236044,37
(주)광무,29480,Dec-14,,1294681,109
(주)광무,29480,Dec-15,,898034,106
(주)광무,29480,Dec-16,,898035,110
(주)광무,29480,Dec-17,,746596,117
(주)광무,29480,Dec-18,746596,746596,122
(주)광무,29480,Dec-19,746596,746596,129
(주)광주신세계,37710,Dec-11,,0,310
(주)광주신세계,37710,Dec-12,,0,292
(주)광주신세계,37710,Dec-13,,0,394
(주)광주신세계,37710,Dec-14,,0,389
(주)광주신세계,37710,Dec-15,,0,373
(주)광주신세계,37710,Dec-16,,0,363
(주)광주신세계,37710,Dec-17,,0,348
(주)광주신세계,37710,Dec-18,,0,340
(주)광주신세계,37710,Dec-19,,0,174
(주)구영테크,53270,Dec-11,80827831,37205247,191
(주)구영테크,53270,Dec-12,82735751,41385696,216
(주)구영테크,53270,Dec-13,88685816,44353453,266
(주)구영테크,53270,Dec-14,97627792,44522736,291
(주)구영테크,53270,Dec-15,105499964,44903404,286
(주)구영테크,53270,Dec-16,111603833,46726832,284
(주)구영테크,53270,Dec-17,107248930,48487619,303
(주)구영테크,53270,Dec-18,131087665,65379682,283
(주)구영테크,53270,Dec-19,111814117,73606016,248
(주)국동,5320,Dec-11,20811390,0,69
(주)국동,5320,Dec-12,20377290,0,60
(주)국동,5320,Dec-13,18620573,0,65
(주)국동,5320,Dec-14,22742640,0,67
(주)국동,5320,Dec-15,24776004,0,73
(주)국동,5320,Dec-16,31674909,0,72
(주)국동,5320,Dec-17,29710414,0,73
(주)국동,5320,Dec-18,31775272,0,85
(주)국동,5320,Dec-19,34799500,0,80
(주)국보,1140,Dec-11,5137651,5137651,192
(주)국보,1140,Dec-12,5137651,5137651,176
(주)국보,1140,Dec-13,5183351,5183351,173
(주)국보,1140,Dec-14,3498166,3498166,170
(주)국보,1140,Dec-15,198767,198767,184
(주)국보,1140,Dec-16,198767,198767,142
(주)국보,1140,Dec-17,198767,198767,127
(주)국보,1140,Dec-18,47567,47567,123
(주)국보,1140,Dec-19,47567,47567,136
(주)국보디자인,66620,Dec-11,69446,69446,266
(주)국보디자인,66620,Dec-12,69446,69446,265
(주)국보디자인,66620,Dec-13,69446,69446,285
(주)국보디자인,66620,Dec-14,69446,69446,285
(주)국보디자인,66620,Dec-15,74246,74246,302
