회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-19,28732679,5897430,28732679,5897430
(주)경농,2100,Dec-11,121253605,9818596,120728258,9714905
(주)경농,2100,Dec-12,136970449,18805441,131021366,11173839
(주)경농,2100,Dec-13,196358952,22766814,139237273,13260133
(주)경농,2100,Dec-14,188483147,26488328,134806677,15336315
(주)경농,2100,Dec-15,196418710,29950451,137609256,19475979
(주)경농,2100,Dec-16,203984939,33292892,143209666,20474340
(주)경농,2100,Dec-17,206534382,34293741,143175105,21342674
(주)경농,2100,Dec-18,212654617,34470614,146216658,24098405
(주)경농,2100,Dec-19,227510941,34654361,151342037,22948270
(주)경동나비엔,9450,Dec-11,341246917,36210869,318269213,45321567
(주)경동나비엔,9450,Dec-12,379014259,37720771,341339118,52865768
(주)경동나비엔,9450,Dec-13,414177562,38993744,371601179,56666418
(주)경동나비엔,9450,Dec-14,428985365,41167793,382392117,77167697
(주)경동나비엔,9450,Dec-15,512031120,40720959,448302084,80824192
(주)경동나비엔,9450,Dec-16,583252904,51051560,506082201,85914718
(주)경동나비엔,9450,Dec-17,684660958,78968890,569819524,99173501
(주)경동나비엔,9450,Dec-18,726741615,94866914,618058456,120493677
(주)경동나비엔,9450,Dec-19,774290704,96284740,655419303,143343920
(주)경동도시가스,267290,Dec-17,871548284,263647773,870828897,263643633
(주)경동도시가스,267290,Dec-18,1606531867,249114243,1605687067,249117109
(주)경동도시가스,267290,Dec-19,1422707835,201864420,1421866212,201833997
(주)경동인베스트,12320,Dec-11,1847666903,352420975,1806174764,337190982
(주)경동인베스트,12320,Dec-12,2502642394,429513466,2403814656,413063519
(주)경동인베스트,12320,Dec-13,2788264380,377298441,2664100017,370673340
(주)경동인베스트,12320,Dec-14,2603059058,346363738,2399450987,306852953
(주)경동인베스트,12320,Dec-15,1604168482,258223845,1352478311,210450343
(주)경동인베스트,12320,Dec-16,1181902637,259424655,1021002691,205523295
(주)경동인베스트,12320,Dec-17,195069859,66718773,612436,65907
(주)경동인베스트,12320,Dec-18,228644016,56884735,7460898,842694
(주)경동인베스트,12320,Dec-19,271765025,63713573,8641051,844080
