회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),매출액(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),매출액(IFRS개별)
(주)강원랜드,35250,Dec-19,407868874,1520080449,408994810,1517612252
(주)강원에너지,114190,Nov-11,,,15102830,50222892
(주)강원에너지,114190,Dec-12,,,-3145103,106471214
(주)강원에너지,114190,Dec-13,,,16975955,50660659
(주)강원에너지,114190,Dec-14,,,-14600421,51481321
(주)강원에너지,114190,Dec-15,9499050,46188664,18555072,48852892
(주)강원에너지,114190,Dec-16,-15783876,42287473,-18630100,44448760
(주)강원에너지,114190,Dec-17,-3706818,82034829,-4605588,83113029
(주)강원에너지,114190,Dec-18,-10173085,85905365,-10047711,85905365
(주)강원에너지,114190,Dec-19,6960049,42549622,7013798,42549622
(주)갤럭시아에스엠,11420,Dec-11,5951394,47331427,3957763,31931418
(주)갤럭시아에스엠,11420,Dec-12,2801469,55049732,2596523,37398255
(주)갤럭시아에스엠,11420,Dec-13,4527179,46437304,-780292,30903637
(주)갤럭시아에스엠,11420,Dec-14,-70410,43885894,-1937620,33027933
(주)갤럭시아에스엠,11420,Dec-15,2451666,62472754,3007845,53784932
(주)갤럭시아에스엠,11420,Dec-16,-1195544,52626331,-1876676,45665676
(주)갤럭시아에스엠,11420,Dec-17,-7389242,37281280,-7384193,36917656
(주)갤럭시아에스엠,11420,Dec-18,-2809869,22060413,-2638766,22030258
(주)갤럭시아에스엠,11420,Dec-19,903569,28732679,825072,28732679
(주)경농,2100,Dec-11,14162963,121253605,14271710,120728258
(주)경농,2100,Dec-12,8796940,136970449,12031973,131021366
(주)경농,2100,Dec-13,18563319,196358952,16373126,139237273
(주)경농,2100,Dec-14,14706590,188483147,14226137,134806677
(주)경농,2100,Dec-15,-9854199,196418710,-9444978,137609256
(주)경농,2100,Dec-16,15996174,203984939,8683420,143209666
(주)경농,2100,Dec-17,15815332,206534382,14393946,143175105
(주)경농,2100,Dec-18,10607249,212654617,4624400,146216658
(주)경농,2100,Dec-19,-1020171,227510941,4392117,151342037
(주)경동나비엔,9450,Dec-11,15493744,341246917,12393396,318269213
(주)경동나비엔,9450,Dec-12,27648702,379014259,22554949,341339118
(주)경동나비엔,9450,Dec-13,20912632,414177562,20201422,371601179
(주)경동나비엔,9450,Dec-14,-13266158,428985365,-24009203,382392117
(주)경동나비엔,9450,Dec-15,43719574,512031120,36531813,448302084
(주)경동나비엔,9450,Dec-16,61333200,583252904,54602640,506082201
(주)경동나비엔,9450,Dec-17,20111583,684660958,13453817,569819524
(주)경동나비엔,9450,Dec-18,-14286091,726741615,-9553832,618058456
(주)경동나비엔,9450,Dec-19,78554868,774290704,38146715,655419303
(주)경동도시가스,267290,Dec-17,19371687,871548284,18774744,870828897
(주)경동도시가스,267290,Dec-18,120705226,1606531867,120320145,1605687067
(주)경동도시가스,267290,Dec-19,33973376,1422707835,33602896,1421866212
(주)경동인베스트,12320,Dec-11,88589199,1847666903,90136711,1806174764
