회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별)
(주)강원랜드,35250,Dec-16,1043222,1696532511,1037898.56,1694575212
(주)강원랜드,35250,Dec-17,1000137.64,1604470055,1011578.3,1602901764
(주)강원랜드,35250,Dec-18,833429.97,1438059299,846353.62,1436042435
(주)강원랜드,35250,Dec-19,908009,1520080449,906619.21,1517612252
(주)강원에너지,114190,Nov-11,,,12844.61,50222892
(주)강원에너지,114190,Dec-12,,,18760.61,106471214
(주)강원에너지,114190,Dec-13,,,12256.79,50660659
(주)강원에너지,114190,Dec-14,,,8510.74,51481321
(주)강원에너지,114190,Dec-15,7820.6,46188664,9171.31,48852892
(주)강원에너지,114190,Dec-16,8145.29,42287473,8913.55,44448760
(주)강원에너지,114190,Dec-17,687.17,82034829,713.82,83113029
(주)강원에너지,114190,Dec-18,11600.03,85905365,11569.08,85905365
(주)강원에너지,114190,Dec-19,-24497.97,42549622,-22522.15,42549622
(주)갤럭시아에스엠,11420,Dec-11,16289.29,47331427,14937.6,31931418
(주)갤럭시아에스엠,11420,Dec-12,11304.39,55049732,9721.11,37398255
(주)갤럭시아에스엠,11420,Dec-13,4540.45,46437304,3928.36,30903637
(주)갤럭시아에스엠,11420,Dec-14,5477.95,43885894,3400.02,33027933
(주)갤럭시아에스엠,11420,Dec-15,10705.78,62472754,10216.63,53784932
(주)갤럭시아에스엠,11420,Dec-16,5657.39,52626331,5013.27,45665676
(주)갤럭시아에스엠,11420,Dec-17,-161.81,37281280,-275.92,36917656
(주)갤럭시아에스엠,11420,Dec-18,-9771.55,22060413,-9601.87,22030258
(주)갤럭시아에스엠,11420,Dec-19,3529.68,28732679,3287.96,28732679
(주)경농,2100,Dec-11,26483.85,121253605,28809.42,120728258
(주)경농,2100,Dec-12,39063.56,136970449,32641.59,131021366
(주)경농,2100,Dec-13,53114.35,196358952,42493.74,139237273
(주)경농,2100,Dec-14,47327.34,188483147,38526.79,134806677
(주)경농,2100,Dec-15,46908.64,196418710,36680.28,137609256
(주)경농,2100,Dec-16,48243.41,203984939,37693.81,143209666
(주)경농,2100,Dec-17,55717.38,206534382,45275,143175105
(주)경농,2100,Dec-18,57945.41,212654617,47204.81,146216658
(주)경농,2100,Dec-19,55965.47,227510941,43823.04,151342037
(주)경동나비엔,9450,Dec-11,60669.23,341246917,50196.09,318269213
(주)경동나비엔,9450,Dec-12,68423.43,379014259,54692.56,341339118
(주)경동나비엔,9450,Dec-13,79237.85,414177562,55874.59,371601179
(주)경동나비엔,9450,Dec-14,80978.36,428985365,56282.59,382392117
(주)경동나비엔,9450,Dec-15,107704.21,512031120,76567.87,448302084
(주)경동나비엔,9450,Dec-16,141866.08,583252904,91445.07,506082201
(주)경동나비엔,9450,Dec-17,148016.16,684660958,88344.03,569819524
(주)경동나비엔,9450,Dec-18,164621.76,726741615,103466.23,618058456
(주)경동나비엔,9450,Dec-19,195347,774290704,119653.32,655419303
(주)경동도시가스,267290,Dec-17,,871548284,,870828897
