회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별)
(주)경동인베스트,12320,Dec-11,1847666903,1739469751,65635356,1806174764,1697470671,54876510
(주)경동인베스트,12320,Dec-12,2502642394,2381579037,71166413,2403814656,2292736954,59575728
(주)경동인베스트,12320,Dec-13,2788264380,2659198011,78526083,2664100017,2552976223,64435388
(주)경동인베스트,12320,Dec-14,2603059058,2470957525,84168488,2399450987,2293899450,67714190
(주)경동인베스트,12320,Dec-15,1604168482,1520436435,97030233,1352478311,1263722829,70357549
(주)경동인베스트,12320,Dec-16,1181902637,1064804018,88431091,1021002691,924418543,73040855
(주)경동인베스트,12320,Dec-17,195069859,140724518,17964879,612436,0,2869295
(주)경동인베스트,12320,Dec-18,228644016,171130400,18301003,7460898,3635575,3987138
(주)경동인베스트,12320,Dec-19,271765025,223338232,26467287,8641051,3929209,4807448
(주)경방,50,Dec-11,348136369,258814443,67262415,275746943,246411496,6758633
(주)경방,50,Dec-12,333620804,260837041,65529821,265409209,250600103,6568491
(주)경방,50,Dec-13,347189559,251468225,59689595,264782077,223418883,5461080
(주)경방,50,Dec-14,329036023,238357806,60060060,256979444,209067504,15816417
(주)경방,50,Dec-15,357628146,255868653,62797982,307744480,209467360,59647194
(주)경방,50,Dec-16,377445013,268352680,65655764,313876822,210095763,61204284
(주)경방,50,Dec-17,360788750,253442168,65037350,288103985,188372022,60320796
(주)경방,50,Dec-18,351438926,244043108,66416067,279085217,177815403,62297979
(주)경방,50,Dec-19,343892085,244396020,67475534,253552382,151563044,63022915
(주)경보제약,214390,Dec-15,,,,178032632,129475387,22924910
(주)경보제약,214390,Dec-16,,,,186726170,142622767,28509177
(주)경보제약,214390,Dec-17,,,,191661374,137038683,30036042
(주)경보제약,214390,Dec-18,,,,201343596,152082417,31994604
(주)경보제약,214390,Dec-19,,,,191706189,150990036,34522080
(주)경인양행,12610,Dec-11,233095049,198818643,27923263,128707611,109831813,16999541
(주)경인양행,12610,Dec-12,218604655,190167857,24795532,141304459,120613769,17683856
(주)경인양행,12610,Dec-13,260808400,217483383,32179075,183106757,147883856,23144838
(주)경인양행,12610,Dec-14,277181095,228191361,34896569,190395047,153646031,25778430
(주)경인양행,12610,Dec-15,263163677,220123025,36322519,175006703,148385606,26546410
(주)경인양행,12610,Dec-16,274873817,228042128,36254507,179267850,150776725,26292972
(주)경인양행,12610,Dec-17,299987729,252841704,39781229,193975818,164845854,28970760
(주)경인양행,12610,Dec-18,331102011,255365574,56045269,222659442,169805543,40878853
(주)경인양행,12610,Dec-19,358802386,274054354,61192976,245244968,188265694,42802896
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,87660276,75974602,8668053
(주)고려시멘트,198440,Dec-18,,,,85775723,73108112,8830048
(주)고려시멘트,198440,Dec-19,,,,70921781,65599490,5781918
(주)고영테크놀러지,98460,Dec-11,86130810,36970902,31057560,80200892,34339828,26842213
(주)고영테크놀러지,98460,Dec-12,107841666,46349851,40048530,100791139,46250331,34182337
(주)고영테크놀러지,98460,Dec-13,111902729,49977494,45151797,103933681,48746666,37408143
(주)고영테크놀러지,98460,Dec-14,142840131,60262407,54422413,135531589,61382298,46420035
(주)고영테크놀러지,98460,Dec-15,145904431,56896177,65558661,138554625,56961633,55420485
(주)고영테크놀러지,98460,Dec-16,171793841,63856136,74753217,153254768,61186100,61028848
(주)고영테크놀러지,98460,Dec-17,203368626,71899522,87720199,188934907,73639302,69782520
(주)고영테크놀러지,98460,Dec-18,238208865,89336707,102888841,219818022,88093203,85527985
