회사명,거래소코드,회계년도,매출액(IFRS연결),자본(IFRS연결),매출액(IFRS개별),자본(IFRS개별)
(주)골드앤에스,35290,Dec-14,31287203,12082621,29428881,9084260
(주)골드앤에스,35290,Dec-15,22197935,15160254,22197935,14991660
(주)골드앤에스,35290,Dec-16,15893494,14268527,15893494,14102143
(주)골드앤에스,35290,Dec-17,12802035,13346076,12802035,13104737
(주)골드앤에스,35290,Dec-18,8680452,13779569,8680452,13867013
(주)골드앤에스,35290,Dec-19,7642733,-5091573,7642733,-5001092
(주)골드퍼시픽,38530,Dec-11,,,11236925,21829724
(주)골드퍼시픽,38530,Dec-12,,,10491048,22928402
(주)골드퍼시픽,38530,Dec-13,7167832,16190999,6488691,17116411
(주)골드퍼시픽,38530,Dec-14,16486257,16567915,4855121,16902289
(주)골드퍼시픽,38530,Dec-15,18635305,21193149,6121489,20115559
(주)골드퍼시픽,38530,Dec-16,,,9588100,1889641
(주)골드퍼시픽,38530,Dec-17,,,5031439,5364494
(주)골드퍼시픽,38530,Dec-18,5708281,20086698,5580994,20086698
(주)골드퍼시픽,38530,Dec-19,,,11323125,21069318
(주)골프존,215000,Dec-15,201560389,108853909,184085342,105063093
(주)골프존,215000,Dec-16,216964342,120648626,196864993,115886579
(주)골프존,215000,Dec-17,200105321,189381881,171859065,181394935
(주)골프존,215000,Dec-18,198705194,194919561,191571105,197436844
(주)골프존,215000,Dec-19,247018099,200042879,239051647,205529589
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,348968757,209788389,348104397
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,411636973,276341690,410999847
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,424543916,340005073,427556455
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,486385956,387066126,473636026
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,551360423,29389093,551703320
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,528087415,27652102,506841449
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,500912642,23499543,480074463
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,485969871,16100354,484480922
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,447197508,26897482,450069457
(주)광림,14200,Dec-11,,,106495363,56677106
(주)광림,14200,Dec-12,,,85322569,63502275
(주)광림,14200,Dec-13,,,103442134,64796802
(주)광림,14200,Dec-14,231446314,128970849,92553612,66259380
(주)광림,14200,Dec-15,,,237222890,80899308
(주)광림,14200,Dec-16,87302967,113505965,87302967,90221084
(주)광림,14200,Dec-17,135191558,107690687,99421336,176556237
(주)광림,14200,Dec-18,136595300,90075229,75493055,120931215
(주)광림,14200,Dec-19,145864184,90772137,93241157,60749234
(주)광명전기,17040,Dec-11,92382628,62936103,57967857,56987613
(주)광명전기,17040,Dec-12,117216514,62992204,79318302,55136666
(주)광명전기,17040,Dec-13,117852824,69847678,90344376,60793004
(주)광명전기,17040,Dec-14,134778387,78696030,115801471,67539909
(주)광명전기,17040,Dec-15,116316957,87829336,93000177,71275955
(주)광명전기,17040,Dec-16,96942911,98063360,96931493,86335358
(주)광명전기,17040,Dec-17,101561159,96648221,105083042,85430878
