회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별)
(주)경동나비엔,9450,Dec-16,583252904,429754702,506082201,347643876
(주)경동나비엔,9450,Dec-17,684660958,503697210,569819524,391400492
(주)경동나비엔,9450,Dec-18,726741615,583595818,618058456,440513661
(주)경동나비엔,9450,Dec-19,774290704,609808343,655419303,461607017
(주)경동도시가스,267290,Dec-17,871548284,710280194,870828897,707917077
(주)경동도시가스,267290,Dec-18,1606531867,778269612,1605687067,775880913
(주)경동도시가스,267290,Dec-19,1422707835,749999474,1421866212,747453908
(주)경동인베스트,12320,Dec-11,1847666903,1001490869,1806174764,941176098
(주)경동인베스트,12320,Dec-12,2502642394,1209924561,2403814656,1168400020
(주)경동인베스트,12320,Dec-13,2788264380,1205008353,2664100017,1161427092
(주)경동인베스트,12320,Dec-14,2603059058,1320789066,2399450987,1101071366
(주)경동인베스트,12320,Dec-15,1604168482,1167819522,1352478311,926392697
(주)경동인베스트,12320,Dec-16,1181902637,1126122628,1021002691,903818865
(주)경동인베스트,12320,Dec-17,195069859,599276331,612436,318031347
(주)경동인베스트,12320,Dec-18,228644016,592002536,7460898,318776653
(주)경동인베스트,12320,Dec-19,271765025,605467383,8641051,316572482
(주)경방,50,Dec-11,348136369,1352324332,275746943,1331930968
(주)경방,50,Dec-12,333620804,1335039930,265409209,1301719900
(주)경방,50,Dec-13,347189559,1296989142,264782077,1261257414
(주)경방,50,Dec-14,329036023,1301841379,256979444,1275008413
(주)경방,50,Dec-15,357628146,1318643312,307744480,1259512344
(주)경방,50,Dec-16,377445013,1301910960,313876822,1237024388
(주)경방,50,Dec-17,360788750,1274042237,288103985,1199063663
(주)경방,50,Dec-18,351438926,1301792841,279085217,1226545382
(주)경방,50,Dec-19,343892085,1370742491,253552382,1296265431
(주)경보제약,214390,Dec-15,,,178032632,195488457
(주)경보제약,214390,Dec-16,,,186726170,203735980
(주)경보제약,214390,Dec-17,,,191661374,204869399
(주)경보제약,214390,Dec-18,,,201343596,221622993
(주)경보제약,214390,Dec-19,,,191706189,237816742
(주)경인양행,12610,Dec-11,233095049,319596954,128707611,245825940
(주)경인양행,12610,Dec-12,218604655,287452678,141304459,241045608
(주)경인양행,12610,Dec-13,260808400,316944796,183106757,274570963
(주)경인양행,12610,Dec-14,277181095,313039125,190395047,267331084
(주)경인양행,12610,Dec-15,263163677,326687437,175006703,273778266
(주)경인양행,12610,Dec-16,274873817,344298515,179267850,290035389
(주)경인양행,12610,Dec-17,299987729,357951470,193975818,296909084
(주)경인양행,12610,Dec-18,331102011,412996589,222659442,344908257
(주)경인양행,12610,Dec-19,358802386,472081003,245244968,381063538
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,115881620
(주)고려시멘트,198440,Dec-18,,,85775723,127536833
(주)고려시멘트,198440,Dec-19,,,70921781,127035573
(주)고영테크놀러지,98460,Dec-11,86130810,87006201,80200892,87017886
