회사명,거래소코드,회계년도,[제조]CASH FLOW 대 차입금비율(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),[제조]      장기차입금(*)(IFRS연결),[제조]      단기차입금(*)(IFRS연결),[제조]         유동성장기차입금(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[제조]      장기차입금(*)(IFRS),[제조]      단기차입금(*)(IFRS),[제조]         유동성장기차입금(IFRS)
(주)강스템바이오텍,217730,2019/12,-40.08,-13321543,7655556,240000,83333,-11097344,4000000,0,0
(주)강원랜드,035250,2011/12,0,417827759,0,0,0,428912416,0,0,0
(주)강원랜드,035250,2012/12,0,446539739,0,0,0,458412852,0,0,0
(주)강원랜드,035250,2013/12,0,424407127,0,0,0,432139763,0,0,0
(주)강원랜드,035250,2014/12,0,510413141,0,0,0,516728788,0,0,0
(주)강원랜드,035250,2015/12,0,574981576,0,0,0,581804341,0,0,0
(주)강원랜드,035250,2016/12,62312.15,596486851,940000,0,0,600686651,0,0,0
(주)강원랜드,035250,2017/12,37840.6,463050000,1400000,0,0,465968987,0,0,0
(주)강원랜드,035250,2018/12,0,363918692,0,0,0,366067885,0,0,0
(주)강원랜드,035250,2019/12,567.28,407868874,0,0,0,408994810,0,0,0
(주)강원에너지,114190,2011/11,,,,,,15102830,0,0,0
(주)강원에너지,114190,2012/12,,,,,,-3145103,0,0,0
(주)강원에너지,114190,2013/12,,,,,,16975955,0,0,0
(주)강원에너지,114190,2014/12,,,,,,-14600421,0,0,0
(주)강원에너지,114190,2015/12,94.99,9499050,10000000,0,0,18555072,0,0,0
(주)강원에너지,114190,2016/12,-31.41,-15783876,10004000,0,0,-18630100,0,0,0
(주)강원에너지,114190,2017/12,-88.8,-3706818,7200000,0,961000,-4605588,0,0,0
(주)강원에너지,114190,2018/12,-28.39,-10173085,0,7200000,0,-10047711,0,0,0
(주)강원에너지,114190,2019/12,-8.62,6960049,3320000,7200000,0,7013798,3320000,0,0
(주)갤럭시아에스엠,011420,2011/12,313.23,5951394,0,1900000,0,3957763,0,1900000,0
(주)갤럭시아에스엠,011420,2012/12,81.2,2801469,2050000,1400000,0,2596523,0,1400000,0
(주)갤럭시아에스엠,011420,2013/12,82.85,4527179,444977,3450000,527650,-780292,0,1400000,527650
(주)갤럭시아에스엠,011420,2014/12,50.53,-70410,1778928,1400000,1231104,-1937620,0,1400000,1231104
(주)갤럭시아에스엠,011420,2015/12,86.36,2451666,478600,900000,0,3007845,0,0,0
(주)갤럭시아에스엠,011420,2016/12,149.54,-1195544,0,0,420000,-1876676,0,0,0
(주)갤럭시아에스엠,011420,2017/12,0,-7389242,0,0,0,-7384193,0,0,0
(주)갤럭시아에스엠,011420,2018/12,0,-2809869,0,0,0,-2638766,0,0,0
(주)갤럭시아에스엠,011420,2019/12,-3910.94,903569,0,0,0,825072,0,0,0
(주)경농,002100,2011/12,21329.72,14162963,57682,0,8718,14271710,57682,0,8718
(주)경농,002100,2012/12,12.52,8796940,48203,70186128,9479,12031973,48203,15672000,9479
(주)경농,002100,2013/12,29.8,18563319,6635226,39252112,11998,16373126,6635226,8962308,11998
(주)경농,002100,2014/12,26.66,14706590,9302713,52465899,629654,14226137,9302713,12647505,629653
(주)경농,002100,2015/12,2.8,-9854199,10653500,63164557,3874000,-9444978,10653500,36640787,3874000
(주)경농,002100,2016/12,3.99,15996174,6789500,62069012,3874000,8683420,6779500,35583115,3874000
(주)경농,002100,2017/12,20,15815332,7131800,65173878,5479000,14393946,2905500,13876102,3874000
(주)경농,002100,2018/12,15.62,10607249,4600000,79960501,0,4624400,0,23632398,2905500
(주)경농,002100,2019/12,5.07,-1020171,23600000,65326303,3500000,4392117,16000000,35282865,0
(주)경동나비엔,009450,2011/12,120.97,15493744,8450997,6919800,325782,12393396,112800,0,150400
(주)경동나비엔,009450,2012/12,86.71,27648702,18461243,6133169,284395,22554949,7460000,0,112800
(주)경동나비엔,009450,2013/12,50.12,20912632,14132101,33221200,1092031,20201422,2219700,25000000,444300
(주)경동나비엔,009450,2014/12,3.63,-13266158,19525050,82110660,3576200,-24009203,1331820,68900000,887880
(주)경동나비엔,009450,2015/12,22.06,43719574,15959718,47715339,5342120,36531813,443940,31402650,887880
(주)경동나비엔,009450,2016/12,157.65,61333200,10988469,18305153,4023970,54602640,0,0,0
(주)경동나비엔,009450,2017/12,67.56,20111583,17554750,38519282,4203800,13453817,0,15250000,0
(주)경동나비엔,009450,2018/12,2.44,-14286091,18171374,97542506,3532661,-9553832,0,52900000,0
(주)경동나비엔,009450,2019/12,32.91,78554868,23688184,64709266,5924135,38146715,10000000,29500000,0
(주)경동도시가스,267290,2017/12,,19371687,12987389,0,1884553,18774744,12987389,0,1884553
(주)경동도시가스,267290,2018/12,508.84,120705226,12123582,0,1640775,120320145,12123582,0,1640775
(주)경동도시가스,267290,2019/12,293.7,33973376,11201253,0,1667937,33602896,11201253,0,1667937
(주)경동인베스트,012320,2011/12,188.35,88589199,38332383,13793100,2092995,90136711,14732383,0,2092995
(주)경동인베스트,012320,2012/12,251.34,150571070,35850519,9800000,1925774,154970428,13350519,0,1925774
(주)경동인베스트,012320,2013/12,230.63,69233629,29855917,13489951,4307847,54868445,12355917,0,1807847
(주)경동인베스트,012320,2014/12,52.21,20818461,56403180,6551550,23283489,16430931,11523080,0,1969669
(주)경동인베스트,012320,2015/12,-9.93,-50279018,107469867,16766667,24046156,-32486622,13017117,0,1938423
(주)경동인베스트,012320,2016/12,-7.92,26876328,99594003,15300000,32789753,32578235,13267953,0,1954793
(주)경동인베스트,012320,2017/12,33.26,60158090,83460730,15181825,32212440,49566809,0,0,0
(주)경동인베스트,012320,2018/12,31.38,12513851,71906166,9000000,34900500,1728544,0,0,0
(주)경동인베스트,012320,2019/12,22.37,32390710,62256400,22000000,13203870,1024556,0,0,0
(주)경방,000050,2011/12,-0.51,-14647398,52825075,151249110,193819533,-11592653,51339915,135849110,193750000
(주)경방,000050,2012/12,0.38,17789061,297503511,99503292,18312473,27341666,280141533,81369628,18312473
(주)경방,000050,2013/12,9.43,51153970,275230163,76186522,12583320,50395794,258404523,54775180,12583320
(주)경방,000050,2014/12,10.02,23819336,9985627,174843423,183000000,29566345,0,160771349,183000000
(주)경방,000050,2015/12,8.53,39920580,235918778,130833677,0,44076364,210000000,96327221,0
(주)경방,000050,2016/12,16.51,67981079,225494443,95137531,0,61707854,185000000,66373522,0
(주)경방,000050,2017/12,22.01,57866501,16667775,56680582,170000000,51272565,0,29757475,170000000
(주)경방,000050,2018/12,11.36,12093896,165400578,98123875,0,29443002,130000000,51994467,0
(주)경방,000050,2019/12,12.59,66875285,149162959,122000203,0,65270564,120000000,89828826,0
(주)경보제약,214390,2015/12,,,,,,4240142,5000000,34090028,0
(주)경보제약,214390,2016/12,,,,,,25328803,0,41082535,0
(주)경보제약,214390,2017/12,,,,,,25805146,451100,28375875,0
(주)경보제약,214390,2018/12,,,,,,-1138159,451100,42120856,0
(주)경보제약,214390,2019/12,,,,,,23668111,405000,53647070,46100
(주)경인양행,012610,2011/12,0.53,9839673,18002059,68608252,4021940,10022891,13856450,46049234,3712900
(주)경인양행,012610,2012/12,22.48,20801833,415000,58180937,9559375,14914670,0,46608296,8000000
(주)경인양행,012610,2013/12,14.9,1046809,2415000,70278679,600000,-1601346,0,60151840,600000
(주)경인양행,012610,2014/12,13.41,18368986,12485227,58862976,1042773,15097174,10000000,47461532,1000000
(주)경인양행,012610,2015/12,14.88,5444861,439220,77495111,2076600,-1240907,0,65001741,0
(주)경인양행,012610,2016/12,16.83,19013689,760665,71049658,862250,8421999,0,61492592,0
(주)경인양행,012610,2017/12,12.72,5323456,8360241,86431633,879200,652491,8000000,71449907,0
(주)경인양행,012610,2018/12,2.83,1873412,19416459,107171462,765940,911833,16133260,89584775,666740
(주)경인양행,012610,2019/12,2.49,6768170,30503057,140233691,2727540,-2222389,24357240,115964069,2666640
(주)고려시멘트,198440,2014/12,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,3161867,2285714,5200000,1371429
(주)고려시멘트,198440,2018/12,,,,,,1728759,914286,11800000,1371429
(주)고려시멘트,198440,2019/12,,,,,,2862239,0,11160000,914286
(주)고영테크놀러지,098460,2011/12,0,13903738,0,0,0,12776648,0,0,0
(주)고영테크놀러지,098460,2012/12,0,11397833,0,0,0,10610309,0,0,0
(주)고영테크놀러지,098460,2013/12,0,13282913,0,0,0,12177046,0,0,0
(주)고영테크놀러지,098460,2014/12,4754,25603240,255725,0,153259,23831965,0,0,0
(주)고영테크놀러지,098460,2015/12,7805.62,16569102,108243,0,161898,15161650,0,0,0
(주)고영테크놀러지,098460,2016/12,19835.58,29234878,0,0,115459,17957289,0,0,0
(주)고영테크놀러지,098460,2017/12,0,19941301,0,0,0,7492877,0,0,0
(주)고영테크놀러지,098460,2018/12,0,21765311,0,0,0,44999013,0,0,0
(주)고영테크놀러지,098460,2019/12,197.34,29168422,0,0,0,26124765,0,0,0
(주)골드앤에스,035290,2011/12,57.14,8628850,0,12411157,0,8673653,0,12178458,0
(주)골드앤에스,035290,2012/12,34.25,2478990,0,13447513,70000,2427629,0,12742845,0
(주)골드앤에스,035290,2013/12,4.43,-204052,4878557,18087011,0,-2348440,0,13094067,0
(주)골드앤에스,035290,2014/12,-2.56,-991208,2702826,14350632,739980,-462082,0,6441078,0
(주)골드앤에스,035290,2015/12,14.61,1708284,0,220684,0,2167956,0,0,0
(주)골드앤에스,035290,2016/12,89.66,1679723,0,1615384,0,1667960,0,1400000,0
(주)골드앤에스,035290,2017/12,65.84,361216,0,1550000,0,-940910,0,1550000,0
(주)골드앤에스,035290,2018/12,-6.24,-3136830,0,2000000,0,-2810496,0,2000000,0
(주)골드앤에스,035290,2019/12,-26.71,-6506543,0,1900000,0,-6246635,0,1900000,0
(주)골드퍼시픽,038530,2011/12,,,,,,1749769,0,0,0
(주)골드퍼시픽,038530,2012/12,,,,,,-4543789,0,0,0
(주)골드퍼시픽,038530,2013/12,-19.37,-2334044,2190540,3176547,0,-4333969,300000,1950000,0
(주)골드퍼시픽,038530,2014/12,-28.02,-4905537,2114583,10162200,228910,-5423532,240063,4820000,228910
(주)골드퍼시픽,038530,2015/12,-177.24,-5635841,149996,1150000,73777,-7136666,149996,1150000,73777
(주)골드퍼시픽,038530,2016/12,,,,,,-6549921,0,0,0
(주)골드퍼시픽,038530,2017/12,,,,,,-878680,0,0,0
(주)골드퍼시픽,038530,2018/12,-23.72,-3626992,5440000,46122,0,-2028216,5440000,46122,0
(주)골드퍼시픽,038530,2019/12,,,,,,-3541143,0,7000000,0
(주)골프존,215000,2015/12,,44345997,15000000,20000000,0,41872803,15000000,20000000,0
(주)골프존,215000,2016/12,100.68,35237011,7499970,27500030,0,32717567,7499970,27500030,0
(주)골프존,215000,2017/12,177.87,80376887,9166650,23333320,0,79436410,9166650,23333320,0
