회사명,거래소코드,회계년도,당기순이익(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),당기순이익(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-13,-1736750,21493102,21493102,-1420345,22472626,22472626
(주)갤럭시아에스엠,11420,Dec-14,-255270,23205508,23205508,-931106,23402468,23402468
(주)갤럭시아에스엠,11420,Dec-15,1863773,49739042,49739042,2575902,50665218,49739042
(주)갤럭시아에스엠,11420,Dec-16,-1562620,44846832,44846832,-1562620,44846832,44846832
(주)갤럭시아에스엠,11420,Dec-17,-5899738,40494336,40494336,-5899738,40494336,40494336
(주)갤럭시아에스엠,11420,Dec-18,-16003255,26472162,26472162,-15678085,26797332,26797332
(주)갤럭시아에스엠,11420,Dec-19,-1375316,21798750,,-1375316,21798750,21798750
(주)경농,2100,Dec-11,509664,142986220,142986220,3154155,146016982,146016982
(주)경농,2100,Dec-12,10310339,151738994,,6590012,151500247,151500247
(주)경농,2100,Dec-13,13950249,163157512,163157512,13751960,162696463,162696463
(주)경농,2100,Dec-14,7099305,168915900,168915900,9271741,168998955,168998955
(주)경농,2100,Dec-15,6980392,174667648,174667648,6488880,173056378,173056378
(주)경농,2100,Dec-16,6365805,183969132,183969132,5770891,176722752,176722752
(주)경농,2100,Dec-17,10079442,192152986,192152986,11539079,182959158,182959158
(주)경농,2100,Dec-18,4878426,201453891,201453891,9613575,187066687,187066687
(주)경농,2100,Dec-19,4014664,201885272,201885272,7061857,190892614,190892614
(주)경동나비엔,9450,Dec-11,9467023,168114574,168114574,9445090,143268094,143268094
(주)경동나비엔,9450,Dec-12,9169965,175875394,,9214927,152201349,152201349
(주)경동나비엔,9450,Dec-13,11129597,187280988,187280988,9251575,161494784,161494784
(주)경동나비엔,9450,Dec-14,9380054,190021880,190021880,9082312,167984480,167984480
(주)경동나비엔,9450,Dec-15,16752000,206076609,206076609,19320742,185208256,185208256
(주)경동나비엔,9450,Dec-16,37469924,238762190,238762190,28636194,210193123,210193123
(주)경동나비엔,9450,Dec-17,27019124,256506497,256506497,16291264,222028494,222028494
(주)경동나비엔,9450,Dec-18,24748538,280103616,280103616,22818064,240355951,240355951
(주)경동나비엔,9450,Dec-19,27852090,301042624,301042624,20474157,254559521,254559521
(주)경동도시가스,267290,Dec-17,17798556,294331882,294331882,17678888,292628586,292628586
(주)경동도시가스,267290,Dec-18,34164798,320490074,320490074,33981432,318760537,318760537
