회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별)
(주)강원에너지,114190,Dec-19,0,3320000,7200000,0,0,3320000,0,0
(주)갤럭시아에스엠,11420,Dec-11,0,0,1900000,0,0,0,1900000,0
(주)갤럭시아에스엠,11420,Dec-12,0,2050000,1400000,0,0,0,1400000,0
(주)갤럭시아에스엠,11420,Dec-13,0,444977,3450000,0,0,0,1400000,0
(주)갤럭시아에스엠,11420,Dec-14,0,1778928,1400000,0,0,0,1400000,0
(주)갤럭시아에스엠,11420,Dec-15,0,478600,900000,0,0,0,0,0
(주)갤럭시아에스엠,11420,Dec-16,0,0,0,0,0,0,0,0
(주)갤럭시아에스엠,11420,Dec-17,0,0,0,0,0,0,0,0
(주)갤럭시아에스엠,11420,Dec-18,0,0,0,0,0,0,0,0
(주)갤럭시아에스엠,11420,Dec-19,0,0,0,0,0,0,0,0
(주)경농,2100,Dec-11,0,57682,0,0,0,57682,0,0
(주)경농,2100,Dec-12,0,48203,70186128,0,0,48203,15672000,0
(주)경농,2100,Dec-13,0,6635226,39252112,0,0,6635226,8962308,0
(주)경농,2100,Dec-14,0,9302713,52465899,0,0,9302713,12647505,0
(주)경농,2100,Dec-15,0,10653500,63164557,0,0,10653500,36640787,0
(주)경농,2100,Dec-16,0,6789500,62069012,0,0,6779500,35583115,0
(주)경농,2100,Dec-17,0,7131800,65173878,0,0,2905500,13876102,0
(주)경농,2100,Dec-18,0,4600000,79960501,0,0,0,23632398,0
(주)경농,2100,Dec-19,0,23600000,65326303,0,0,16000000,35282865,0
(주)경동나비엔,9450,Dec-11,0,8450997,6919800,0,0,112800,0,0
(주)경동나비엔,9450,Dec-12,0,18461243,6133169,0,0,7460000,0,0
(주)경동나비엔,9450,Dec-13,0,14132101,33221200,0,0,2219700,25000000,0
(주)경동나비엔,9450,Dec-14,0,19525050,82110660,0,0,1331820,68900000,0
(주)경동나비엔,9450,Dec-15,0,15959718,47715339,0,0,443940,31402650,0
(주)경동나비엔,9450,Dec-16,0,10988469,18305153,0,0,0,0,0
(주)경동나비엔,9450,Dec-17,0,17554750,38519282,0,0,0,15250000,0
(주)경동나비엔,9450,Dec-18,0,18171374,97542506,0,0,0,52900000,0
