회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별)
(주)강원에너지,114190,Dec-19,35477506,56602063,32201998,55106032
(주)갤럭시아에스엠,11420,Dec-11,19836339,45110356,16172356,40711969
(주)갤럭시아에스엠,11420,Dec-12,18071820,43979072,15016475,40169876
(주)갤럭시아에스엠,11420,Dec-13,16143563,37636664,11686248,34158874
(주)갤럭시아에스엠,11420,Dec-14,22068570,45274078,17125782,40528250
(주)갤럭시아에스엠,11420,Dec-15,18947950,68686992,16531335,67196553
(주)갤럭시아에스엠,11420,Dec-16,13597774,58444606,10978725,55825556
(주)갤럭시아에스엠,11420,Dec-17,9336773,49831109,8463792,48958128
(주)갤럭시아에스엠,11420,Dec-18,6781168,33253331,6540360,33337692
(주)갤럭시아에스엠,11420,Dec-19,6442848,28241598,6442848,28241598
(주)경농,2100,Dec-11,30787882,173774102,30724888,176741869
(주)경농,2100,Dec-12,117673838,269412832,51967451,203467698
(주)경농,2100,Dec-13,92827213,255984725,52292130,214988593
(주)경농,2100,Dec-14,115707163,284623063,61871897,230870852
(주)경농,2100,Dec-15,141674205,316341853,92052914,265109291
(주)경농,2100,Dec-16,136946019,320915151,89899537,266622289
(주)경농,2100,Dec-17,143720912,335873898,86007852,268967010
(주)경농,2100,Dec-18,155806650,357260541,97965187,285031873
(주)경농,2100,Dec-19,168988819,370874091,106304474,297197088
(주)경동나비엔,9450,Dec-11,95096442,263211016,81105376,224373470
(주)경동나비엔,9450,Dec-12,123854443,299729837,102426119,254627468
(주)경동나비엔,9450,Dec-13,167498879,354779867,139981016,301475800
(주)경동나비엔,9450,Dec-14,211637077,401658957,163104762,331089242
(주)경동나비엔,9450,Dec-15,196007760,402084368,139640734,324848990
(주)경동나비엔,9450,Dec-16,190992511,429754702,137450753,347643876
(주)경동나비엔,9450,Dec-17,247190712,503697210,169371998,391400492
(주)경동나비엔,9450,Dec-18,303492202,583595818,200157710,440513661
(주)경동나비엔,9450,Dec-19,308765719,609808343,207047496,461607017
(주)경동도시가스,267290,Dec-17,415948312,710280194,415288491,707917077
(주)경동도시가스,267290,Dec-18,457779539,778269612,457120376,775880913
(주)경동도시가스,267290,Dec-19,410387431,749999474,409752242,747453908
(주)경동인베스트,12320,Dec-11,593628327,1001490869,528263966,941176098
(주)경동인베스트,12320,Dec-12,763415214,1209924561,699478024,1168400020
(주)경동인베스트,12320,Dec-13,706267792,1205008353,644593509,1161427092
(주)경동인베스트,12320,Dec-14,713337643,1320789066,540269309,1101071366
(주)경동인베스트,12320,Dec-15,591340081,1167819522,377864242,926392697
(주)경동인베스트,12320,Dec-16,538198062,1126122628,347571082,903818865
(주)경동인베스트,12320,Dec-17,198873241,599276331,8242347,318031347
(주)경동인베스트,12320,Dec-18,194135226,592002536,8354115,318776653
(주)경동인베스트,12320,Dec-19,190933746,605467383,8263326,316572482
(주)경방,50,Dec-11,722619941,1352324332,655306746,1331930968
(주)경방,50,Dec-12,714335725,1335039930,631984460,1301719900
(주)경방,50,Dec-13,660550587,1296989142,575688238,1261257414
(주)경방,50,Dec-14,654172565,1301841379,623437994,1275008413
(주)경방,50,Dec-15,655690395,1318643312,587741479,1259512344
(주)경방,50,Dec-16,622067560,1301910960,546778844,1237024388
(주)경방,50,Dec-17,574908164,1274042237,488098740,1199063663
(주)경방,50,Dec-18,593023494,1301792841,497359673,1226545382
(주)경방,50,Dec-19,629189292,1370742491,555533558,1296265431
(주)경보제약,214390,Dec-15,,,72671307,195488457
(주)경보제약,214390,Dec-16,,,74333640,203735980
(주)경보제약,214390,Dec-17,,,63359803,204869399
(주)경보제약,214390,Dec-18,,,72610828,221622993
(주)경보제약,214390,Dec-19,,,88653237,237816742
(주)경인양행,12610,Dec-11,143304448,319596954,86943667,245825940
(주)경인양행,12610,Dec-12,112463993,287452678,78932783,241045608
(주)경인양행,12610,Dec-13,127200482,316944796,96496450,274570963
(주)경인양행,12610,Dec-14,114800458,313039125,80897578,267331084
(주)경인양행,12610,Dec-15,125562133,326687437,87875136,273778266
(주)경인양행,12610,Dec-16,136005319,344298515,99013669,290035389
(주)경인양행,12610,Dec-17,147016537,357951470,106064982,296909084
(주)경인양행,12610,Dec-18,189237207,412996589,146670857,344908257
(주)경인양행,12610,Dec-19,234647863,472081003,179977211,381063538
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,38487512,115881620
(주)고려시멘트,198440,Dec-18,,,41025871,127536833
(주)고려시멘트,198440,Dec-19,,,38590195,127035573
(주)고영테크놀러지,98460,Dec-11,17383474,87006201,16635495,87017886
(주)고영테크놀러지,98460,Dec-12,19950870,103351965,18928736,103019642
(주)고영테크놀러지,98460,Dec-13,22632008,120951617,21277632,121329325
(주)고영테크놀러지,98460,Dec-14,25885224,141720465,23524948,141873467
(주)고영테크놀러지,98460,Dec-15,27381980,158857627,26600137,160170850
(주)고영테크놀러지,98460,Dec-16,37853661,195121241,36760049,194332855
(주)고영테크놀러지,98460,Dec-17,43890214,205207385,40860118,205696350
(주)고영테크놀러지,98460,Dec-18,53192797,279059436,50714272,279985447
(주)고영테크놀러지,98460,Dec-19,61812656,305481184,55999383,308020011
(주)골드앤에스,35290,Dec-11,24240316,46677146,23709321,46347129
(주)골드앤에스,35290,Dec-12,26432789,51950606,24809934,51062616
(주)골드앤에스,35290,Dec-13,38315150,51442505,24695648,34508798
(주)골드앤에스,35290,Dec-14,34445853,46528474,19800028,28884288
(주)골드앤에스,35290,Dec-15,8941840,24102094,8605906,23597566
(주)골드앤에스,35290,Dec-16,4403117,18671644,4193998,18296141
(주)골드앤에스,35290,Dec-17,3827858,17173934,3890051,16994788
(주)골드앤에스,35290,Dec-18,28693062,42472631,28605618,42472631
(주)골드앤에스,35290,Dec-19,21187743,16096170,21097263,16096170
(주)골드퍼시픽,38530,Dec-11,,,5643796,27473520
(주)골드퍼시픽,38530,Dec-12,,,6933139,29861540
(주)골드퍼시픽,38530,Dec-13,17496573,33687572,13401333,30517744
(주)골드퍼시픽,38530,Dec-14,25380917,41948832,15034120,31936409
(주)골드퍼시픽,38530,Dec-15,7380179,28573328,7380179,27495738
(주)골드퍼시픽,38530,Dec-16,,,9232425,11122066
(주)골드퍼시픽,38530,Dec-17,,,21203473,26567967
(주)골드퍼시픽,38530,Dec-18,17738744,37825442,17201663,37288362
(주)골드퍼시픽,38530,Dec-19,,,51876425,72945743
(주)골프존,215000,Dec-15,69278343,178132253,66566259,171629353
(주)골프존,215000,Dec-16,67265600,187914226,61749251,177635830
(주)골프존,215000,Dec-17,64290538,253672419,57616911,239011847
(주)골프존,215000,Dec-18,59138246,254057808,57141835,254578679
(주)골프존,215000,Dec-19,112544404,312587283,99331248,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,29085545,378054302,25141723,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,129285917,540922890,101615001,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,213296141,637840057,162390400,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,275651284,762037240,112963321,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,215964752,767325175,33959695,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,232685516,760772930,55051510,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,255588307,756500949,56170310,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,288773468,774743339,78906181,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,329187192,776384700,87456888,537526345
(주)광림,14200,Dec-11,,,29675945,86353051
(주)광림,14200,Dec-12,,,26263800,89766075
(주)광림,14200,Dec-13,,,36795801,101592603
(주)광림,14200,Dec-14,115915632,244886480,54024876,120284256
(주)광림,14200,Dec-15,,,65439447,146338755
(주)광림,14200,Dec-16,116090771,229596737,61859263,152080347
(주)광림,14200,Dec-17,100367615,208058303,193026086,369582323
(주)광림,14200,Dec-18,97737400,187812629,115448249,236379465
(주)광림,14200,Dec-19,161696117,252468254,132819619,193568854
(주)광명전기,17040,Dec-11,60950408,123886511,43005031,99992644
(주)광명전기,17040,Dec-12,68072142,131064345,49081920,104218586
(주)광명전기,17040,Dec-13,51063085,120910764,44690725,105483729
(주)광명전기,17040,Dec-14,59883994,138580023,52251735,119791644
(주)광명전기,17040,Dec-15,43628267,131457603,36443563,107719518
(주)광명전기,17040,Dec-16,48795959,146859319,39069932,125405290
(주)광명전기,17040,Dec-17,56068919,152717140,43450530,128881408
(주)광명전기,17040,Dec-18,53074770,151823119,36169226,124159091
(주)광명전기,17040,Dec-19,51313845,156712705,46405743,140591786
(주)광무,29480,Dec-11,38114862,75946478,36539844,85836111
(주)광무,29480,Dec-12,26281385,55788602,23645347,60163490
(주)광무,29480,Dec-13,26597916,35384615,17543532,28890332
(주)광무,29480,Dec-14,,,19357078,27862528
(주)광무,29480,Dec-15,,,13388763,21133216
(주)광무,29480,Dec-16,,,21036538,29089768
(주)광무,29480,Dec-17,,,15398329,28950503
(주)광무,29480,Dec-18,17702532,28431748,16322215,26017306
(주)광무,29480,Dec-19,40295715,63139837,34954525,57156720
(주)광주신세계,37710,Dec-11,,,70539083,380753715
(주)광주신세계,37710,Dec-12,,,69047125,430662968
(주)광주신세계,37710,Dec-13,,,247664982,656355808
(주)광주신세계,37710,Dec-14,,,204133762,652758688
(주)광주신세계,37710,Dec-15,,,168114362,659495158
(주)광주신세계,37710,Dec-16,,,121212540,655502726
(주)광주신세계,37710,Dec-17,,,75655139,655018971
(주)광주신세계,37710,Dec-18,,,75548265,696204982
(주)광주신세계,37710,Dec-19,,,91233250,752423111
(주)구영테크,53270,Dec-11,112838066,149471330,66978384,94940916
(주)구영테크,53270,Dec-12,124476132,161163024,80138360,109440531
(주)구영테크,53270,Dec-13,110206350,149230187,66787227,97549406
(주)구영테크,53270,Dec-14,103644323,155857242,59346118,101546298
(주)구영테크,53270,Dec-15,104929726,161330950,58694581,102761141
(주)구영테크,53270,Dec-16,108968199,166748490,62465401,108895002
(주)구영테크,53270,Dec-17,131198641,187009683,92481970,139584386
(주)구영테크,53270,Dec-18,133745074,202572970,88631025,146492374
(주)구영테크,53270,Dec-19,134865616,206569873,82365983,141034767
(주)국동,5320,Dec-11,62332735,68162305,39597506,42291817
(주)국동,5320,Dec-12,56385558,65808287,33038005,35813125
(주)국동,5320,Dec-13,57628398,73040609,34247141,40194919
(주)국동,5320,Dec-14,60632031,89271398,39056428,53392996
(주)국동,5320,Dec-15,62532443,93758552,43846686,66242141
(주)국동,5320,Dec-16,72400997,124126720,46046814,86116813
(주)국동,5320,Dec-17,63676354,106307080,36515485,75154254
(주)국동,5320,Dec-18,74659657,123134702,38965464,80727956
(주)국동,5320,Dec-19,68242500,133723726,42506527,96856085
(주)국보,1140,Dec-11,64402912,98869465,63540967,97415381
(주)국보,1140,Dec-12,64701450,98494841,62297482,93953021
(주)국보,1140,Dec-13,68547122,98315386,67236888,94915572
(주)국보,1140,Dec-14,68385263,91005502,66613157,87597909
(주)국보,1140,Dec-15,64675995,83085438,63045201,80158667
