회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별)
(주)경동나비엔,9450,Dec-19,301042624,609808343,254559521,461607017
(주)경동도시가스,267290,Dec-17,294331882,710280194,292628586,707917077
(주)경동도시가스,267290,Dec-18,320490074,778269612,318760537,775880913
(주)경동도시가스,267290,Dec-19,339612043,749999474,337701666,747453908
(주)경동인베스트,12320,Dec-11,407862543,1001490869,412912132,941176098
(주)경동인베스트,12320,Dec-12,446509347,1209924561,468921996,1168400020
(주)경동인베스트,12320,Dec-13,498740561,1205008353,516833582,1161427092
(주)경동인베스트,12320,Dec-14,607451423,1320789066,560802056,1101071366
(주)경동인베스트,12320,Dec-15,576479441,1167819522,548528455,926392697
(주)경동인베스트,12320,Dec-16,587924566,1126122628,556247783,903818865
(주)경동인베스트,12320,Dec-17,400403090,599276331,309789000,318031347
(주)경동인베스트,12320,Dec-18,397867310,592002536,310422538,318776653
(주)경동인베스트,12320,Dec-19,414533638,605467383,308309156,316572482
(주)경방,50,Dec-11,629704391,1352324332,676624221,1331930968
(주)경방,50,Dec-12,620704205,1335039930,669735441,1301719900
(주)경방,50,Dec-13,636438555,1296989142,685569176,1261257414
(주)경방,50,Dec-14,647668814,1301841379,651570419,1275008413
(주)경방,50,Dec-15,662952918,1318643312,671770865,1259512344
(주)경방,50,Dec-16,679843399,1301910960,690245544,1237024388
(주)경방,50,Dec-17,699134073,1274042237,710964923,1199063663
(주)경방,50,Dec-18,708769347,1301792841,729185709,1226545382
(주)경방,50,Dec-19,741553199,1370742491,740731873,1296265431
(주)경보제약,214390,Dec-15,,,122817151,195488457
(주)경보제약,214390,Dec-16,,,129402340,203735980
(주)경보제약,214390,Dec-17,,,141509596,204869399
(주)경보제약,214390,Dec-18,,,149012165,221622993
(주)경보제약,214390,Dec-19,,,149163504,237816742
(주)경인양행,12610,Dec-11,176292506,319596954,158882273,245825940
(주)경인양행,12610,Dec-12,174988685,287452678,162112825,241045608
(주)경인양행,12610,Dec-13,189744314,316944796,178074513,274570963
(주)경인양행,12610,Dec-14,198238667,313039125,186433506,267331084
(주)경인양행,12610,Dec-15,201125304,326687437,185903130,273778266
(주)경인양행,12610,Dec-16,208293196,344298515,191021720,290035389
(주)경인양행,12610,Dec-17,210934933,357951470,190844102,296909084
(주)경인양행,12610,Dec-18,223759383,412996589,198237400,344908257
(주)경인양행,12610,Dec-19,237433141,472081003,201086327,381063538
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,77394108,115881620
(주)고려시멘트,198440,Dec-18,,,86510962,127536833
(주)고려시멘트,198440,Dec-19,,,88445378,127035573
(주)고영테크놀러지,98460,Dec-11,69622726,87006201,70382391,87017886
(주)고영테크놀러지,98460,Dec-12,83401095,103351965,84090906,103019642
(주)고영테크놀러지,98460,Dec-13,98319609,120951617,100051693,121329325
(주)고영테크놀러지,98460,Dec-14,115835240,141720465,118348519,141873467
(주)고영테크놀러지,98460,Dec-15,131475647,158857627,133570714,160170850
(주)고영테크놀러지,98460,Dec-16,157267580,195121241,157572806,194332855
(주)고영테크놀러지,98460,Dec-17,161317171,205207385,164836232,205696350
(주)고영테크놀러지,98460,Dec-18,225866639,279059436,229271175,279985447
(주)고영테크놀러지,98460,Dec-19,243668528,305481184,252020628,308020011
(주)골드앤에스,35290,Dec-11,22436829,46677146,22637807,46347129
(주)골드앤에스,35290,Dec-12,25517817,51950606,26252682,51062616
(주)골드앤에스,35290,Dec-13,13127355,51442505,9813150,34508798
(주)골드앤에스,35290,Dec-14,12082621,46528474,9084260,28884288
(주)골드앤에스,35290,Dec-15,15160254,24102094,14991660,23597566
(주)골드앤에스,35290,Dec-16,14268527,18671644,14102143,18296141
(주)골드앤에스,35290,Dec-17,13346076,17173934,13104737,16994788
(주)골드앤에스,35290,Dec-18,13779569,42472631,13867013,42472631
(주)골드앤에스,35290,Dec-19,-5091573,16096170,-5001092,16096170
(주)골드퍼시픽,38530,Dec-11,,,21829724,27473520
(주)골드퍼시픽,38530,Dec-12,,,22928402,29861540
(주)골드퍼시픽,38530,Dec-13,16190999,33687572,17116411,30517744
(주)골드퍼시픽,38530,Dec-14,16567915,41948832,16902289,31936409
(주)골드퍼시픽,38530,Dec-15,21193149,28573328,20115559,27495738
(주)골드퍼시픽,38530,Dec-16,,,1889641,11122066
(주)골드퍼시픽,38530,Dec-17,,,5364494,26567967
(주)골드퍼시픽,38530,Dec-18,20086698,37825442,20086698,37288362
(주)골드퍼시픽,38530,Dec-19,,,21069318,72945743
(주)골프존,215000,Dec-15,108853909,178132253,105063093,171629353
(주)골프존,215000,Dec-16,120648626,187914226,115886579,177635830
(주)골프존,215000,Dec-17,189381881,253672419,181394935,239011847
(주)골프존,215000,Dec-18,194919561,254057808,197436844,254578679
(주)골프존,215000,Dec-19,200042879,312587283,205529589,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,348968757,378054302,348104397,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,411636973,540922890,410999847,512614848
(주)골프존뉴딘홀딩스,121440,Dec-13,424543916,637840057,427556455,589946855
(주)골프존뉴딘홀딩스,121440,Dec-14,486385956,762037240,473636026,586599347
(주)골프존뉴딘홀딩스,121440,Dec-15,551360423,767325175,551703320,585663015
(주)골프존뉴딘홀딩스,121440,Dec-16,528087415,760772930,506841449,561892958
(주)골프존뉴딘홀딩스,121440,Dec-17,500912642,756500949,480074463,536244772
(주)골프존뉴딘홀딩스,121440,Dec-18,485969871,774743339,484480922,563387103
(주)골프존뉴딘홀딩스,121440,Dec-19,447197508,776384700,450069457,537526345
(주)광림,14200,Dec-11,,,56677106,86353051
(주)광림,14200,Dec-12,,,63502275,89766075
(주)광림,14200,Dec-13,,,64796802,101592603
(주)광림,14200,Dec-14,128970849,244886480,66259380,120284256
(주)광림,14200,Dec-15,,,80899308,146338755
(주)광림,14200,Dec-16,113505965,229596737,90221084,152080347
(주)광림,14200,Dec-17,107690687,208058303,176556237,369582323
(주)광림,14200,Dec-18,90075229,187812629,120931215,236379465
(주)광림,14200,Dec-19,90772137,252468254,60749234,193568854
(주)광명전기,17040,Dec-11,62936103,123886511,56987613,99992644
(주)광명전기,17040,Dec-12,62992204,131064345,55136666,104218586
(주)광명전기,17040,Dec-13,69847678,120910764,60793004,105483729
(주)광명전기,17040,Dec-14,78696030,138580023,67539909,119791644
(주)광명전기,17040,Dec-15,87829336,131457603,71275955,107719518
(주)광명전기,17040,Dec-16,98063360,146859319,86335358,125405290
(주)광명전기,17040,Dec-17,96648221,152717140,85430878,128881408
(주)광명전기,17040,Dec-18,98748349,151823119,87989865,124159091
(주)광명전기,17040,Dec-19,105398860,156712705,94186043,140591786
(주)광무,29480,Dec-11,37831616,75946478,49296267,85836111
(주)광무,29480,Dec-12,29507217,55788602,36518143,60163490
(주)광무,29480,Dec-13,8786699,35384615,11346800,28890332
(주)광무,29480,Dec-14,,,8505450,27862528
(주)광무,29480,Dec-15,,,7744452,21133216
(주)광무,29480,Dec-16,,,8053231,29089768
(주)광무,29480,Dec-17,,,13552175,28950503
