회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-14,17868979,22068570,14705118,17125782
(주)갤럭시아에스엠,11420,Dec-15,16873228,18947950,14961439,16531335
(주)갤럭시아에스엠,11420,Dec-16,12464561,13597774,9845511,10978725
(주)갤럭시아에스엠,11420,Dec-17,8744690,9336773,7871709,8463792
(주)갤럭시아에스엠,11420,Dec-18,6670268,6781168,6429460,6540360
(주)갤럭시아에스엠,11420,Dec-19,6311576,6442848,6311576,6442848
(주)경농,2100,Dec-11,24871768,30787882,24782041,30724888
(주)경농,2100,Dec-12,102878086,117673838,45244293,51967451
(주)경농,2100,Dec-13,72472377,92827213,40577371,52292130
(주)경농,2100,Dec-14,90426180,115707163,46610936,61871897
(주)경농,2100,Dec-15,114383542,141674205,75250424,92052914
(주)경농,2100,Dec-16,112348070,136946019,75688103,89899537
(주)경농,2100,Dec-17,121066567,143720912,78430974,86007852
(주)경농,2100,Dec-18,128301300,155806650,86896477,97965187
(주)경농,2100,Dec-19,122608005,168988819,80682497,106304474
(주)경동나비엔,9450,Dec-11,81664623,95096442,74711381,81105376
(주)경동나비엔,9450,Dec-12,100189444,123854443,87833093,102426119
(주)경동나비엔,9450,Dec-13,149468556,167498879,132677192,139981016
(주)경동나비엔,9450,Dec-14,186324883,211637077,156677220,163104762
(주)경동나비엔,9450,Dec-15,177125715,196007760,136609355,139640734
(주)경동나비엔,9450,Dec-16,177489101,190992511,135099803,137450753
(주)경동나비엔,9450,Dec-17,219839746,247190712,159637322,169371998
(주)경동나비엔,9450,Dec-18,275122471,303492202,191253920,200157710
(주)경동나비엔,9450,Dec-19,270253541,308765719,183748685,207047496
(주)경동도시가스,267290,Dec-17,334894003,415948312,334399752,415288491
(주)경동도시가스,267290,Dec-18,375912237,457779539,375445868,457120376
(주)경동도시가스,267290,Dec-19,321180745,410387431,320773519,409752242
(주)경동인베스트,12320,Dec-11,488755455,593628327,450578763,528263966
(주)경동인베스트,12320,Dec-12,649801248,763415214,612902677,699478024
(주)경동인베스트,12320,Dec-13,596199441,706267792,555649865,644593509
(주)경동인베스트,12320,Dec-14,550250914,713337643,449400573,540269309
(주)경동인베스트,12320,Dec-15,392919112,591340081,294859087,377864242
(주)경동인베스트,12320,Dec-16,337654347,538198062,259946634,347571082
(주)경동인베스트,12320,Dec-17,77526863,198873241,615156,8242347
(주)경동인베스트,12320,Dec-18,78414333,194135226,424952,8354115
(주)경동인베스트,12320,Dec-19,84662496,190933746,7787239,8263326
(주)경방,50,Dec-11,406687562,722619941,362096037,655306746
(주)경방,50,Dec-12,164949423,714335725,121339742,631984460
(주)경방,50,Dec-13,135215333,660550587,88576434,575688238
(주)경방,50,Dec-14,409405729,654172565,388656785,623437994
(주)경방,50,Dec-15,185946014,655690395,143915877,587741479
(주)경방,50,Dec-16,155435755,622067560,120641481,546778844
(주)경방,50,Dec-17,319476563,574908164,249334914,488098740
(주)경방,50,Dec-18,163151849,593023494,102888605,497359673
(주)경방,50,Dec-19,192380293,629189292,150525799,555533558
(주)경보제약,214390,Dec-15,,,64542191,72671307
(주)경보제약,214390,Dec-16,,,72716830,74333640
(주)경보제약,214390,Dec-17,,,60379395,63359803
(주)경보제약,214390,Dec-18,,,69317865,72610828
(주)경보제약,214390,Dec-19,,,83814952,88653237
(주)경인양행,12610,Dec-11,107188765,143304448,64682274,86943667
(주)경인양행,12610,Dec-12,94090486,112463993,70551008,78932783
(주)경인양행,12610,Dec-13,108289018,127200482,88530619,96496450
(주)경인양행,12610,Dec-14,86323503,114800458,64009841,80897578
(주)경인양행,12610,Dec-15,109310448,125562133,81834318,87875136
(주)경인양행,12610,Dec-16,119502456,136005319,93552900,99013669
(주)경인양행,12610,Dec-17,124353660,147016537,93894860,106064982
(주)경인양행,12610,Dec-18,156924274,189237207,127936086,146670857
(주)경인양행,12610,Dec-19,192593606,234647863,154357193,179977211
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,23125664,38487512
(주)고려시멘트,198440,Dec-18,,,29601570,41025871
(주)고려시멘트,198440,Dec-19,,,27999091,38590195
(주)고영테크놀러지,98460,Dec-11,14902695,17383474,14154716,16635495
(주)고영테크놀러지,98460,Dec-12,15604806,19950870,14596799,18928736
(주)고영테크놀러지,98460,Dec-13,17831243,22632008,16476867,21277632
(주)고영테크놀러지,98460,Dec-14,20476391,25885224,18713887,23524948
(주)고영테크놀러지,98460,Dec-15,21007557,27381980,20345674,26600137
(주)고영테크놀러지,98460,Dec-16,27477608,37853661,26393379,36760049
(주)고영테크놀러지,98460,Dec-17,32283948,43890214,29687984,40860118
(주)고영테크놀러지,98460,Dec-18,40471875,53192797,38506988,50714272
(주)고영테크놀러지,98460,Dec-19,38413935,61812656,34506180,55999383
(주)골드앤에스,35290,Dec-11,21734828,24240316,21203833,23709321
(주)골드앤에스,35290,Dec-12,20697748,26432789,19364629,24809934
(주)골드앤에스,35290,Dec-13,29802347,38315150,22293201,24695648
(주)골드앤에스,35290,Dec-14,25047175,34445853,14232991,19800028
(주)골드앤에스,35290,Dec-15,7942854,8941840,7606920,8605906
(주)골드앤에스,35290,Dec-16,3670098,4403117,3460979,4193998
(주)골드앤에스,35290,Dec-17,3198537,3827858,3260731,3890051
(주)골드앤에스,35290,Dec-18,28003279,28693062,27915835,28605618
(주)골드앤에스,35290,Dec-19,21055498,21187743,20965017,21097263
(주)골드퍼시픽,38530,Dec-11,,,2479288,5643796
(주)골드퍼시픽,38530,Dec-12,,,3581856,6933139
(주)골드퍼시픽,38530,Dec-13,10776770,17496573,8833269,13401333
(주)골드퍼시픽,38530,Dec-14,17941676,25380917,8600544,15034120
(주)골드퍼시픽,38530,Dec-15,4089090,7380179,4089090,7380179
(주)골드퍼시픽,38530,Dec-16,,,6684024,9232425
(주)골드퍼시픽,38530,Dec-17,,,20748043,21203473
(주)골드퍼시픽,38530,Dec-18,12191199,17738744,11654119,17201663
(주)골드퍼시픽,38530,Dec-19,,,50456375,51876425
(주)골프존,215000,Dec-15,50803120,69278343,48712106,66566259
(주)골프존,215000,Dec-16,56451253,67265600,51807444,61749251
(주)골프존,215000,Dec-17,51918381,64290538,45867329,57616911
(주)골프존,215000,Dec-18,54339957,59138246,52508860,57141835
(주)골프존,215000,Dec-19,61066134,112544404,54396575,99331248
