회사명,거래소코드,회계년도,유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS연결)(천원),건설중인자산(IFRS)(천원),합계_기말인원(명),기계장치(IFRS연결)(천원),기계장치(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),인건비(IFRS연결)(백만원),인건비(IFRS)(백만원),부가가치(IFRS연결)(백만원),부가가치(IFRS)(백만원),매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원)
유아이엘(주),049520,2018/12,74830784,34915465,4008392,101329,341,62109090,18180566,220193003,124448023,39298.53,19642.22,63484.64,20356.38,423594391,126435327
유아이엘(주),049520,2019/12,88590767,31650373,396787,69408,323,71329150,18121495,211559225,110356000,36251.23,16470.95,60861.59,16429.59,408486203,100478694
유엔젤(주),072130,2011/12,14907463,13049554,3056228,2953443,212,16797103,14942408,91344787,90897238,16343.53,12926.27,20173.27,17285.41,49530340,44525040
유엔젤(주),072130,2012/12,12971277,11649516,2295904,2295905,232,17217722,15408796,81354992,78528190,17713.87,14203.6,6695.52,-709.96,49658661,40039191
유엔젤(주),072130,2013/12,11644509,10683643,2270508,2270508,254,17247783,15462737,72642507,71870824,18802.04,15190.27,16339.08,13921.63,48121695,38602576
유엔젤(주),072130,2014/12,10338577,9591049,0,0,216,11623159,9746454,60241807,60985098,16731.1,14520.67,10833.82,9286.68,35389422,25693226
유엔젤(주),072130,2015/12,9623577,9250443,0,0,202,11250732,9783954,62111452,61317088,15479.62,13905.59,18101.35,15496.58,41156827,33080609
유엔젤(주),072130,2016/12,9503501,9253459,0,0,201,11643943,9898374,58271070,54941548,15092.04,13638.65,10824.04,6745.01,30341828,26097712
유엔젤(주),072130,2017/12,9306731,9236967,0,0,204,8190005,7154540,51217643,49614546,14887.98,13806.11,11454.62,10328.4,31907135,28923903
유엔젤(주),072130,2018/12,9105846,9079947,0,0,206,8204198,7290715,51154130,49131449,13869.46,13430.02,16315.54,15259.05,33517791,31365060
유엔젤(주),072130,2019/12,9954238,9942461,0,0,197,8350278,7436665,46198028,44418184,13354.31,12886.28,10023.75,11001.02,26557494,25481484
유진기업(주),023410,2011/12,286408290,257095936,13564057,13028358,808,141961572,133211228,1632838065,1510823745,77018.26,67212.5,77715.22,-2504.3,740499859,566717194
유진기업(주),023410,2012/12,322152837,192965921,701847,359506,628,48709358,37749304,1221358086,1107351465,85149.3,74181.42,162469.09,200070.32,738815603,529748909
유진기업(주),023410,2013/12,326823899,200336033,2555100,2408617,583,51669121,40818577,1238423862,1017009530,60372.72,48931.54,200480.86,74623.14,681976473,432214297
유진기업(주),023410,2014/12,401755024,206049700,637369,449917,591,55774429,43151151,1242357453,1013034770,59624.8,48830.33,100794.34,70256.08,738997480,484038610
유진기업(주),023410,2015/12,417657089,214445678,2002933,62700,610,56759355,44410816,1384478068,1111322859,72225.64,52106.52,141492.53,105086.36,889552236,565117676
유진기업(주),023410,2016/12,419362158,212249877,6899077,1082316,676,57769738,44471978,1519602788,1271252020,92365.95,63168.01,226654.31,178059.44,1074645854,710926253
