회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),자산(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-13,19899780,126351,37636664,15680160,0,34158874
(주)갤럭시아에스엠,11420,Dec-14,26742964,508736,45274078,21910144,404356,40528250
(주)갤럭시아에스엠,11420,Dec-15,44426010,11280,68686992,40480215,0,67196553
(주)갤럭시아에스엠,11420,Dec-16,37929417,0,58444606,33508731,0,55825556
(주)갤럭시아에스엠,11420,Dec-17,28750883,0,49831109,25522603,0,48958128
(주)갤럭시아에스엠,11420,Dec-18,14251248,0,33253331,14317048,0,33337692
(주)갤럭시아에스엠,11420,Dec-19,13644588,0,28241598,13644588,0,28241598
(주)경농,2100,Dec-11,94363834,70194121,173774102,85897543,70007203,176741869
(주)경농,2100,Dec-12,142516976,102583675,269412832,88973571,69708618,203467698
(주)경농,2100,Dec-13,129526582,98860077,255984725,90491612,70268926,214988593
(주)경농,2100,Dec-14,139646908,98308244,284623063,92163573,69968941,230870852
(주)경농,2100,Dec-15,161184139,115444315,316341853,110823037,84302523,265109291
(주)경농,2100,Dec-16,156061222,115876266,320915151,113338004,89356248,266622289
(주)경농,2100,Dec-17,163437464,119704437,335873898,114661596,91796107,268967010
(주)경농,2100,Dec-18,169982099,120967753,357260541,124295854,91526504,285031873
(주)경농,2100,Dec-19,185020093,133714688,370874091,138697201,101542875,297197088
(주)경동나비엔,9450,Dec-11,129512842,60788326,263211016,109967953,41637076,224373470
(주)경동나비엔,9450,Dec-12,145371681,59527947,299729837,123218302,33893618,254627468
(주)경동나비엔,9450,Dec-13,134043087,71724409,354779867,104914630,37417214,301475800
(주)경동나비엔,9450,Dec-14,159947056,83525372,401658957,134136648,40963230,331089242
(주)경동나비엔,9450,Dec-15,158254944,87185691,402084368,129837058,39239496,324848990
(주)경동나비엔,9450,Dec-16,175420277,89997026,429754702,145915928,41128987,347643876
(주)경동나비엔,9450,Dec-17,230894567,110374505,503697210,175839342,57016736,391400492
(주)경동나비엔,9450,Dec-18,287001959,150049770,583595818,209454208,74930222,440513661
(주)경동나비엔,9450,Dec-19,274279157,138114361,609808343,214093729,66299991,461607017
(주)경동도시가스,267290,Dec-17,376858740,1111165,710280194,374489353,1111165,707917077
(주)경동도시가스,267290,Dec-18,444232799,1299646,778269612,441723742,1299646,775880913
(주)경동도시가스,267290,Dec-19,395154174,1333402,749999474,392458231,1333402,747453908
(주)경동인베스트,12320,Dec-11,610411619,6238419,1001490869,563584969,837931,941176098
(주)경동인베스트,12320,Dec-12,814034002,20579836,1209924561,753036515,1073025,1168400020
(주)경동인베스트,12320,Dec-13,778164231,13656418,1205008353,724069045,759346,1161427092
(주)경동인베스트,12320,Dec-14,766552554,18386682,1320789066,631297926,1014437,1101071366
(주)경동인베스트,12320,Dec-15,571798491,8347076,1167819522,459634757,958537,926392697
(주)경동인베스트,12320,Dec-16,508994824,10949433,1126122628,394847821,1016660,903818865
(주)경동인베스트,12320,Dec-17,238339688,14232992,599276331,110951332,0,318031347
(주)경동인베스트,12320,Dec-18,188460289,30703229,592002536,44742051,87903,318776653
