회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별)
(주)경인양행,12610,Dec-18,331102011,234817064,222659442,165167110
(주)경인양행,12610,Dec-19,358802386,251884675,245244968,172620331
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,38542950
(주)고려시멘트,198440,Dec-18,,,85775723,49955334
(주)고려시멘트,198440,Dec-19,,,70921781,46591282
(주)고영테크놀러지,98460,Dec-11,86130810,63304178,80200892,61560094
(주)고영테크놀러지,98460,Dec-12,107841666,77857574,100791139,75787332
(주)고영테크놀러지,98460,Dec-13,111902729,94895999,103933681,93556579
(주)고영테크놀러지,98460,Dec-14,142840131,108649874,135531589,107119140
(주)고영테크놀러지,98460,Dec-15,145904431,121834639,138554625,124933566
(주)고영테크놀러지,98460,Dec-16,171793841,154891864,153254768,156029191
(주)고영테크놀러지,98460,Dec-17,203368626,161356541,188934907,159374622
(주)고영테크놀러지,98460,Dec-18,238208865,227563739,219818022,231667150
(주)고영테크놀러지,98460,Dec-19,222057035,225797248,209480760,229213476
(주)골드앤에스,35290,Dec-11,47522791,23477041,47522791,23165184
(주)골드앤에스,35290,Dec-12,43889087,26661256,43889087,27310447
(주)골드앤에스,35290,Dec-13,39548810,15792977,36607591,17985887
(주)골드앤에스,35290,Dec-14,31287203,15072221,29428881,15782408
(주)골드앤에스,35290,Dec-15,22197935,15364121,22197935,15122533
(주)골드앤에스,35290,Dec-16,15893494,8660668,15893494,8552277
(주)골드앤에스,35290,Dec-17,12802035,10831000,12802035,10974294
(주)골드앤에스,35290,Dec-18,8680452,21031370,8680452,21031370
(주)골드앤에스,35290,Dec-19,7642733,3910189,7642733,3910189
(주)골드퍼시픽,38530,Dec-11,,,11236925,15105931
(주)골드퍼시픽,38530,Dec-12,,,10491048,19029706
(주)골드퍼시픽,38530,Dec-13,7167832,16708814,6488691,15961156
(주)골드퍼시픽,38530,Dec-14,16486257,23894969,4855121,15761409
(주)골드퍼시픽,38530,Dec-15,18635305,14304863,6121489,14304863
(주)골드퍼시픽,38530,Dec-16,,,9588100,5438550
(주)골드퍼시픽,38530,Dec-17,,,5031439,17215160
(주)골드퍼시픽,38530,Dec-18,5708281,23990386,5580994,22006122
(주)골드퍼시픽,38530,Dec-19,,,11323125,28455147
(주)골프존,215000,Dec-15,201560389,81295773,184085342,71290784
(주)골프존,215000,Dec-16,216964342,89781733,196864993,75788492
(주)골프존,215000,Dec-17,200105321,160591890,171859065,142686039
(주)골프존,215000,Dec-18,198705194,145265354,191571105,134088763
(주)골프존,215000,Dec-19,247018099,81730468,239051647,70491340
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,276277197,209788389,249046740
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,267312187,276341690,267719852
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,280228001,340005073,315880696
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,176744598,387066126,174950116
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,97152205,29389093,45672526
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,102314350,27652102,63048320
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,117348020,23499543,46961353
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,99968915,16100354,59445798
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,125716505,26897482,30696570
(주)광림,14200,Dec-11,,,106495363,49443117
(주)광림,14200,Dec-12,,,85322569,53533329
(주)광림,14200,Dec-13,,,103442134,66494275
(주)광림,14200,Dec-14,231446314,149961809,92553612,53880127
(주)광림,14200,Dec-15,,,237222890,57623469
(주)광림,14200,Dec-16,87302967,88113464,87302967,51509785
(주)광림,14200,Dec-17,135191558,78175789,99421336,255751980
(주)광림,14200,Dec-18,136595300,75325405,75493055,145430179
(주)광림,14200,Dec-19,145864184,114526470,93241157,82568345
(주)광명전기,17040,Dec-11,92382628,70952226,57967857,50517306
(주)광명전기,17040,Dec-12,117216514,80616850,79318302,59736559
(주)광명전기,17040,Dec-13,117852824,78305715,90344376,64082992
(주)광명전기,17040,Dec-14,134778387,93730239,115801471,76850052
(주)광명전기,17040,Dec-15,116316957,83058514,93000177,63045495
(주)광명전기,17040,Dec-16,96942911,72296041,96931493,62147467
(주)광명전기,17040,Dec-17,101561159,72825667,105083042,64686772
(주)광명전기,17040,Dec-18,114110654,69980314,96949804,59981263
(주)광명전기,17040,Dec-19,131864294,87126906,125009206,77171530
(주)광무,29480,Dec-11,51755052,37578091,50359203,35909129
(주)광무,29480,Dec-12,41178683,23778931,40406860,16266767
(주)광무,29480,Dec-13,20534276,14314055,10105219,7025489
(주)광무,29480,Dec-14,,,38409667,9475626
(주)광무,29480,Dec-15,,,17648493,5286509
(주)광무,29480,Dec-16,,,26429957,11893960
(주)광무,29480,Dec-17,,,21540953,14949942
(주)광무,29480,Dec-18,23074941,17301470,20707286,12582516
(주)광무,29480,Dec-19,36483979,39307761,25244176,33233586
(주)광주신세계,37710,Dec-11,,,219613514,260854658
(주)광주신세계,37710,Dec-12,,,213803173,287723501
(주)광주신세계,37710,Dec-13,,,206606675,25873334
(주)광주신세계,37710,Dec-14,,,204820461,24561635
(주)광주신세계,37710,Dec-15,,,205331892,33510638
(주)광주신세계,37710,Dec-16,,,210423594,32426270
(주)광주신세계,37710,Dec-17,,,209647360,33243825
(주)광주신세계,37710,Dec-18,,,135213362,77504431
(주)광주신세계,37710,Dec-19,,,154879496,103160925
(주)구영테크,53270,Dec-11,147832315,58842369,62527619,40821654
(주)구영테크,53270,Dec-12,155788988,66346373,65451015,48964877
(주)구영테크,53270,Dec-13,172747316,53694228,76282590,36391962
(주)구영테크,53270,Dec-14,170528694,57115595,77799749,40628726
(주)구영테크,53270,Dec-15,172083049,58836903,87109177,41055597
(주)구영테크,53270,Dec-16,148301597,54139890,75320433,39434041
(주)구영테크,53270,Dec-17,149833357,64140319,74298129,52077454
(주)구영테크,53270,Dec-18,195238339,60744298,81928926,43158029
(주)구영테크,53270,Dec-19,230853336,70165074,93132845,37519675
(주)국동,5320,Dec-11,154293577,39415062,100097439,22715717
(주)국동,5320,Dec-12,138172746,39351863,91524436,17991148
(주)국동,5320,Dec-13,147860227,48642552,95716049,24414342
(주)국동,5320,Dec-14,186086561,60454108,117861978,36105772
(주)국동,5320,Dec-15,170296068,63906154,102431161,34533151
(주)국동,5320,Dec-16,197368723,83256355,127275873,51330735
(주)국동,5320,Dec-17,191602989,66343830,130016453,39587109
(주)국동,5320,Dec-18,219550054,83767312,136811631,46980024
(주)국동,5320,Dec-19,223077183,89543258,116180044,54839302
(주)국보,1140,Dec-11,130636214,41337436,118304924,39894724
(주)국보,1140,Dec-12,122343037,39130945,109183947,36506928
(주)국보,1140,Dec-13,117073443,37418409,108994114,35691910
(주)국보,1140,Dec-14,97520169,31669967,89859741,30298511
(주)국보,1140,Dec-15,91618545,26759792,85267457,25758664
(주)국보,1140,Dec-16,87333326,26046898,77773715,24610414
(주)국보,1140,Dec-17,78255522,18529522,74662255,17793062
(주)국보,1140,Dec-18,71549828,11759027,66929948,11593846
(주)국보,1140,Dec-19,89087334,70457619,58296078,17297097
(주)국보디자인,66620,Dec-11,130689686,59455203,123203000,57200948
(주)국보디자인,66620,Dec-12,119402993,74341481,118458574,72788158
(주)국보디자인,66620,Dec-13,163518536,102871707,153216189,95233392
(주)국보디자인,66620,Dec-14,176373907,106963249,158268803,99218627
