회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),매출액(IFRS개별),매출원가(IFRS연결),판관비(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)SNT홀딩스,36530,Dec-12,1668749904,1465168699,117887632,1318022867,1318022867,8718270,0,2022710,388611726,388611726
(주)SNT홀딩스,36530,Dec-13,1576368464,1379201925,112368449,1374365240,1374365240,8826810,0,1903453,396851717,396851717
(주)SNT홀딩스,36530,Dec-14,1552374806,1380123821,106746009,1356040938,1356040938,7701882,0,1735761,398863036,398863036
(주)SNT홀딩스,36530,Dec-15,1612746929,1331347191,119866075,1529249091,1529249091,8475099,0,1755565,421925486,421925486
(주)SNT홀딩스,36530,Dec-16,1537700275,1336617769,128799440,1530892611,1530892611,9818190,0,1818263,426682947,426682947
(주)SNT홀딩스,36530,Dec-17,1508152132,1303372403,144142589,1519293154,1519293154,7417869,0,2015960,425136143,425136143
(주)SNT홀딩스,36530,Dec-18,1401307482,1221120349,107537015,1503275496,1503275496,7292112,0,1900080,422573122,422573122
(주)SNT홀딩스,36530,Dec-19,1512114565,1284171398,101666105,1625933047,1625933047,11015928,0,2024424,416939604,416939604
(주)STX,11810,Dec-11,5967701000,5516021000,217072000,1915942000,1915942000,4173397000,3988988000,122698000,1164648000,1164648000
(주)STX,11810,Dec-12,6159850000,6353608000,217053000,1506639000,1506639000,4116767000,3997635000,101399000,1123534000,1123534000
(주)STX,11810,Dec-13,2449401000,3140865000,270312000,-509663000,-509663000,1895063000,1814171000,148125000,-522090000,-522090000
(주)STX,11810,Dec-14,1634606000,1513363000,85552000,93662000,93662000,1291351000,1233380000,34557000,54894000,98087000
(주)STX,11810,Dec-15,1630827000,1586081000,78916000,72342000,72342000,1362127000,1352181000,26282000,72316000,72316000
(주)STX,11810,Dec-16,1720153000,1635394000,118928000,-330596000,-330596000,1465561000,1494187000,77154000,-328883000,-328883000
(주)STX,11810,Dec-17,1803878000,1718572000,41253000,42560000,42560000,1595494000,1541890000,23434000,44710000,44710000
(주)STX,11810,Dec-18,1502985000,1483048000,34715000,64028000,64028000,1329890000,1319737000,17055000,62213000,62213000
(주)STX,11810,Dec-19,1471164000,1424697000,44719000,56291000,56291000,1237876000,1225459000,26114000,50616000,50616000
(주)TCC스틸,2710,Dec-11,514424043,472273637,30600718,225441968,225441968,456928069,419062918,25079936,205616971,205616971
(주)TCC스틸,2710,Dec-12,501337475,457927934,37475597,225998781,225998781,440568155,399338479,29554032,209755733,209755733
(주)TCC스틸,2710,Dec-13,500832754,474104834,34473642,205738102,205738102,419483813,385343144,25792395,210086242,210086242
(주)TCC스틸,2710,Dec-14,518995240,483588495,35062274,189038004,189038004,401323585,364984531,25470505,210093654,210093654
(주)TCC스틸,2710,Dec-15,495795871,451936886,28003827,86012476,86012476,350074629,311691285,23812910,76555951,76555951
(주)TCC스틸,2710,Dec-16,444453635,402898839,26203661,103337634,100863852,317235565,281559457,22384689,92623510,90149728
(주)TCC스틸,2710,Dec-17,391370092,356978389,26285247,100915803,100915803,333762378,304470552,22532022,89627045,89627045
(주)TCC스틸,2710,Dec-18,413176279,377890304,18205373,112246210,112246210,351301866,320798763,14196981,98351707,98351707
(주)TCC스틸,2710,Dec-19,437173902,405618477,18699255,116843135,116843135,339334364,312320391,14356868,97501452,97501452
(주)가비아,79940,Dec-11,52838864,29173840,15470152,48665742,48665742,33792831,20761832,9105062,24298687,24298687
(주)가비아,79940,Dec-12,69058144,40302408,21135774,58945247,58945247,38482449,23494026,12039194,31165211,31165211
(주)가비아,79940,Dec-13,70675565,38882747,24759315,68600227,68600227,40507693,24558241,12914401,34822978,34822978
(주)가비아,79940,Dec-14,80432047,45275795,26773564,75509702,75509702,43906243,26874841,13580143,38147677,38147677
(주)가비아,79940,Dec-15,91648622,50078893,30220634,84096148,84096148,48446932,28806524,15108414,42470259,42470259
(주)가비아,79940,Dec-16,102178978,54998617,34631102,95951841,95951841,49430564,28802628,16646190,45413712,45413712
(주)가비아,79940,Dec-17,116217941,60313364,43192421,99896520,99896520,52365659,30561799,18627531,47662984,47662984
(주)가비아,79940,Dec-18,128728438,65751367,44788622,114187490,114187490,55197652,31654603,19436958,49832912,49832912
(주)가비아,79940,Dec-19,148306878,75650385,48919898,134959139,134959139,58254105,34532096,18832896,54084066,54084066
(주)강스템바이오텍,217730,Dec-15,,,,,,1484593,252810,6356984,21237036,21237036
(주)강스템바이오텍,217730,Dec-16,,,,,22976911,842805,57688,9902658,22976911,22976911
(주)강스템바이오텍,217730,Dec-17,9132939,5874047,14996757,24482163,23404899,5394323,2402560,14124268,24668128,23590864
(주)강스템바이오텍,217730,Dec-18,9165454,7988195,12871228,47581374,47581374,1001039,276617,11249767,47944961,47944961
(주)강스템바이오텍,217730,Dec-19,6004584,6428945,22729347,68719236,68719236,282069,141439,19551777,70845209,70845209
(주)강원랜드,35250,Dec-11,1265686425,538388479,237651483,2257362696,2257362696,1263651213,530019096,232036737,2278202202,2278202202
(주)강원랜드,35250,Dec-12,1296191223,647845564,243477994,2372026990,2372026990,1292896121,639097544,237009158,2383160603,2383160603
(주)강원랜드,35250,Dec-13,1361286598,726091776,247153517,2517696496,2517696496,1356906162,718286815,240055756,2523962938,2523962938
(주)강원랜드,35250,Dec-14,1496541441,722297880,261071509,2705357485,2705357485,1492291312,713323703,252649920,2716175018,2716175018
(주)강원랜드,35250,Dec-15,1633716839,759645970,278670466,2997755205,2997755205,1630976696,754752007,272340184,2997442337,2997442337
(주)강원랜드,35250,Dec-16,1696532511,785177091,292739131,3252727459,3252727459,1694575212,782103726,287586131,3252738063,3252738063
(주)강원랜드,35250,Dec-17,1604470055,787533848,286038872,3501235933,3501235933,1602901764,785131415,281945764,3500789656,3500789656
(주)강원랜드,35250,Dec-18,1438059299,729593460,277765849,3586777089,3586777089,1436042435,727185671,274005028,3586452533,3586452533
(주)강원랜드,35250,Dec-19,1520080449,736659054,282268243,3717759076,3717759076,1517612252,734363002,280523986,3718433001,3718433001
(주)강원에너지,114190,Nov-11,,,,,,50222892,37631683,6335759,24502434,24502434
(주)강원에너지,114190,Dec-12,,,,,,106471214,85441450,9418599,36107930,36107930
(주)강원에너지,114190,Dec-13,,,,,,50660659,38917147,8509282,45877155,45877155
(주)강원에너지,114190,Dec-14,,,,,50445491,51481321,40566049,9288976,50445491,50445491
(주)강원에너지,114190,Dec-15,46188664,38265188,7476269,56583901,56583901,48852892,40524653,7450119,54880924,54880924
(주)강원에너지,114190,Dec-16,42287473,35270278,8328386,55088690,55088690,44448760,37206789,8143944,53746356,53746356
(주)강원에너지,114190,Dec-17,82034829,81169717,6453624,48303010,48303010,83113029,82247917,6286226,47117020,47117020
(주)강원에너지,114190,Dec-18,85905365,80012233,5551803,50203707,50203707,85905365,80012233,5360884,49286354,49286354
(주)강원에너지,114190,Dec-19,42549622,48688856,11036729,21124556,20822913,42549622,48688856,11011297,22904034,22602390
(주)갤럭시아에스엠,11420,Dec-11,47331427,38695073,5467815,25274017,25274017,31931418,26327117,2774063,24539613,24539613
(주)갤럭시아에스엠,11420,Dec-12,55049732,47555420,5419941,25907252,25907252,37398255,33745924,2053448,25153401,25153401
(주)갤럭시아에스엠,11420,Dec-13,46437304,41764586,3925558,21493102,21493102,30903637,28202016,2049336,22472626,22472626
(주)갤럭시아에스엠,11420,Dec-14,43885894,40216941,4092233,23205508,23205508,33027933,31283923,2256158,23402468,23402468
(주)갤럭시아에스엠,11420,Dec-15,62472754,56009656,4362057,49739042,49739042,53784932,48457121,2746300,50665218,49739042
(주)갤럭시아에스엠,11420,Dec-16,52626331,51678856,4661340,44846832,44846832,45665676,45279432,3611285,44846832,44846832
(주)갤럭시아에스엠,11420,Dec-17,37281280,37435336,3391712,40494336,40494336,36917656,37068260,3179800,40494336,40494336
(주)갤럭시아에스엠,11420,Dec-18,22060413,27428110,4970149,26472162,26472162,22030258,24112403,4605442,26797332,26797332
(주)갤럭시아에스엠,11420,Dec-19,28732679,26937800,2251316,21798750,,28732679,26937800,2571538,21798750,21798750
(주)경농,2100,Dec-11,121253605,79220101,34931302,142986220,142986220,120728258,79073941,34017164,146016982,146016982
(주)경농,2100,Dec-12,136970449,87614008,36625385,151738994,,131021366,83085935,33941584,151500247,151500247
(주)경농,2100,Dec-13,196358952,129161139,48414308,163157512,163157512,139237273,85548073,37284742,162696463,162696463
(주)경농,2100,Dec-14,188483147,122779838,51049462,168915900,168915900,134806677,81145006,39622262,168998955,168998955
(주)경농,2100,Dec-15,196418710,127105636,57201531,174667648,174667648,137609256,84402122,44084513,173056378,173056378
(주)경농,2100,Dec-16,203984939,135371879,59444576,183969132,183969132,143209666,90377050,45606489,176722752,176722752
(주)경농,2100,Dec-17,206534382,138859895,59226684,192152986,192152986,143175105,90974073,43121579,182959158,182959158
(주)경농,2100,Dec-18,212654617,139911460,57973365,201453891,201453891,146216658,91408676,39627710,187066687,187066687
(주)경농,2100,Dec-19,227510941,153098094,65722104,201885272,201885272,151342037,94631333,44960436,190892614,190892614
(주)경동나비엔,9450,Dec-11,341246917,251540613,77768929,168114574,168114574,318269213,246619329,60786214,143268094,143268094
(주)경동나비엔,9450,Dec-12,379014259,282583068,82506075,175875394,,341339118,268142768,61602924,152201349,152201349
(주)경동나비엔,9450,Dec-13,414177562,296168554,98224613,187280988,187280988,371601179,284158227,72644249,161494784,161494784
(주)경동나비엔,9450,Dec-14,428985365,313840608,101679980,190021880,190021880,382392117,293438355,72874100,167984480,167984480
(주)경동나비엔,9450,Dec-15,512031120,352051189,135756950,206076609,206076609,448302084,334829527,92672044,185208256,185208256
(주)경동나비엔,9450,Dec-16,583252904,382333051,155087917,238762190,238762190,506082201,369054723,100453303,210193123,210193123
(주)경동나비엔,9450,Dec-17,684660958,446078996,190824927,256506497,256506497,569819524,423216560,114583201,222028494,222028494
(주)경동나비엔,9450,Dec-18,726741615,487844378,198095020,280103616,280103616,618058456,466381901,122339017,240355951,240355951
(주)경동나비엔,9450,Dec-19,774290704,509635845,219829864,301042624,301042624,655419303,479160026,137056391,254559521,254559521
(주)경동도시가스,267290,Dec-17,871548284,793238142,56645639,294331882,294331882,870828897,793617236,55682161,292628586,292628586
(주)경동도시가스,267290,Dec-18,1606531867,1480519376,83355348,320490074,320490074,1605687067,1480519376,82145199,318760537,318760537
(주)경동도시가스,267290,Dec-19,1422707835,1310188918,84463787,339612043,339612043,1421866212,1310791588,83393461,337701666,337701666
(주)경동인베스트,12320,Dec-11,1847666903,1739469751,65635356,407862543,407862543,1806174764,1697470671,54876510,412912132,412912132
(주)경동인베스트,12320,Dec-12,2502642394,2381579037,71166413,446509347,446509347,2403814656,2292736954,59575728,468921996,468921996
(주)경동인베스트,12320,Dec-13,2788264380,2659198011,78526083,498740561,500659801,2664100017,2552976223,64435388,516833582,516833582
(주)경동인베스트,12320,Dec-14,2603059058,2470957525,84168488,607451423,607451423,2399450987,2293899450,67714190,560802056,560802056
(주)경동인베스트,12320,Dec-15,1604168482,1520436435,97030233,576479441,576479441,1352478311,1263722829,70357549,548528455,548528455
(주)경동인베스트,12320,Dec-16,1181902637,1064804018,88431091,587924566,587924566,1021002691,924418543,73040855,556247783,556247783
(주)경동인베스트,12320,Dec-17,195069859,140724518,17964879,400403090,400403090,612436,0,2869295,309789000,309789000
