회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별)
(주)고영테크놀러지,98460,Dec-12,17763177,77857574,15164342,75787332
(주)고영테크놀러지,98460,Dec-13,20893135,94895999,17888953,93556579
(주)고영테크놀러지,98460,Dec-14,18090390,108649874,13344937,107119140
(주)고영테크놀러지,98460,Dec-15,19344915,121834639,12475503,124933566
(주)고영테크놀러지,98460,Dec-16,19563475,154891864,12591503,156029191
(주)고영테크놀러지,98460,Dec-17,22300525,161356541,12749777,159374622
(주)고영테크놀러지,98460,Dec-18,31398344,227563739,19487304,231667150
(주)고영테크놀러지,98460,Dec-19,36331529,225797248,21338197,229213476
(주)골드앤에스,35290,Dec-11,2865869,23477041,2865869,23165184
(주)골드앤에스,35290,Dec-12,2643834,26661256,2643834,27310447
(주)골드앤에스,35290,Dec-13,3133301,15792977,3133301,17985887
(주)골드앤에스,35290,Dec-14,2940734,15072221,2940734,15782408
(주)골드앤에스,35290,Dec-15,2329866,15364121,2329866,15122533
(주)골드앤에스,35290,Dec-16,1958738,8660668,1958738,8552277
(주)골드앤에스,35290,Dec-17,1057469,10831000,1057469,10974294
(주)골드앤에스,35290,Dec-18,1290682,21031370,1290682,21031370
(주)골드앤에스,35290,Dec-19,498013,3910189,498013,3910189
(주)골드퍼시픽,38530,Dec-11,,,4047225,15105931
(주)골드퍼시픽,38530,Dec-12,,,6326625,19029706
(주)골드퍼시픽,38530,Dec-13,6434511,16708814,5930685,15961156
(주)골드퍼시픽,38530,Dec-14,7662615,23894969,3617004,15761409
(주)골드퍼시픽,38530,Dec-15,1707754,14304863,1707754,14304863
(주)골드퍼시픽,38530,Dec-16,,,55567,5438550
(주)골드퍼시픽,38530,Dec-17,,,545070,17215160
(주)골드퍼시픽,38530,Dec-18,1607114,23990386,807960,22006122
(주)골드퍼시픽,38530,Dec-19,,,3548341,28455147
(주)골프존,215000,Dec-15,3108991,81295773,1816661,71290784
(주)골프존,215000,Dec-16,12659642,89781733,11069054,75788492
(주)골프존,215000,Dec-17,13130013,160591890,10223995,142686039
(주)골프존,215000,Dec-18,10498417,145265354,7999910,134088763
(주)골프존,215000,Dec-19,10880176,81730468,7433871,70491340
