회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-15,11280,11280,0,0
(주)갤럭시아에스엠,11420,Dec-16,0,0,0,0
(주)갤럭시아에스엠,11420,Dec-17,0,0,0,0
(주)갤럭시아에스엠,11420,Dec-18,0,0,0,0
(주)갤럭시아에스엠,11420,Dec-19,0,,0,0
(주)경농,2100,Dec-11,70194121,70194121,70007203,70007203
(주)경농,2100,Dec-12,102583675,,69708618,69708618
(주)경농,2100,Dec-13,98860077,98860077,70268926,70268926
(주)경농,2100,Dec-14,98308244,98308244,69968941,69968941
(주)경농,2100,Dec-15,115444315,115444315,84302523,84302523
(주)경농,2100,Dec-16,115876266,115876266,89356248,89356248
(주)경농,2100,Dec-17,119704437,119704437,91796107,91796107
(주)경농,2100,Dec-18,120967753,120967753,91526504,91526504
(주)경농,2100,Dec-19,133714688,133714688,101542875,101542875
(주)경동나비엔,9450,Dec-11,60788326,60788326,41637076,41637076
(주)경동나비엔,9450,Dec-12,59527947,,33893618,33893618
(주)경동나비엔,9450,Dec-13,71724409,71724409,37417214,37417214
(주)경동나비엔,9450,Dec-14,83525372,83525372,40963230,40963230
(주)경동나비엔,9450,Dec-15,87185691,87185691,39239496,39239496
(주)경동나비엔,9450,Dec-16,89997026,89997026,41128987,41128987
(주)경동나비엔,9450,Dec-17,110374505,110374505,57016736,57016736
(주)경동나비엔,9450,Dec-18,150049770,150049770,74930222,74930222
(주)경동나비엔,9450,Dec-19,138114361,138114361,66299991,66299991
(주)경동도시가스,267290,Dec-17,1111165,1111165,1111165,1111165
(주)경동도시가스,267290,Dec-18,1299646,1299646,1299646,1299646
(주)경동도시가스,267290,Dec-19,1333402,1333402,1333402,1333402
(주)경동인베스트,12320,Dec-11,6238419,6238419,837931,837931
(주)경동인베스트,12320,Dec-12,20579836,20579836,1073025,1073025
(주)경동인베스트,12320,Dec-13,13656418,13656418,759346,759346
(주)경동인베스트,12320,Dec-14,18386682,18386682,1014437,1014437
(주)경동인베스트,12320,Dec-15,8347076,8347076,958537,958537
(주)경동인베스트,12320,Dec-16,10949433,10949433,1016660,1016660
(주)경동인베스트,12320,Dec-17,14232992,14232992,0,0
(주)경동인베스트,12320,Dec-18,30703229,30703229,87903,87903
(주)경동인베스트,12320,Dec-19,30814751,30814751,176596,176596
(주)경방,50,Dec-11,72996830,72996830,71422892,71422892
(주)경방,50,Dec-12,52907652,52907652,50300747,50300747
(주)경방,50,Dec-13,40216862,40216862,35601409,35601409
(주)경방,50,Dec-14,37758471,37758471,34615710,34615710
(주)경방,50,Dec-15,52862910,52862910,37595998,37595998
(주)경방,50,Dec-16,45810493,45810493,33656952,33656952
(주)경방,50,Dec-17,31921285,31921285,22476156,22476156
(주)경방,50,Dec-18,59792825,59792825,35574579,35574579
(주)경방,50,Dec-19,31308041,31308041,13959690,13959690
(주)경보제약,214390,Dec-15,,,49522277,49522277
(주)경보제약,214390,Dec-16,,,47568951,47568951
(주)경보제약,214390,Dec-17,,,47964422,47964422
(주)경보제약,214390,Dec-18,,,53494316,53494316
(주)경보제약,214390,Dec-19,,,62312499,62312499
(주)경인양행,12610,Dec-11,95390048,88205209,51423188,51423188
(주)경인양행,12610,Dec-12,70357744,70357744,38724208,38724208
(주)경인양행,12610,Dec-13,90667397,90667397,60685132,60685132
(주)경인양행,12610,Dec-14,89741323,89741323,57418066,57418066
(주)경인양행,12610,Dec-15,95494779,95494779,62450588,62450588
(주)경인양행,12610,Dec-16,99419770,99419770,66161603,66161603
(주)경인양행,12610,Dec-17,97118533,97118533,63955013,63955013
(주)경인양행,12610,Dec-18,123873222,123873222,86129207,86129207
