회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)강원에너지,114190,Dec-19,118784,30544232,30840573,118784,30346449,0
(주)갤럭시아에스엠,11420,Dec-11,20209,24658098,15665609,0,17322791,0
(주)갤럭시아에스엠,11420,Dec-12,37487,24752609,13440442,0,21665386,0
(주)갤럭시아에스엠,11420,Dec-13,126351,19899780,13503615,0,15680160,0
(주)갤럭시아에스엠,11420,Dec-14,508736,26742964,17868979,404356,21910144,0
(주)갤럭시아에스엠,11420,Dec-15,11280,44426010,16873228,0,40480215,0
(주)갤럭시아에스엠,11420,Dec-16,0,37929417,12464561,0,33508731,0
(주)갤럭시아에스엠,11420,Dec-17,0,28750883,8744690,0,25522603,0
(주)갤럭시아에스엠,11420,Dec-18,0,14251248,6670268,0,14317048,0
(주)갤럭시아에스엠,11420,Dec-19,0,13644588,6311576,0,13644588,0
(주)경농,2100,Dec-11,70194121,94363834,24871768,70007203,85897543,0
(주)경농,2100,Dec-12,102583675,142516976,102878086,69708618,88973571,0
(주)경농,2100,Dec-13,98860077,129526582,72472377,70268926,90491612,0
(주)경농,2100,Dec-14,98308244,139646908,90426180,69968941,92163573,0
(주)경농,2100,Dec-15,115444315,161184139,114383542,84302523,110823037,0
(주)경농,2100,Dec-16,115876266,156061222,112348070,89356248,113338004,0
(주)경농,2100,Dec-17,119704437,163437464,121066567,91796107,114661596,0
(주)경농,2100,Dec-18,120967753,169982099,128301300,91526504,124295854,0
(주)경농,2100,Dec-19,133714688,185020093,122608005,101542875,138697201,0
(주)경동나비엔,9450,Dec-11,60788326,129512842,81664623,41637076,109967953,0
(주)경동나비엔,9450,Dec-12,59527947,145371681,100189444,33893618,123218302,0
(주)경동나비엔,9450,Dec-13,71724409,134043087,149468556,37417214,104914630,0
(주)경동나비엔,9450,Dec-14,83525372,159947056,186324883,40963230,134136648,0
(주)경동나비엔,9450,Dec-15,87185691,158254944,177125715,39239496,129837058,0
(주)경동나비엔,9450,Dec-16,89997026,175420277,177489101,41128987,145915928,0
(주)경동나비엔,9450,Dec-17,110374505,230894567,219839746,57016736,175839342,0
(주)경동나비엔,9450,Dec-18,150049770,287001959,275122471,74930222,209454208,0
(주)경동나비엔,9450,Dec-19,138114361,274279157,270253541,66299991,214093729,0
(주)경동도시가스,267290,Dec-17,1111165,376858740,334894003,1111165,374489353,0
(주)경동도시가스,267290,Dec-18,1299646,444232799,375912237,1299646,441723742,0
(주)경동도시가스,267290,Dec-19,1333402,395154174,321180745,1333402,392458231,0
(주)경동인베스트,12320,Dec-11,6238419,610411619,488755455,837931,563584969,0
(주)경동인베스트,12320,Dec-12,20579836,814034002,649801248,1073025,753036515,0
(주)경동인베스트,12320,Dec-13,13656418,778164231,596199441,759346,724069045,0
