회사명,거래소코드,회계년도,매출액(IFRS연결),부채(IFRS연결),매출액(IFRS개별),부채(IFRS개별)
(주)골드퍼시픽,38530,Dec-12,,,10491048,6933139
(주)골드퍼시픽,38530,Dec-13,7167832,17496573,6488691,13401333
(주)골드퍼시픽,38530,Dec-14,16486257,25380917,4855121,15034120
(주)골드퍼시픽,38530,Dec-15,18635305,7380179,6121489,7380179
(주)골드퍼시픽,38530,Dec-16,,,9588100,9232425
(주)골드퍼시픽,38530,Dec-17,,,5031439,21203473
(주)골드퍼시픽,38530,Dec-18,5708281,17738744,5580994,17201663
(주)골드퍼시픽,38530,Dec-19,,,11323125,51876425
(주)골프존,215000,Dec-15,201560389,69278343,184085342,66566259
(주)골프존,215000,Dec-16,216964342,67265600,196864993,61749251
(주)골프존,215000,Dec-17,200105321,64290538,171859065,57616911
(주)골프존,215000,Dec-18,198705194,59138246,191571105,57141835
(주)골프존,215000,Dec-19,247018099,112544404,239051647,99331248
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,29085545,209788389,25141723
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,129285917,276341690,101615001
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,213296141,340005073,162390400
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,275651284,387066126,112963321
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,215964752,29389093,33959695
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,232685516,27652102,55051510
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,255588307,23499543,56170310
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,288773468,16100354,78906181
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,329187192,26897482,87456888
(주)광림,14200,Dec-11,,,106495363,29675945
(주)광림,14200,Dec-12,,,85322569,26263800
(주)광림,14200,Dec-13,,,103442134,36795801
(주)광림,14200,Dec-14,231446314,115915632,92553612,54024876
(주)광림,14200,Dec-15,,,237222890,65439447
(주)광림,14200,Dec-16,87302967,116090771,87302967,61859263
(주)광림,14200,Dec-17,135191558,100367615,99421336,193026086
(주)광림,14200,Dec-18,136595300,97737400,75493055,115448249
(주)광림,14200,Dec-19,145864184,161696117,93241157,132819619
(주)광명전기,17040,Dec-11,92382628,60950408,57967857,43005031
(주)광명전기,17040,Dec-12,117216514,68072142,79318302,49081920
(주)광명전기,17040,Dec-13,117852824,51063085,90344376,44690725
(주)광명전기,17040,Dec-14,134778387,59883994,115801471,52251735
(주)광명전기,17040,Dec-15,116316957,43628267,93000177,36443563
(주)광명전기,17040,Dec-16,96942911,48795959,96931493,39069932
(주)광명전기,17040,Dec-17,101561159,56068919,105083042,43450530
(주)광명전기,17040,Dec-18,114110654,53074770,96949804,36169226
(주)광명전기,17040,Dec-19,131864294,51313845,125009206,46405743
(주)광무,29480,Dec-11,51755052,38114862,50359203,36539844
(주)광무,29480,Dec-12,41178683,26281385,40406860,23645347
(주)광무,29480,Dec-13,20534276,26597916,10105219,17543532
(주)광무,29480,Dec-14,,,38409667,19357078
(주)광무,29480,Dec-15,,,17648493,13388763
(주)광무,29480,Dec-16,,,26429957,21036538
(주)광무,29480,Dec-17,,,21540953,15398329
(주)광무,29480,Dec-18,23074941,17702532,20707286,16322215
(주)광무,29480,Dec-19,36483979,40295715,25244176,34954525
(주)광주신세계,37710,Dec-11,,,219613514,70539083
(주)광주신세계,37710,Dec-12,,,213803173,69047125
(주)광주신세계,37710,Dec-13,,,206606675,247664982
(주)광주신세계,37710,Dec-14,,,204820461,204133762
(주)광주신세계,37710,Dec-15,,,205331892,168114362
(주)광주신세계,37710,Dec-16,,,210423594,121212540
(주)광주신세계,37710,Dec-17,,,209647360,75655139
(주)광주신세계,37710,Dec-18,,,135213362,75548265
(주)광주신세계,37710,Dec-19,,,154879496,91233250
(주)구영테크,53270,Dec-11,147832315,112838066,62527619,66978384
(주)구영테크,53270,Dec-12,155788988,124476132,65451015,80138360
(주)구영테크,53270,Dec-13,172747316,110206350,76282590,66787227
(주)구영테크,53270,Dec-14,170528694,103644323,77799749,59346118
(주)구영테크,53270,Dec-15,172083049,104929726,87109177,58694581
(주)구영테크,53270,Dec-16,148301597,108968199,75320433,62465401
(주)구영테크,53270,Dec-17,149833357,131198641,74298129,92481970
(주)구영테크,53270,Dec-18,195238339,133745074,81928926,88631025
(주)구영테크,53270,Dec-19,230853336,134865616,93132845,82365983
(주)국동,5320,Dec-11,154293577,62332735,100097439,39597506
(주)국동,5320,Dec-12,138172746,56385558,91524436,33038005
(주)국동,5320,Dec-13,147860227,57628398,95716049,34247141
(주)국동,5320,Dec-14,186086561,60632031,117861978,39056428
(주)국동,5320,Dec-15,170296068,62532443,102431161,43846686
(주)국동,5320,Dec-16,197368723,72400997,127275873,46046814
(주)국동,5320,Dec-17,191602989,63676354,130016453,36515485
(주)국동,5320,Dec-18,219550054,74659657,136811631,38965464
(주)국동,5320,Dec-19,223077183,68242500,116180044,42506527
(주)국보,1140,Dec-11,130636214,64402912,118304924,63540967
(주)국보,1140,Dec-12,122343037,64701450,109183947,62297482
(주)국보,1140,Dec-13,117073443,68547122,108994114,67236888
(주)국보,1140,Dec-14,97520169,68385263,89859741,66613157
(주)국보,1140,Dec-15,91618545,64675995,85267457,63045201
(주)국보,1140,Dec-16,87333326,66033326,77773715,64287142
(주)국보,1140,Dec-17,78255522,55421608,74662255,53780069
