회사명,거래소코드,회계년도,부가가치(IFRS연결),자산(IFRS연결),부가가치(IFRS개별),자산(IFRS개별)
(주)광명전기,17040,Dec-16,16207.87,146859319,30170.87,125405290
(주)광명전기,17040,Dec-17,9525.8,152717140,8812.49,128881408
(주)광명전기,17040,Dec-18,17755.15,151823119,15738.2,124159091
(주)광명전기,17040,Dec-19,20753.67,156712705,19713.93,140591786
(주)광무,29480,Dec-11,-31297.66,75946478,-34287.6,85836111
(주)광무,29480,Dec-12,2867.93,55788602,-2546.32,60163490
(주)광무,29480,Dec-13,-19191.93,35384615,-27128.53,28890332
(주)광무,29480,Dec-14,,,7685.26,27862528
(주)광무,29480,Dec-15,,,4969.66,21133216
(주)광무,29480,Dec-16,,,7028.95,29089768
(주)광무,29480,Dec-17,,,4347.69,28950503
(주)광무,29480,Dec-18,3161.84,28431748,2567.43,26017306
(주)광무,29480,Dec-19,6253.03,63139837,3691.03,57156720
(주)광주신세계,37710,Dec-11,,,81174.22,380753715
(주)광주신세계,37710,Dec-12,,,78930.35,430662968
(주)광주신세계,37710,Dec-13,,,77074.43,656355808
(주)광주신세계,37710,Dec-14,,,75546.09,652758688
(주)광주신세계,37710,Dec-15,,,78789.64,659495158
(주)광주신세계,37710,Dec-16,,,79200.71,655502726
(주)광주신세계,37710,Dec-17,,,79390.39,655018971
(주)광주신세계,37710,Dec-18,,,74360.77,696204982
(주)광주신세계,37710,Dec-19,,,84867.5,752423111
(주)구영테크,53270,Dec-11,30173.23,149471330,16205.29,94940916
(주)구영테크,53270,Dec-12,34066.87,161163024,15794.6,109440531
(주)구영테크,53270,Dec-13,40563.29,149230187,18802.93,97549406
(주)구영테크,53270,Dec-14,40918.73,155857242,19185.74,101546298
(주)구영테크,53270,Dec-15,44427.3,161330950,21494.68,102761141
(주)구영테크,53270,Dec-16,41169.13,166748490,23004.45,108895002
(주)구영테크,53270,Dec-17,37905.67,187009683,19348.46,139584386
(주)구영테크,53270,Dec-18,46490.62,202572970,24326.3,146492374
(주)구영테크,53270,Dec-19,48045.12,206569873,23970.02,141034767
(주)국동,5320,Dec-11,2980.52,68162305,-2116.88,42291817
(주)국동,5320,Dec-12,18227.04,65808287,4858.24,35813125
(주)국동,5320,Dec-13,25635.95,73040609,7354.16,40194919
(주)국동,5320,Dec-14,36358.9,89271398,10914.26,53392996
(주)국동,5320,Dec-15,37153.81,93758552,13416.63,66242141
(주)국동,5320,Dec-16,36128.26,124126720,13780.66,86116813
(주)국동,5320,Dec-17,25998.16,106307080,-2076.99,75154254
