회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-17,364072,364072,348574,348574
(주)갤럭시아에스엠,11420,Dec-18,251603,251603,251603,251603
(주)갤럭시아에스엠,11420,Dec-19,511985,,511985,511985
(주)경농,2100,Dec-11,49541176,49541176,47135730,47135730
(주)경농,2100,Dec-12,93105654,,51459712,51459712
(주)경농,2100,Dec-13,101211463,101211463,55088070,55088070
(주)경농,2100,Dec-14,118629306,118629306,60743502,60743502
(주)경농,2100,Dec-15,122071383,122071383,60862714,60862714
(주)경농,2100,Dec-16,133213483,133213483,60986166,60986166
(주)경농,2100,Dec-17,140283689,140283689,61075339,61075339
(주)경농,2100,Dec-18,142669413,142669413,67819776,67819776
(주)경농,2100,Dec-19,139475078,139475078,64128521,64128521
(주)경동나비엔,9450,Dec-11,103309756,103309756,71463183,71463183
(주)경동나비엔,9450,Dec-12,120050563,,86003940,86003940
(주)경동나비엔,9450,Dec-13,184422743,184422743,148703601,148703601
(주)경동나비엔,9450,Dec-14,190970831,190970831,133081097,133081097
(주)경동나비엔,9450,Dec-15,195089500,195089500,134166342,134166342
(주)경동나비엔,9450,Dec-16,203718091,203718091,138398427,138398427
(주)경동나비엔,9450,Dec-17,221945791,221945791,143721378,143721378
(주)경동나비엔,9450,Dec-18,248979361,248979361,157575992,157575992
(주)경동나비엔,9450,Dec-19,278770581,278770581,165763623,165763623
(주)경동도시가스,267290,Dec-17,316816604,316816604,316263778,316263778
(주)경동도시가스,267290,Dec-18,320713747,320713747,320275132,320275132
(주)경동도시가스,267290,Dec-19,325975219,325975219,325567581,325567581
(주)경동인베스트,12320,Dec-11,302120078,302120078,265516704,265516704
(주)경동인베스트,12320,Dec-12,302039515,302039515,279769365,279769365
(주)경동인베스트,12320,Dec-13,322577481,322577481,293643578,293643578
(주)경동인베스트,12320,Dec-14,436240540,436240540,299563689,299563689
(주)경동인베스트,12320,Dec-15,478535233,478535233,317414775,317414775
(주)경동인베스트,12320,Dec-16,490371394,490371394,320740081,320740081
(주)경동인베스트,12320,Dec-17,177264156,177264156,9664453,9664453
(주)경동인베스트,12320,Dec-18,176391871,186791214,12131746,12131746
(주)경동인베스트,12320,Dec-19,170491064,170491064,2798610,2798610
(주)경방,50,Dec-11,308454057,308454057,307701501,307701501
(주)경방,50,Dec-12,324064120,324064120,301773723,301773723
(주)경방,50,Dec-13,306515477,306515477,280675994,280675994
(주)경방,50,Dec-14,307855729,307855729,269480797,269480797
