회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-11,2909464,45110356,3000743,40711969
(주)갤럭시아에스엠,11420,Dec-12,389023,43979072,223810,40169876
(주)갤럭시아에스엠,11420,Dec-13,-1736750,37636664,-1420345,34158874
(주)갤럭시아에스엠,11420,Dec-14,-255270,45274078,-931106,40528250
(주)갤럭시아에스엠,11420,Dec-15,1863773,68686992,2575902,67196553
(주)갤럭시아에스엠,11420,Dec-16,-1562620,58444606,-1562620,55825556
(주)갤럭시아에스엠,11420,Dec-17,-5899738,49831109,-5899738,48958128
(주)갤럭시아에스엠,11420,Dec-18,-16003255,33253331,-15678085,33337692
(주)갤럭시아에스엠,11420,Dec-19,-1375316,28241598,-1375316,28241598
(주)경농,2100,Dec-11,509664,173774102,3154155,176741869
(주)경농,2100,Dec-12,10310339,269412832,6590012,203467698
(주)경농,2100,Dec-13,13950249,255984725,13751960,214988593
(주)경농,2100,Dec-14,7099305,284623063,9271741,230870852
(주)경농,2100,Dec-15,6980392,316341853,6488880,265109291
(주)경농,2100,Dec-16,6365805,320915151,5770891,266622289
(주)경농,2100,Dec-17,10079442,335873898,11539079,268967010
(주)경농,2100,Dec-18,4878426,357260541,9613575,285031873
(주)경농,2100,Dec-19,4014664,370874091,7061857,297197088
(주)경동나비엔,9450,Dec-11,9467023,263211016,9445090,224373470
(주)경동나비엔,9450,Dec-12,9169965,299729837,9214927,254627468
(주)경동나비엔,9450,Dec-13,11129597,354779867,9251575,301475800
(주)경동나비엔,9450,Dec-14,9380054,401658957,9082312,331089242
(주)경동나비엔,9450,Dec-15,16752000,402084368,19320742,324848990
(주)경동나비엔,9450,Dec-16,37469924,429754702,28636194,347643876
(주)경동나비엔,9450,Dec-17,27019124,503697210,16291264,391400492
(주)경동나비엔,9450,Dec-18,24748538,583595818,22818064,440513661
(주)경동나비엔,9450,Dec-19,27852090,609808343,20474157,461607017
(주)경동도시가스,267290,Dec-17,17798556,710280194,17678888,707917077
(주)경동도시가스,267290,Dec-18,34164798,778269612,33981432,775880913
(주)경동도시가스,267290,Dec-19,24638348,749999474,24355132,747453908
(주)경동인베스트,12320,Dec-11,30327559,1001490869,50053289,941176098
(주)경동인베스트,12320,Dec-12,42879202,1209924561,56917580,1168400020
(주)경동인베스트,12320,Dec-13,49841905,1205008353,46253877,1161427092
(주)경동인베스트,12320,Dec-14,75930406,1320789066,44839494,1101071366
(주)경동인베스트,12320,Dec-15,-21251390,1167819522,-6095609,926392697
(주)경동인베스트,12320,Dec-16,19132415,1126122628,16356641,903818865
(주)경동인베스트,12320,Dec-17,51930860,599276331,7248447,318031347
(주)경동인베스트,12320,Dec-18,29827973,592002536,1574966,318776653
(주)경동인베스트,12320,Dec-19,8856009,605467383,-917643,316572482
(주)경방,50,Dec-11,-1131177,1352324332,-1822388,1331930968
(주)경방,50,Dec-12,-7910168,1335039930,-7074187,1301719900
(주)경방,50,Dec-13,14574395,1296989142,15103835,1261257414
(주)경방,50,Dec-14,11488471,1301841379,14235818,1275008413
(주)경방,50,Dec-15,16692163,1318643312,21604723,1259512344
(주)경방,50,Dec-16,29474988,1301910960,30977743,1237024388
(주)경방,50,Dec-17,25315361,1274042237,25679379,1199063663
(주)경방,50,Dec-18,20189241,1301792841,29198252,1226545382
(주)경방,50,Dec-19,43621631,1370742491,22223943,1296265431
(주)경보제약,214390,Dec-15,,,26109623,195488457
(주)경보제약,214390,Dec-16,,,12705930,203735980
(주)경보제약,214390,Dec-17,,,17963310,204869399
(주)경보제약,214390,Dec-18,,,13116049,221622993
(주)경보제약,214390,Dec-19,,,5285239,237816742
(주)경인양행,12610,Dec-11,2886360,319596954,2788642,245825940
(주)경인양행,12610,Dec-12,2093491,287452678,4475441,241045608
(주)경인양행,12610,Dec-13,10215710,316944796,12327177,274570963
(주)경인양행,12610,Dec-14,10148247,313039125,9090269,267331084
(주)경인양행,12610,Dec-15,3670895,326687437,107330,273778266
(주)경인양행,12610,Dec-16,6837522,344298515,3724987,290035389
(주)경인양행,12610,Dec-17,4779249,357951470,531273,296909084
(주)경인양행,12610,Dec-18,13801882,412996589,7419717,344908257
(주)경인양행,12610,Dec-19,16372880,472081003,4797711,381063538
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,1003761,115881620
