회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별)
(주)갤럭시아에스엠,11420,Dec-16,5657.39,6934.81,5013.27,6237.9
(주)갤럭시아에스엠,11420,Dec-17,-161.81,5532.81,-275.92,5462.09
(주)갤럭시아에스엠,11420,Dec-18,-9771.55,5592.68,-9601.87,5567.02
(주)갤럭시아에스엠,11420,Dec-19,3529.68,4694.17,3287.96,4694.17
(주)경농,2100,Dec-11,26483.85,18541.62,28809.42,17942.68
(주)경농,2100,Dec-12,39063.56,19258.86,32641.59,17207.25
(주)경농,2100,Dec-13,53114.35,25088.32,42493.74,18049.77
(주)경농,2100,Dec-14,47327.34,26487.96,38526.79,19582.14
(주)경농,2100,Dec-15,46908.64,27745.14,36680.28,20922.85
(주)경농,2100,Dec-16,48243.41,30093.71,37693.81,22916.37
(주)경농,2100,Dec-17,55717.38,31420.64,45275,22962.54
(주)경농,2100,Dec-18,57945.41,34475.19,47204.81,23608.33
(주)경농,2100,Dec-19,55965.47,34853.23,43823.04,24783.77
(주)경동나비엔,9450,Dec-11,60669.23,39878.64,50196.09,32043.22
(주)경동나비엔,9450,Dec-12,68423.43,47434.83,54692.56,37143.97
(주)경동나비엔,9450,Dec-13,79237.85,52177.36,55874.59,36033.33
(주)경동나비엔,9450,Dec-14,80978.36,55710.3,56282.59,36403.93
(주)경동나비엔,9450,Dec-15,107704.21,68208.97,76567.87,42770.21
(주)경동나비엔,9450,Dec-16,141866.08,75638.8,91445.07,45623.86
(주)경동나비엔,9450,Dec-17,148016.16,93685.62,88344.03,58209.99
(주)경동나비엔,9450,Dec-18,164621.76,108289.85,103466.23,63077.23
(주)경동나비엔,9450,Dec-19,195347,116375.39,119653.32,64858.64
(주)경동도시가스,267290,Dec-17,,,,
(주)경동도시가스,267290,Dec-18,105468.98,39859.58,97564.13,32358.48
(주)경동도시가스,267290,Dec-19,95819.67,40757.24,86578.45,32019.6
(주)경동인베스트,12320,Dec-11,92451.05,33728.32,95768.55,24662.21
(주)경동인베스트,12320,Dec-12,135007.2,47866.61,107979.21,27079.02
(주)경동인베스트,12320,Dec-13,140991.69,62730.57,93436.7,27891.51
