회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별)
(주)강원랜드,35250,Dec-18,1438059299,10584690,1148805,1436042435,10519131,1143581
(주)강원랜드,35250,Dec-19,1520080449,8657399,3636529,1517612252,8599415,3631307
(주)강원에너지,114190,Nov-11,,,,50222892,12650936,3989692
(주)강원에너지,114190,Dec-12,,,,106471214,42550425,3808870
(주)강원에너지,114190,Dec-13,,,,50660659,16589758,2086978
(주)강원에너지,114190,Dec-14,,,,51481321,26216322,1736909
(주)강원에너지,114190,Dec-15,46188664,16786020,1233999,48852892,16786020,1233999
(주)강원에너지,114190,Dec-16,42287473,28125754,335220,44448760,28125754,335220
(주)강원에너지,114190,Dec-17,82034829,47160876,361382,83113029,47160876,361382
(주)강원에너지,114190,Dec-18,85905365,43399528,543737,85905365,43399528,543737
(주)강원에너지,114190,Dec-19,42549622,20063616,118784,42549622,20063616,118784
(주)갤럭시아에스엠,11420,Dec-11,47331427,7628919,20209,31931418,6130238,0
(주)갤럭시아에스엠,11420,Dec-12,55049732,4791513,37487,37398255,5251377,0
(주)갤럭시아에스엠,11420,Dec-13,46437304,4956683,126351,30903637,4769683,0
(주)갤럭시아에스엠,11420,Dec-14,43885894,6615820,508736,33027933,6620157,404356
(주)갤럭시아에스엠,11420,Dec-15,62472754,4611248,11280,53784932,6445375,0
(주)갤럭시아에스엠,11420,Dec-16,52626331,6431047,0,45665676,6515454,0
(주)갤럭시아에스엠,11420,Dec-17,37281280,7542791,0,36917656,7481985,0
(주)갤럭시아에스엠,11420,Dec-18,22060413,5719635,0,22030258,5719122,0
(주)갤럭시아에스엠,11420,Dec-19,28732679,5897430,0,28732679,5897430,0
(주)경농,2100,Dec-11,121253605,9818596,70194121,120728258,9714905,70007203
(주)경농,2100,Dec-12,136970449,18805441,102583675,131021366,11173839,69708618
(주)경농,2100,Dec-13,196358952,22766814,98860077,139237273,13260133,70268926
(주)경농,2100,Dec-14,188483147,26488328,98308244,134806677,15336315,69968941
(주)경농,2100,Dec-15,196418710,29950451,115444315,137609256,19475979,84302523
(주)경농,2100,Dec-16,203984939,33292892,115876266,143209666,20474340,89356248
(주)경농,2100,Dec-17,206534382,34293741,119704437,143175105,21342674,91796107
(주)경농,2100,Dec-18,212654617,34470614,120967753,146216658,24098405,91526504
(주)경농,2100,Dec-19,227510941,34654361,133714688,151342037,22948270,101542875
(주)경동나비엔,9450,Dec-11,341246917,36210869,60788326,318269213,45321567,41637076
(주)경동나비엔,9450,Dec-12,379014259,37720771,59527947,341339118,52865768,33893618
(주)경동나비엔,9450,Dec-13,414177562,38993744,71724409,371601179,56666418,37417214
(주)경동나비엔,9450,Dec-14,428985365,41167793,83525372,382392117,77167697,40963230
(주)경동나비엔,9450,Dec-15,512031120,40720959,87185691,448302084,80824192,39239496
(주)경동나비엔,9450,Dec-16,583252904,51051560,89997026,506082201,85914718,41128987
(주)경동나비엔,9450,Dec-17,684660958,78968890,110374505,569819524,99173501,57016736
(주)경동나비엔,9450,Dec-18,726741615,94866914,150049770,618058456,120493677,74930222
(주)경동나비엔,9450,Dec-19,774290704,96284740,138114361,655419303,143343920,66299991
(주)경동도시가스,267290,Dec-17,871548284,263647773,1111165,870828897,263643633,1111165
(주)경동도시가스,267290,Dec-18,1606531867,249114243,1299646,1605687067,249117109,1299646
(주)경동도시가스,267290,Dec-19,1422707835,201864420,1333402,1421866212,201833997,1333402
(주)경동인베스트,12320,Dec-11,1847666903,352420975,6238419,1806174764,337190982,837931
(주)경동인베스트,12320,Dec-12,2502642394,429513466,20579836,2403814656,413063519,1073025
(주)경동인베스트,12320,Dec-13,2788264380,377298441,13656418,2664100017,370673340,759346
(주)경동인베스트,12320,Dec-14,2603059058,346363738,18386682,2399450987,306852953,1014437
(주)경동인베스트,12320,Dec-15,1604168482,258223845,8347076,1352478311,210450343,958537
(주)경동인베스트,12320,Dec-16,1181902637,259424655,10949433,1021002691,205523295,1016660
(주)경동인베스트,12320,Dec-17,195069859,66718773,14232992,612436,65907,0
(주)경동인베스트,12320,Dec-18,228644016,56884735,30703229,7460898,842694,87903
(주)경동인베스트,12320,Dec-19,271765025,63713573,30814751,8641051,844080,176596
(주)경방,50,Dec-11,348136369,31118341,72996830,275746943,32135932,71422892
(주)경방,50,Dec-12,333620804,31458436,52907652,265409209,31453366,50300747
(주)경방,50,Dec-13,347189559,34166562,40216862,264782077,31058761,35601409
(주)경방,50,Dec-14,329036023,35219398,37758471,256979444,32233594,34615710
(주)경방,50,Dec-15,357628146,37901704,52862910,307744480,31721636,37595998
(주)경방,50,Dec-16,377445013,38823607,45810493,313876822,31731834,33656952
(주)경방,50,Dec-17,360788750,34640336,31921285,288103985,27595270,22476156
(주)경방,50,Dec-18,351438926,42175729,59792825,279085217,29371128,35574579
(주)경방,50,Dec-19,343892085,37797870,31308041,253552382,24474870,13959690
(주)경보제약,214390,Dec-15,,,,178032632,46116955,49522277
(주)경보제약,214390,Dec-16,,,,186726170,50452400,47568951
(주)경보제약,214390,Dec-17,,,,191661374,55984549,47964422
(주)경보제약,214390,Dec-18,,,,201343596,67195051,53494316
(주)경보제약,214390,Dec-19,,,,191706189,52833419,62312499
(주)경인양행,12610,Dec-11,233095049,58900677,95390048,128707611,47702972,51423188
