회사명,거래소코드,회계년도,당기유동자산(IFRS연결),전기유동자산(IFRS연결),당기유동자산(IFRS개별),전기유동자산(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-14,176744598,176744598,174950116,174950116
(주)골프존뉴딘홀딩스,121440,Dec-15,97152205,97152205,45672526,45672526
(주)골프존뉴딘홀딩스,121440,Dec-16,102314350,102314350,63048320,63048320
(주)골프존뉴딘홀딩스,121440,Dec-17,117348020,117348020,46961353,46961353
(주)골프존뉴딘홀딩스,121440,Dec-18,99968915,99968915,59445798,59445798
(주)골프존뉴딘홀딩스,121440,Dec-19,125716505,125716505,30696570,30696570
(주)광림,14200,Dec-11,,,49443117,49443117
(주)광림,14200,Dec-12,,,53533329,53533329
(주)광림,14200,Dec-13,,66494275,66494275,66494275
(주)광림,14200,Dec-14,149961809,,53880127,149961809
(주)광림,14200,Dec-15,,57623469,57623469,57623469
(주)광림,14200,Dec-16,88113464,88602867,51509785,51509785
(주)광림,14200,Dec-17,78175789,78175789,255751980,255751980
(주)광림,14200,Dec-18,75325405,75325405,145430179,145430179
(주)광림,14200,Dec-19,114526470,108029904,82568345,76071779
(주)광명전기,17040,Dec-11,70952226,70952226,50517306,50517306
(주)광명전기,17040,Dec-12,80616850,80616850,59736559,59736559
(주)광명전기,17040,Dec-13,78305715,78305715,64082992,64082992
(주)광명전기,17040,Dec-14,93730239,93730239,76850052,76850052
(주)광명전기,17040,Dec-15,83058514,83058514,63045495,63045495
(주)광명전기,17040,Dec-16,72296041,72296041,62147467,62147467
(주)광명전기,17040,Dec-17,72825667,72825667,64686772,64686772
(주)광명전기,17040,Dec-18,69980314,69980314,59981263,59981263
(주)광명전기,17040,Dec-19,87126906,87126906,77171530,77171530
(주)광무,29480,Dec-11,37578091,37450466,35909129,36095177
(주)광무,29480,Dec-12,23778931,23778931,16266767,16266767
(주)광무,29480,Dec-13,14314055,,7025489,14314055
(주)광무,29480,Dec-14,,,9475626,9475626
(주)광무,29480,Dec-15,,,5286509,5286509
(주)광무,29480,Dec-16,,,11893960,11893960
(주)광무,29480,Dec-17,,14949942,14949942,14949942
(주)광무,29480,Dec-18,17301470,17301470,12582516,12582516
(주)광무,29480,Dec-19,39307761,39307761,33233586,33233586
(주)광주신세계,37710,Dec-11,,,260854658,260854658
(주)광주신세계,37710,Dec-12,,,287723501,287723501
(주)광주신세계,37710,Dec-13,,,25873334,25873334
(주)광주신세계,37710,Dec-14,,,24561635,24561635
(주)광주신세계,37710,Dec-15,,,33510638,33510638
(주)광주신세계,37710,Dec-16,,,32426270,32426270
(주)광주신세계,37710,Dec-17,,,33243825,33243825
(주)광주신세계,37710,Dec-18,,,77504431,77504431
(주)광주신세계,37710,Dec-19,,,103160925,103160925
(주)구영테크,53270,Dec-11,58842369,58842369,40821654,40821654
(주)구영테크,53270,Dec-12,66346373,66346373,48964877,48964877
(주)구영테크,53270,Dec-13,53694228,53694228,36391962,36391962
(주)구영테크,53270,Dec-14,57115595,57115595,40628726,40628726
(주)구영테크,53270,Dec-15,58836903,58836903,41055597,41055597
(주)구영테크,53270,Dec-16,54139890,54139890,39434041,39434041
(주)구영테크,53270,Dec-17,64140319,64140319,52077454,52077454
(주)구영테크,53270,Dec-18,60744298,60744298,43158029,43158029
(주)구영테크,53270,Dec-19,70165074,70165074,37519675,37519675
(주)국동,5320,Dec-11,39415062,39415062,22715717,22715717
(주)국동,5320,Dec-12,39351863,39351863,17991148,17991148
(주)국동,5320,Dec-13,48642552,48642552,24414342,24414342
(주)국동,5320,Dec-14,60454108,60454108,36105772,36105772
(주)국동,5320,Dec-15,63906154,63906154,34533151,34533151
(주)국동,5320,Dec-16,83256355,83256355,51330735,51330735
(주)국동,5320,Dec-17,66343830,66343830,39587109,39587109
(주)국동,5320,Dec-18,83767312,83767312,46980024,46980024
(주)국동,5320,Dec-19,89543258,89543258,54839302,54839302
(주)국보,1140,Dec-11,41337436,41337436,39894724,39894724
(주)국보,1140,Dec-12,39130945,,36506928,36506928
(주)국보,1140,Dec-13,37418409,37418409,35691910,35691910
(주)국보,1140,Dec-14,31669967,31669967,30298511,30298511
(주)국보,1140,Dec-15,26759792,26759792,25758664,25758664
(주)국보,1140,Dec-16,26046898,26046898,24610414,24610414
(주)국보,1140,Dec-17,18529522,18529522,17793062,17793062
(주)국보,1140,Dec-18,11759027,11759027,11593846,11593846
(주)국보,1140,Dec-19,70457619,70457619,17297097,17297097
(주)국보디자인,66620,Dec-11,59455203,59455203,57200948,57200948
(주)국보디자인,66620,Dec-12,74341481,74341481,72788158,72788158
(주)국보디자인,66620,Dec-13,102871707,102871707,95233392,95233392
(주)국보디자인,66620,Dec-14,106963249,106963249,99218627,99218627
(주)국보디자인,66620,Dec-15,107093318,107093318,96703601,96703601
(주)국보디자인,66620,Dec-16,128985094,128985094,118586463,118586463
(주)국보디자인,66620,Dec-17,135628503,135628503,127549210,127549210
(주)국보디자인,66620,Dec-18,142346121,142346121,127871195,127871195
(주)국보디자인,66620,Dec-19,194818591,194818591,169956490,169956490
(주)국순당,43650,Dec-11,82405755,82405755,77580053,77580053
(주)국순당,43650,Dec-12,87400525,87400525,81287902,81287902
(주)국순당,43650,Dec-13,100545624,100545624,84404848,84404848
(주)국순당,43650,Dec-14,99291581,99291581,86268346,86268346
(주)국순당,43650,Dec-15,97221146,97221146,82905503,82905503
(주)국순당,43650,Dec-16,85261001,85261001,71906088,71906088
(주)국순당,43650,Dec-17,86651908,87014026,75544356,75544356
(주)국순당,43650,Dec-18,72906719,72906719,62941465,62941465
(주)국순당,43650,Dec-19,78834555,73546813,60930981,60743554
(주)국영지앤엠,6050,Dec-11,,,25252313,25252313
(주)국영지앤엠,6050,Dec-12,,,21149484,21149484
(주)국영지앤엠,6050,Dec-13,,,25059260,25059260
(주)국영지앤엠,6050,Dec-14,,,22615829,22615829
(주)국영지앤엠,6050,Dec-15,,,27918404,27918404
(주)국영지앤엠,6050,Dec-16,,,29575531,29575531
(주)국영지앤엠,6050,Dec-17,,,29995395,29995395
(주)국영지앤엠,6050,Dec-18,,,25138635,25138635
(주)국영지앤엠,6050,Dec-19,,,32068324,32068324
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,278334197,278334197,24034151,24034151
(주)그래디언트,35080,Dec-12,240486033,877124364,14309378,14309378
(주)그래디언트,35080,Dec-13,979087606,979087606,1714561,1714561
(주)그래디언트,35080,Dec-14,1142871354,1142871354,3742011,3742011
(주)그래디언트,35080,Dec-15,1337838696,1337838696,949479,949479
(주)그래디언트,35080,Dec-16,1415600914,1415600914,395047,395047
(주)그래디언트,35080,Dec-17,1229878565,1229878565,3201309,3201309
(주)그래디언트,35080,Dec-18,1261972833,1261972833,2674301,2674301
(주)그래디언트,35080,Dec-19,1206801338,1206801338,208003,208003
(주)그리티,204020,Dec-18,89112620,89112620,75670982,75670982
(주)그리티,204020,Dec-19,82603832,82603832,68611692,68611692
(주)그린플러스,186230,Dec-19,38480019,38480019,28574671,28574671
(주)글로벌스탠다드테크놀로지,83450,Dec-11,33914648,33914648,31754029,31754029
(주)글로벌스탠다드테크놀로지,83450,Dec-12,31615500,31615500,27371107,27371107
(주)글로벌스탠다드테크놀로지,83450,Dec-13,37636405,37636405,34350069,34350069
(주)글로벌스탠다드테크놀로지,83450,Dec-14,42966221,42966221,38669764,38669764
(주)글로벌스탠다드테크놀로지,83450,Dec-15,35391249,35391249,30726947,30726947
(주)글로벌스탠다드테크놀로지,83450,Dec-16,53825575,53825575,46676903,46676903
(주)글로벌스탠다드테크놀로지,83450,Dec-17,57916418,57916418,46766708,46766708
(주)글로벌스탠다드테크놀로지,83450,Dec-18,54651818,54651818,41265448,41265448
(주)글로벌스탠다드테크놀로지,83450,Dec-19,88978443,88978443,78199372,78199372
(주)금비,8870,Sep-11,65598563,65598563,31090507,31090507
(주)금비,8870,Sep-12,69601347,69601347,27896984,27896984
(주)금비,8870,Sep-13,62071037,62071037,25680687,25680687
(주)금비,8870,Sep-14,69421539,69421539,23356269,23356269
(주)금비,8870,Sep-15,77826715,77826715,30922809,30922809
(주)금비,8870,Sep-16,92313829,92313829,36295583,36295583
(주)금비,8870,Sep-17,90869613,90869613,30234670,30234670
(주)금비,8870,Sep-18,97025499,97025499,32217235,32217235
(주)금비,8870,Sep-19,105632362,105632362,34312672,34312672
(주)금양,1570,Dec-11,73356949,73356949,50168793,50168793
(주)금양,1570,Dec-12,69850864,69850864,46841743,46841743
(주)금양,1570,Dec-13,90828722,90828722,60939478,60939478
(주)금양,1570,Dec-14,111767170,111767170,57627190,57627190
(주)금양,1570,Dec-15,116881516,116881516,63905239,63905239
(주)금양,1570,Dec-16,92604838,92604838,61611949,61611949
(주)금양,1570,Dec-17,130477254,130477254,58591469,58591469
(주)금양,1570,Dec-18,129420730,129420730,48188432,48188432
(주)금양,1570,Dec-19,130285368,130285368,61997758,61997758
(주)금호에이치티,214330,Dec-15,86522457,86522457,80694020,80694020
(주)금호에이치티,214330,Dec-16,90849794,90849794,92744392,92744392
(주)금호에이치티,214330,Dec-17,88316450,88316450,89724027,89724027
(주)금호에이치티,214330,Dec-18,155547300,155547300,138884192,138884192
(주)금호에이치티,214330,Dec-19,204929138,204929138,183830342,183830342
(주)금화피에스시,36190,Dec-11,,,65271945,65271945
(주)금화피에스시,36190,Dec-12,,73807483,73807483,73807483
(주)금화피에스시,36190,Dec-13,89606593,89606593,78244379,78244379
(주)금화피에스시,36190,Dec-14,92403274,92403274,76794467,76794467
(주)금화피에스시,36190,Dec-15,121277555,121277555,103478978,103478978
(주)금화피에스시,36190,Dec-16,144728651,144728651,126330610,126330610
