회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별)
(주)경농,2100,Dec-18,212654617,120967753,146216658,91526504
(주)경농,2100,Dec-19,227510941,133714688,151342037,101542875
(주)경동나비엔,9450,Dec-11,341246917,60788326,318269213,41637076
(주)경동나비엔,9450,Dec-12,379014259,59527947,341339118,33893618
(주)경동나비엔,9450,Dec-13,414177562,71724409,371601179,37417214
(주)경동나비엔,9450,Dec-14,428985365,83525372,382392117,40963230
(주)경동나비엔,9450,Dec-15,512031120,87185691,448302084,39239496
(주)경동나비엔,9450,Dec-16,583252904,89997026,506082201,41128987
(주)경동나비엔,9450,Dec-17,684660958,110374505,569819524,57016736
(주)경동나비엔,9450,Dec-18,726741615,150049770,618058456,74930222
(주)경동나비엔,9450,Dec-19,774290704,138114361,655419303,66299991
(주)경동도시가스,267290,Dec-17,871548284,1111165,870828897,1111165
(주)경동도시가스,267290,Dec-18,1606531867,1299646,1605687067,1299646
(주)경동도시가스,267290,Dec-19,1422707835,1333402,1421866212,1333402
(주)경동인베스트,12320,Dec-11,1847666903,6238419,1806174764,837931
(주)경동인베스트,12320,Dec-12,2502642394,20579836,2403814656,1073025
(주)경동인베스트,12320,Dec-13,2788264380,13656418,2664100017,759346
(주)경동인베스트,12320,Dec-14,2603059058,18386682,2399450987,1014437
(주)경동인베스트,12320,Dec-15,1604168482,8347076,1352478311,958537
(주)경동인베스트,12320,Dec-16,1181902637,10949433,1021002691,1016660
(주)경동인베스트,12320,Dec-17,195069859,14232992,612436,0
(주)경동인베스트,12320,Dec-18,228644016,30703229,7460898,87903
(주)경동인베스트,12320,Dec-19,271765025,30814751,8641051,176596
(주)경방,50,Dec-11,348136369,72996830,275746943,71422892
(주)경방,50,Dec-12,333620804,52907652,265409209,50300747
(주)경방,50,Dec-13,347189559,40216862,264782077,35601409
(주)경방,50,Dec-14,329036023,37758471,256979444,34615710
(주)경방,50,Dec-15,357628146,52862910,307744480,37595998
(주)경방,50,Dec-16,377445013,45810493,313876822,33656952
(주)경방,50,Dec-17,360788750,31921285,288103985,22476156
(주)경방,50,Dec-18,351438926,59792825,279085217,35574579
(주)경방,50,Dec-19,343892085,31308041,253552382,13959690
(주)경보제약,214390,Dec-15,,,178032632,49522277
(주)경보제약,214390,Dec-16,,,186726170,47568951
(주)경보제약,214390,Dec-17,,,191661374,47964422
(주)경보제약,214390,Dec-18,,,201343596,53494316
(주)경보제약,214390,Dec-19,,,191706189,62312499
(주)경인양행,12610,Dec-11,233095049,95390048,128707611,51423188
(주)경인양행,12610,Dec-12,218604655,70357744,141304459,38724208
(주)경인양행,12610,Dec-13,260808400,90667397,183106757,60685132
(주)경인양행,12610,Dec-14,277181095,89741323,190395047,57418066
(주)경인양행,12610,Dec-15,263163677,95494779,175006703,62450588
(주)경인양행,12610,Dec-16,274873817,99419770,179267850,66161603
(주)경인양행,12610,Dec-17,299987729,97118533,193975818,63955013
(주)경인양행,12610,Dec-18,331102011,123873222,222659442,86129207
(주)경인양행,12610,Dec-19,358802386,141253404,245244968,101010142
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
