회사명,거래소코드,회계년도,당기순이익(IFRS연결),매출액(IFRS연결),당기순이익(IFRS개별),매출액(IFRS개별)
(주)광주신세계,37710,Dec-13,,,48569715,206606675
(주)광주신세계,37710,Dec-14,,,42236355,204820461
(주)광주신세계,37710,Dec-15,,,45901413,205331892
(주)광주신세계,37710,Dec-16,,,45554028,210423594
(주)광주신세계,37710,Dec-17,,,47846191,209647360
(주)광주신세계,37710,Dec-18,,,45093180,135213362
(주)광주신세계,37710,Dec-19,,,47668959,154879496
(주)구영테크,53270,Dec-11,-647883,147832315,985788,62527619
(주)구영테크,53270,Dec-12,1633009,155788988,1250176,65451015
(주)구영테크,53270,Dec-13,2179847,172747316,1137402,76282590
(주)구영테크,53270,Dec-14,2236588,170528694,1326679,77799749
(주)구영테크,53270,Dec-15,4158785,172083049,3196300,87109177
(주)구영테크,53270,Dec-16,2542450,148301597,3920237,75320433
(주)구영테크,53270,Dec-17,1357296,149833357,1239184,74298129
(주)구영테크,53270,Dec-18,5920905,195238339,3912117,81928926
(주)구영테크,53270,Dec-19,3387486,230853336,1558141,93132845
(주)국동,5320,Dec-11,-7212195,154293577,-12930687,100097439
(주)국동,5320,Dec-12,5142066,138172746,262553,91524436
(주)국동,5320,Dec-13,4009323,147860227,2373991,95716049
(주)국동,5320,Dec-14,8898694,186086561,4692501,117861978
(주)국동,5320,Dec-15,5235608,170296068,5321778,102431161
(주)국동,5320,Dec-16,6208749,197368723,4379974,127275873
(주)국동,5320,Dec-17,-8967738,191602989,-6593433,130016453
(주)국동,5320,Dec-18,2111761,219550054,1351547,136811631
(주)국동,5320,Dec-19,-4523376,223077183,-6989987,116180044
(주)국보,1140,Dec-11,-37903,130636214,-176708,118304924
(주)국보,1140,Dec-12,-874559,122343037,-1916073,109183947
(주)국보,1140,Dec-13,-3846673,117073443,-3766842,108994114
(주)국보,1140,Dec-14,-6999514,97520169,-6633427,89859741
(주)국보,1140,Dec-15,-4043773,91618545,-3679630,85267457
(주)국보,1140,Dec-16,-4187272,87333326,-5034348,77773715
(주)국보,1140,Dec-17,-2889794,78255522,-2761653,74662255
(주)국보,1140,Dec-18,-3999572,71549828,-4038217,66929948
(주)국보,1140,Dec-19,-6676274,89087334,-9851123,58296078
(주)국보디자인,66620,Dec-11,6055732,130689686,6607794,123203000
(주)국보디자인,66620,Dec-12,8281324,119402993,8631842,118458574
(주)국보디자인,66620,Dec-13,10935895,163518536,9417821,153216189
(주)국보디자인,66620,Dec-14,10942079,176373907,7901285,158268803
(주)국보디자인,66620,Dec-15,10768050,192608497,6947669,157657615
(주)국보디자인,66620,Dec-16,10738135,201410031,11905078,191620729
(주)국보디자인,66620,Dec-17,13340935,270658405,14149734,262522024
(주)국보디자인,66620,Dec-18,13872876,254259835,14098992,231093439
(주)국보디자인,66620,Dec-19,15942956,269005976,9509021,237054909
(주)국순당,43650,Dec-11,5264054,127686247,5640710,124279594
(주)국순당,43650,Dec-12,6185532,118697826,5122888,115146725
(주)국순당,43650,Dec-13,5742772,99173525,2346882,96140591
(주)국순당,43650,Dec-14,3463226,91863604,1997559,89173752
(주)국순당,43650,Dec-15,-3529405,77443124,-4854598,74955341
