회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별)
(주)고영테크놀러지,98460,Dec-11,28970.09,0,27718.99,0
(주)고영테크놀러지,98460,Dec-12,32628.63,4182630,28550.06,0
(주)고영테크놀러지,98460,Dec-13,31220.69,0,28707.49,0
(주)고영테크놀러지,98460,Dec-14,46699.29,0,42596.7,0
(주)고영테크놀러지,98460,Dec-15,46544.16,0,43429.68,0
(주)고영테크놀러지,98460,Dec-16,62157.4,0,52985.52,0
(주)고영테크놀러지,98460,Dec-17,65695.26,0,58409.3,0
(주)고영테크놀러지,98460,Dec-18,86343.44,0,75984.96,0
(주)고영테크놀러지,98460,Dec-19,80742.92,0,73465.3,0
(주)골드앤에스,35290,Dec-11,15570.49,0,14658.86,0
(주)골드앤에스,35290,Dec-12,7635.89,0,7893.95,0
(주)골드앤에스,35290,Dec-13,1375.8,0,-1958.86,0
(주)골드앤에스,35290,Dec-14,4010.26,0,1806.61,0
(주)골드앤에스,35290,Dec-15,1377.12,0,-3739.74,0
(주)골드앤에스,35290,Dec-16,4764.12,0,4792.12,0
(주)골드앤에스,35290,Dec-17,-4291.99,0,-4235.05,0
(주)골드앤에스,35290,Dec-18,-311.92,6312785,11.61,6312785
(주)골드앤에스,35290,Dec-19,-15967.57,5041785,-16227.48,5041785
(주)골드퍼시픽,38530,Dec-11,,,4434.65,8735073
(주)골드퍼시픽,38530,Dec-12,,,4958.14,8806771
(주)골드퍼시픽,38530,Dec-13,-4290.42,9852362,-3602.2,9148493
(주)골드퍼시픽,38530,Dec-14,1554.55,23218426,-2264.04,9462293
(주)골드퍼시픽,38530,Dec-15,-2786.97,9384643,-7836.3,9384643
(주)골드퍼시픽,38530,Dec-16,,,-19661.53,8456317
(주)골드퍼시픽,38530,Dec-17,,,1313.87,1187
(주)골드퍼시픽,38530,Dec-18,-1488.34,1,-1459.51,1
(주)골드퍼시픽,38530,Dec-19,,,-25252.68,1
(주)골프존,215000,Dec-15,,15246397,,14772092
(주)골프존,215000,Dec-16,82752.48,8489191,69940.02,8016159
(주)골프존,215000,Dec-17,86594.02,6366433,71718.52,5302425
(주)골프존,215000,Dec-18,63252.87,10750003,60657.91,9375475
(주)골프존,215000,Dec-19,99662.42,23070705,87478.96,21081631
(주)골프존뉴딘홀딩스,121440,Dec-11,68848.89,3740999,65510.64,2137988
(주)골프존뉴딘홀딩스,121440,Dec-12,121408.57,6741088,108386.02,4325719
(주)골프존뉴딘홀딩스,121440,Dec-13,104828.51,9468630,89965.12,6257588
(주)골프존뉴딘홀딩스,121440,Dec-14,165410.32,14665169,110458.29,11868301
(주)골프존뉴딘홀딩스,121440,Dec-15,25820.5,5486432,3300.63,929229
(주)골프존뉴딘홀딩스,121440,Dec-16,50468.4,4811532,-9300.74,1279019
(주)골프존뉴딘홀딩스,121440,Dec-17,23288.31,3866859,-6328.61,1152613
(주)골프존뉴딘홀딩스,121440,Dec-18,60807.94,1045111,19639.69,1007080
(주)골프존뉴딘홀딩스,121440,Dec-19,30323.24,3905950,-17313.43,1063694
(주)광림,14200,Dec-11,,,15697.65,4936148
(주)광림,14200,Dec-12,,,10280.56,5018088
(주)광림,14200,Dec-13,,,11826.55,4996916
(주)광림,14200,Dec-14,34136.72,53846653,12621.85,4661089
(주)광림,14200,Dec-15,,,46963.35,5377868
(주)광림,14200,Dec-16,9774.59,81201134,12766.74,5131560
(주)광림,14200,Dec-17,9886.97,19796653,121763.98,5833221
(주)광림,14200,Dec-18,-58751.81,12732645,-63701.87,5716811
(주)광림,14200,Dec-19,22505.39,11784102,-65585.59,5564962
(주)광명전기,17040,Dec-11,12700.72,8654360,8524.07,3462346
(주)광명전기,17040,Dec-12,13422.2,3890671,7812.51,3507146
(주)광명전기,17040,Dec-13,22856.32,3897065,16789.22,3524946
(주)광명전기,17040,Dec-14,24682.31,5186446,20049.23,4782027
(주)광명전기,17040,Dec-15,23499.45,5547126,14620.46,4881827
(주)광명전기,17040,Dec-16,16207.87,5239441,30170.87,5001034
(주)광명전기,17040,Dec-17,9525.8,6367073,8812.49,6126867
(주)광명전기,17040,Dec-18,17755.15,19907021,15738.2,6337047
(주)광명전기,17040,Dec-19,20753.67,6618653,19713.93,6364047
(주)광무,29480,Dec-11,-31297.66,7156944,-34287.6,6974848
