회사명,거래소코드,회계년도,유형자산(IFRS연결),건설중인자산(IFRS연결),유형자산(IFRS개별),건설중인자산(IFRS개별),합계_기말인원
(주)고영테크놀러지,98460,Dec-17,0,0,24158929,0,340
(주)고영테크놀러지,98460,Dec-18,0,586717,32377941,586717,408
(주)고영테크놀러지,98460,Dec-19,0,1418345,35418136,1216523,473
(주)골드앤에스,35290,Dec-11,0,0,995140,0,161
(주)골드앤에스,35290,Dec-12,0,0,851327,0,157
(주)골드앤에스,35290,Dec-13,0,0,810357,0,114
(주)골드앤에스,35290,Dec-14,0,0,502559,0,74
(주)골드앤에스,35290,Dec-15,0,0,299779,0,52
(주)골드앤에스,35290,Dec-16,0,0,193816,0,60
(주)골드앤에스,35290,Dec-17,0,225000,336869,225000,47
(주)골드앤에스,35290,Dec-18,0,547793,11191043,547793,61
(주)골드앤에스,35290,Dec-19,0,3215877,3722968,3215877,49
(주)골드퍼시픽,38530,Dec-11,,,10069863,0,59
(주)골드퍼시픽,38530,Dec-12,,,8743387,0,70
(주)골드퍼시픽,38530,Dec-13,0,0,7249195,0,56
(주)골드퍼시픽,38530,Dec-14,0,0,5643164,0,22
(주)골드퍼시픽,38530,Dec-15,0,0,2580222,0,45
(주)골드퍼시픽,38530,Dec-16,,,1333057,0,96
(주)골드퍼시픽,38530,Dec-17,,,1297094,0,30
(주)골드퍼시픽,38530,Dec-18,0,0,83408,0,26
(주)골드퍼시픽,38530,Dec-19,,,908909,0,56
(주)골프존,215000,Dec-15,0,315424,74039599,315424,266
(주)골프존,215000,Dec-16,0,1052532,69486714,1902531,280
(주)골프존,215000,Dec-17,0,1536294,66800539,1873793,244
(주)골프존,215000,Dec-18,0,4058657,81753994,4084449,470
(주)골프존,215000,Dec-19,0,3931002,110267389,3816277,398
(주)골프존뉴딘홀딩스,121440,Dec-11,0,183263,49239742,161565,440
(주)골프존뉴딘홀딩스,121440,Dec-12,0,4276584,136357274,3745339,563
(주)골프존뉴딘홀딩스,121440,Dec-13,0,16688544,136081977,16762949,459
(주)골프존뉴딘홀딩스,121440,Dec-14,0,24004610,178117980,501520,417
(주)골프존뉴딘홀딩스,121440,Dec-15,0,340740,98347480,133200,142
(주)골프존뉴딘홀딩스,121440,Dec-16,0,2625852,98552925,1487569,164
(주)골프존뉴딘홀딩스,121440,Dec-17,666390,2852226,92900686,864094,114
(주)골프존뉴딘홀딩스,121440,Dec-18,0,2471139,83633825,131527,57
(주)골프존뉴딘홀딩스,121440,Dec-19,0,2171905,70002997,37571,42
(주)광림,14200,Dec-11,,,23759906,0,199
(주)광림,14200,Dec-12,,,23876350,0,194
(주)광림,14200,Dec-13,,,23947251,0,217
(주)광림,14200,Dec-14,0,0,23724344,0,217
(주)광림,14200,Dec-15,,,24452723,0,237
(주)광림,14200,Dec-16,0,1224678,25674614,0,235
(주)광림,14200,Dec-17,0,68266,26240529,0,225
(주)광림,14200,Dec-18,0,14332125,24128152,0,195
(주)광림,14200,Dec-19,0,1473188,23627901,0,187
(주)광명전기,17040,Dec-11,0,1561771,11465013,1355880,175
(주)광명전기,17040,Dec-12,0,823565,11648472,0,179
(주)광명전기,17040,Dec-13,0,0,11245458,0,183
(주)광명전기,17040,Dec-14,0,0,12676386,0,193
(주)광명전기,17040,Dec-15,0,0,12392219,0,195
(주)광명전기,17040,Dec-16,0,0,12127197,0,201
(주)광명전기,17040,Dec-17,0,12300511,15402240,0,190
(주)광명전기,17040,Dec-18,0,335403,21240625,335403,192
(주)광명전기,17040,Dec-19,0,399323,20755434,399323,194
