회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),부채(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),부채(IFRS개별)
(주)경인양행,12610,Dec-19,6768170,234647863,-2222389,179977211
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,3161867,38487512
(주)고려시멘트,198440,Dec-18,,,1728759,41025871
(주)고려시멘트,198440,Dec-19,,,2862239,38590195
(주)고영테크놀러지,98460,Dec-11,13903738,17383474,12776648,16635495
(주)고영테크놀러지,98460,Dec-12,11397833,19950870,10610309,18928736
(주)고영테크놀러지,98460,Dec-13,13282913,22632008,12177046,21277632
(주)고영테크놀러지,98460,Dec-14,25603240,25885224,23831965,23524948
(주)고영테크놀러지,98460,Dec-15,16569102,27381980,15161650,26600137
(주)고영테크놀러지,98460,Dec-16,29234878,37853661,17957289,36760049
(주)고영테크놀러지,98460,Dec-17,19941301,43890214,7492877,40860118
(주)고영테크놀러지,98460,Dec-18,21765311,53192797,44999013,50714272
(주)고영테크놀러지,98460,Dec-19,29168422,61812656,26124765,55999383
(주)골드앤에스,35290,Dec-11,8628850,24240316,8673653,23709321
(주)골드앤에스,35290,Dec-12,2478990,26432789,2427629,24809934
(주)골드앤에스,35290,Dec-13,-204052,38315150,-2348440,24695648
(주)골드앤에스,35290,Dec-14,-991208,34445853,-462082,19800028
(주)골드앤에스,35290,Dec-15,1708284,8941840,2167956,8605906
(주)골드앤에스,35290,Dec-16,1679723,4403117,1667960,4193998
(주)골드앤에스,35290,Dec-17,361216,3827858,-940910,3890051
(주)골드앤에스,35290,Dec-18,-3136830,28693062,-2810496,28605618
(주)골드앤에스,35290,Dec-19,-6506543,21187743,-6246635,21097263
(주)골드퍼시픽,38530,Dec-11,,,1749769,5643796
(주)골드퍼시픽,38530,Dec-12,,,-4543789,6933139
(주)골드퍼시픽,38530,Dec-13,-2334044,17496573,-4333969,13401333
(주)골드퍼시픽,38530,Dec-14,-4905537,25380917,-5423532,15034120
(주)골드퍼시픽,38530,Dec-15,-5635841,7380179,-7136666,7380179
(주)골드퍼시픽,38530,Dec-16,,,-6549921,9232425
(주)골드퍼시픽,38530,Dec-17,,,-878680,21203473
(주)골드퍼시픽,38530,Dec-18,-3626992,17738744,-2028216,17201663
(주)골드퍼시픽,38530,Dec-19,,,-3541143,51876425
(주)골프존,215000,Dec-15,44345997,69278343,41872803,66566259
(주)골프존,215000,Dec-16,35237011,67265600,32717567,61749251
(주)골프존,215000,Dec-17,80376887,64290538,79436410,57616911
(주)골프존,215000,Dec-18,32883976,59138246,34481459,57141835
(주)골프존,215000,Dec-19,39501603,112544404,38567865,99331248
(주)골프존뉴딘홀딩스,121440,Dec-11,46128334,29085545,46694787,25141723
(주)골프존뉴딘홀딩스,121440,Dec-12,61269978,129285917,73950383,101615001
(주)골프존뉴딘홀딩스,121440,Dec-13,63430820,213296141,72616582,162390400
(주)골프존뉴딘홀딩스,121440,Dec-14,28790402,275651284,30858148,112963321
(주)골프존뉴딘홀딩스,121440,Dec-15,-15266617,215964752,-16346800,33959695
(주)골프존뉴딘홀딩스,121440,Dec-16,15895535,232685516,5618275,55051510
(주)골프존뉴딘홀딩스,121440,Dec-17,-1173648,255588307,-1147880,56170310
(주)골프존뉴딘홀딩스,121440,Dec-18,-20158087,288773468,-4416464,78906181
(주)골프존뉴딘홀딩스,121440,Dec-19,5656323,329187192,2640435,87456888
(주)광림,14200,Dec-11,,,11879861,29675945
(주)광림,14200,Dec-12,,,2753017,26263800
(주)광림,14200,Dec-13,,,14536213,36795801
(주)광림,14200,Dec-14,-6344996,115915632,-3582919,54024876
(주)광림,14200,Dec-15,,,-2663712,65439447
(주)광림,14200,Dec-16,3288372,116090771,3288372,61859263
(주)광림,14200,Dec-17,-15250032,100367615,8658598,193026086
(주)광림,14200,Dec-18,-13294713,97737400,1251490,115448249
(주)광림,14200,Dec-19,-12235587,161696117,639491,132819619
(주)광명전기,17040,Dec-11,1765403,60950408,1814521,43005031
(주)광명전기,17040,Dec-12,3436380,68072142,1183806,49081920
(주)광명전기,17040,Dec-13,3129414,51063085,615721,44690725
(주)광명전기,17040,Dec-14,11464334,59883994,8403184,52251735
(주)광명전기,17040,Dec-15,18501076,43628267,13723720,36443563
(주)광명전기,17040,Dec-16,4502682,48795959,2813219,39069932
(주)광명전기,17040,Dec-17,6647411,56068919,5270038,43450530
(주)광명전기,17040,Dec-18,-3815893,53074770,-4019510,36169226
(주)광명전기,17040,Dec-19,20495932,51313845,23614371,46405743
(주)광무,29480,Dec-11,8460656,38114862,9882003,36539844
(주)광무,29480,Dec-12,-5808549,26281385,-5777036,23645347
(주)광무,29480,Dec-13,-971186,26597916,-759831,17543532
(주)광무,29480,Dec-14,,,1529973,19357078
(주)광무,29480,Dec-15,,,-550286,13388763
(주)광무,29480,Dec-16,,,154459,21036538
(주)광무,29480,Dec-17,,,247467,15398329
(주)광무,29480,Dec-18,-1324743,17702532,-889612,16322215
(주)광무,29480,Dec-19,-2435580,40295715,-2567529,34954525
(주)광주신세계,37710,Dec-11,,,58007847,70539083
(주)광주신세계,37710,Dec-12,,,56319963,69047125
(주)광주신세계,37710,Dec-13,,,57337481,247664982
(주)광주신세계,37710,Dec-14,,,50217757,204133762
(주)광주신세계,37710,Dec-15,,,52123039,168114362
(주)광주신세계,37710,Dec-16,,,50122658,121212540
(주)광주신세계,37710,Dec-17,,,51294766,75655139
(주)광주신세계,37710,Dec-18,,,53868560,75548265
(주)광주신세계,37710,Dec-19,,,74340570,91233250
(주)구영테크,53270,Dec-11,1574250,112838066,299063,66978384
(주)구영테크,53270,Dec-12,11791408,124476132,3400845,80138360
(주)구영테크,53270,Dec-13,11048296,110206350,6156243,66787227
(주)구영테크,53270,Dec-14,3399363,103644323,-1477205,59346118
(주)구영테크,53270,Dec-15,17308908,104929726,9373875,58694581
(주)구영테크,53270,Dec-16,19282164,108968199,12368645,62465401
(주)구영테크,53270,Dec-17,5515131,131198641,3339453,92481970
(주)구영테크,53270,Dec-18,3263344,133745074,-2316059,88631025
(주)구영테크,53270,Dec-19,7656129,134865616,9760503,82365983
(주)국동,5320,Dec-11,-963482,62332735,-547564,39597506
(주)국동,5320,Dec-12,4976107,56385558,2881390,33038005
(주)국동,5320,Dec-13,-2405589,57628398,-1572579,34247141
(주)국동,5320,Dec-14,-12910,60632031,-1689994,39056428
(주)국동,5320,Dec-15,3908416,62532443,1327414,43846686
(주)국동,5320,Dec-16,747703,72400997,-2263482,46046814
(주)국동,5320,Dec-17,-6827943,63676354,-3177835,36515485
(주)국동,5320,Dec-18,-3944667,74659657,-4000973,38965464
(주)국동,5320,Dec-19,3901005,68242500,9576372,42506527
(주)국보,1140,Dec-11,3249944,64402912,2837703,63540967
(주)국보,1140,Dec-12,-3613866,64701450,-3331024,62297482
(주)국보,1140,Dec-13,2809735,68547122,3388938,67236888
(주)국보,1140,Dec-14,-238084,68385263,54417,66613157
(주)국보,1140,Dec-15,-837022,64675995,-691347,63045201
(주)국보,1140,Dec-16,507314,66033326,175508,64287142
(주)국보,1140,Dec-17,-3103505,55421608,-2767209,53780069
(주)국보,1140,Dec-18,-6078157,34775907,-5954554,34021141
(주)국보,1140,Dec-19,-9899692,86752439,-6376380,45188516
(주)국보디자인,66620,Dec-11,15461768,32057338,17106438,30730895
(주)국보디자인,66620,Dec-12,15200794,35313021,15836189,34589879
(주)국보디자인,66620,Dec-13,20298063,62304123,18002150,57018397
(주)국보디자인,66620,Dec-14,13115955,57660989,14386136,55233687
(주)국보디자인,66620,Dec-15,12342482,57782472,5593211,53570805
(주)국보디자인,66620,Dec-16,12706335,71523640,16198340,70548163
(주)국보디자인,66620,Dec-17,17688040,65097890,19976906,63937167
(주)국보디자인,66620,Dec-18,2672078,66436346,198822,58152003
(주)국보디자인,66620,Dec-19,5879030,99151096,5796396,85686398
(주)국순당,43650,Dec-11,7678883,21020767,7229199,19804029
(주)국순당,43650,Dec-12,7480415,18103728,8478916,17184003
(주)국순당,43650,Dec-13,4097835,23547445,6875600,17213771
(주)국순당,43650,Dec-14,2930587,20669149,5749495,18944456
(주)국순당,43650,Dec-15,-9008894,18420650,-5215387,17410245
(주)국순당,43650,Dec-16,141542,18986190,2454538,16888868
(주)국순당,43650,Dec-17,-2421354,20660503,18084724,17086381
(주)국순당,43650,Dec-18,-5633688,22939575,15817595,17730015
(주)국순당,43650,Dec-19,-4311503,47525638,-3808205,13082667
(주)국영지앤엠,6050,Dec-11,,,2359273,28289760
(주)국영지앤엠,6050,Dec-12,,,-7365050,14237403
(주)국영지앤엠,6050,Dec-13,,,6008427,16762705
(주)국영지앤엠,6050,Dec-14,,,3236205,11754876
(주)국영지앤엠,6050,Dec-15,,,647455,14740854
(주)국영지앤엠,6050,Dec-16,,,-3296247,15112874
(주)국영지앤엠,6050,Dec-17,,,239246,13489458
(주)국영지앤엠,6050,Dec-18,,,5051582,8586831
(주)국영지앤엠,6050,Dec-19,,,-2377260,15830851
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,30951834,448781572,2250816,187176481
(주)그래디언트,35080,Dec-12,-36922160,343327081,-10567228,70524662
(주)그래디언트,35080,Dec-13,79408763,846564410,-6019310,70931985
(주)그래디언트,35080,Dec-14,231909338,1020007595,-1016428,35815115
(주)그래디언트,35080,Dec-15,-17283547,1202893253,4203314,44313733
(주)그래디언트,35080,Dec-16,115110645,1233206219,-2590783,15287631
(주)그래디언트,35080,Dec-17,185478374,1062216374,7851585,15302824
(주)그래디언트,35080,Dec-18,89690570,1095183390,5564172,14238879
(주)그래디언트,35080,Dec-19,136435672,1110465400,5968487,16057558
(주)그리티,204020,Dec-18,5431995,21294442,6716028,12506261
(주)그리티,204020,Dec-19,-1686901,17970493,-1030107,11970153
(주)그린플러스,186230,Dec-19,-2089558,34930648,-574078,19815070
(주)글로벌스탠다드테크놀로지,83450,Dec-11,4492432,24980582,3441305,23359541
(주)글로벌스탠다드테크놀로지,83450,Dec-12,4001355,17816313,2653228,15671535
(주)글로벌스탠다드테크놀로지,83450,Dec-13,1561871,19996780,1808359,17883380
(주)글로벌스탠다드테크놀로지,83450,Dec-14,12091380,19126184,9680397,17693459
(주)글로벌스탠다드테크놀로지,83450,Dec-15,6748971,13016302,5202229,11103032
(주)글로벌스탠다드테크놀로지,83450,Dec-16,158727,28626022,-449319,25336853
(주)글로벌스탠다드테크놀로지,83450,Dec-17,17990434,24125110,15891168,21687828
(주)글로벌스탠다드테크놀로지,83450,Dec-18,2345516,19219582,5219548,14883193
(주)글로벌스탠다드테크놀로지,83450,Dec-19,19307761,33440861,15029673,30580877
(주)금비,8870,Sep-11,12321864,87657510,3797084,58196584
(주)금비,8870,Sep-12,7352357,87911756,130614,55167793
(주)금비,8870,Sep-13,13722575,81907114,4278839,55942614
(주)금비,8870,Sep-14,20828874,90438221,7112570,64107095
(주)금비,8870,Sep-15,22566968,92917066,8190642,66769866
(주)금비,8870,Sep-16,20642754,103925637,6739915,75060659
(주)금비,8870,Sep-17,18531193,96985485,8977361,67258998
(주)금비,8870,Sep-18,17119182,96639999,7260805,66327214
(주)금비,8870,Sep-19,25156424,96636403,8170826,66810046
(주)금양,1570,Dec-11,-688415,85642155,1114958,81062141
(주)금양,1570,Dec-12,3603001,82014813,3020423,81935888
(주)금양,1570,Dec-13,-16906920,101560871,-16431019,97062605
(주)금양,1570,Dec-14,34150831,115754926,20006548,98653967
(주)금양,1570,Dec-15,7307038,107452186,5231896,110764433
(주)금양,1570,Dec-16,8032406,144421157,1940653,152714672
(주)금양,1570,Dec-17,-22124138,138488586,11500511,135869024
(주)금양,1570,Dec-18,17366463,125320820,-528376,106319214
(주)금양,1570,Dec-19,-599179,155935477,-8115181,136927078
(주)금호에이치티,214330,Dec-15,9868864,42487367,9740384,27249745
(주)금호에이치티,214330,Dec-16,23467650,70324951,18418054,59072744
(주)금호에이치티,214330,Dec-17,14172411,59410075,7280265,48846497
(주)금호에이치티,214330,Dec-18,1469654,113528186,18944987,99203809
(주)금호에이치티,214330,Dec-19,7214831,149447504,12110982,133896103
(주)금화피에스시,36190,Dec-11,,,15831663,17828767
(주)금화피에스시,36190,Dec-12,,,11267897,13178195
(주)금화피에스시,36190,Dec-13,9648006,25315182,9217849,21979899
(주)금화피에스시,36190,Dec-14,9016891,24531587,8104237,19483169
(주)금화피에스시,36190,Dec-15,24673698,39950792,23799509,32829516
(주)금화피에스시,36190,Dec-16,32246922,46326207,30403300,37567568
(주)금화피에스시,36190,Dec-17,46527259,47411791,45454658,39948467
(주)금화피에스시,36190,Dec-18,22300740,41789419,21110484,30944347
(주)금화피에스시,36190,Dec-19,22975767,42283315,15347622,27406945
(주)기가레인,49080,Dec-13,9920029,60137638,10891326,60329664
(주)기가레인,49080,Dec-14,13827169,56351498,14426620,56158957
(주)기가레인,49080,Dec-15,-1508026,86012923,-351517,83089580
