회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원
(주)경동인베스트,12320,12-Dec,1209924561,1168400020,284
(주)경동인베스트,12320,13-Dec,1205008353,1161427092,289
(주)경동인베스트,12320,14-Dec,1320789066,1101071366,282
(주)경동인베스트,12320,15-Dec,1167819522,926392697,287
(주)경동인베스트,12320,16-Dec,1126122628,903818865,286
(주)경동인베스트,12320,17-Dec,599276331,318031347,11
(주)경동인베스트,12320,18-Dec,592002536,318776653,13
(주)경동인베스트,12320,19-Dec,605467383,316572482,12
(주)경방,50,11-Dec,1352324332,1331930968,593
(주)경방,50,12-Dec,1335039930,1301719900,579
(주)경방,50,13-Dec,1296989142,1261257414,676
(주)경방,50,14-Dec,1301841379,1275008413,679
(주)경방,50,15-Dec,1318643312,1259512344,615
(주)경방,50,16-Dec,1301910960,1237024388,574
(주)경방,50,17-Dec,1274042237,1199063663,503
(주)경방,50,18-Dec,1301792841,1226545382,462
(주)경방,50,19-Dec,1370742491,1296265431,259
(주)경보제약,214390,15-Dec,,195488457,398
(주)경보제약,214390,16-Dec,,203735980,416
(주)경보제약,214390,17-Dec,,204869399,410
(주)경보제약,214390,18-Dec,,221622993,450
(주)경보제약,214390,19-Dec,,237816742,494
(주)경인양행,12610,11-Dec,319596954,245825940,378
(주)경인양행,12610,12-Dec,287452678,241045608,367
(주)경인양행,12610,13-Dec,316944796,274570963,431
(주)경인양행,12610,14-Dec,313039125,267331084,440
(주)경인양행,12610,15-Dec,326687437,273778266,469
(주)경인양행,12610,16-Dec,344298515,290035389,486
(주)경인양행,12610,17-Dec,357951470,296909084,517
(주)경인양행,12610,18-Dec,412996589,344908257,619
(주)경인양행,12610,19-Dec,472081003,381063538,617
(주)고려시멘트,198440,14-Dec,,,
(주)고려시멘트,198440,15-Dec,,,
(주)고려시멘트,198440,16-Dec,,,
(주)고려시멘트,198440,17-Dec,,115881620,110
(주)고려시멘트,198440,18-Dec,,127536833,112
(주)고려시멘트,198440,19-Dec,,127035573,97
(주)고영테크놀러지,98460,11-Dec,87006201,87017886,162
(주)고영테크놀러지,98460,12-Dec,103351965,103019642,202
(주)고영테크놀러지,98460,13-Dec,120951617,121329325,224
(주)고영테크놀러지,98460,14-Dec,141720465,141873467,284
(주)고영테크놀러지,98460,15-Dec,158857627,160170850,307
(주)고영테크놀러지,98460,16-Dec,195121241,194332855,315
(주)고영테크놀러지,98460,17-Dec,205207385,205696350,340
(주)고영테크놀러지,98460,18-Dec,279059436,279985447,408
(주)고영테크놀러지,98460,19-Dec,305481184,308020011,473
(주)골드앤에스,35290,11-Dec,46677146,46347129,161
(주)골드앤에스,35290,12-Dec,51950606,51062616,157
(주)골드앤에스,35290,13-Dec,51442505,34508798,114
(주)골드앤에스,35290,14-Dec,46528474,28884288,74
(주)골드앤에스,35290,15-Dec,24102094,23597566,52
(주)골드앤에스,35290,16-Dec,18671644,18296141,60
(주)골드앤에스,35290,17-Dec,17173934,16994788,47
(주)골드앤에스,35290,18-Dec,42472631,42472631,61
(주)골드앤에스,35290,19-Dec,16096170,16096170,49
(주)골드퍼시픽,38530,11-Dec,,27473520,59
(주)골드퍼시픽,38530,12-Dec,,29861540,70
(주)골드퍼시픽,38530,13-Dec,33687572,30517744,56
(주)골드퍼시픽,38530,14-Dec,41948832,31936409,22
(주)골드퍼시픽,38530,15-Dec,28573328,27495738,45
(주)골드퍼시픽,38530,16-Dec,,11122066,96
(주)골드퍼시픽,38530,17-Dec,,26567967,30
(주)골드퍼시픽,38530,18-Dec,37825442,37288362,26
(주)골드퍼시픽,38530,19-Dec,,72945743,56
(주)골프존,215000,15-Dec,178132253,171629353,266
(주)골프존,215000,16-Dec,187914226,177635830,280
(주)골프존,215000,17-Dec,253672419,239011847,244
(주)골프존,215000,18-Dec,254057808,254578679,470
(주)골프존,215000,19-Dec,312587283,304860836,398
(주)골프존뉴딘홀딩스,121440,11-Dec,378054302,373246120,440
(주)골프존뉴딘홀딩스,121440,12-Dec,540922890,512614848,563
(주)골프존뉴딘홀딩스,121440,13-Dec,637840057,589946855,459
(주)골프존뉴딘홀딩스,121440,14-Dec,762037240,586599347,417
(주)골프존뉴딘홀딩스,121440,15-Dec,767325175,585663015,142
(주)골프존뉴딘홀딩스,121440,16-Dec,760772930,561892958,164
(주)골프존뉴딘홀딩스,121440,17-Dec,756500949,536244772,114
(주)골프존뉴딘홀딩스,121440,18-Dec,774743339,563387103,57
(주)골프존뉴딘홀딩스,121440,19-Dec,776384700,537526345,42
(주)광림,14200,11-Dec,,86353051,199
(주)광림,14200,12-Dec,,89766075,194
(주)광림,14200,13-Dec,,101592603,217
(주)광림,14200,14-Dec,244886480,120284256,217
(주)광림,14200,15-Dec,,146338755,237
(주)광림,14200,16-Dec,229596737,152080347,235
(주)광림,14200,17-Dec,208058303,369582323,225
(주)광림,14200,18-Dec,187812629,236379465,195
(주)광림,14200,19-Dec,252468254,193568854,187
(주)광명전기,17040,11-Dec,123886511,99992644,175
(주)광명전기,17040,12-Dec,131064345,104218586,179
(주)광명전기,17040,13-Dec,120910764,105483729,183
(주)광명전기,17040,14-Dec,138580023,119791644,193
(주)광명전기,17040,15-Dec,131457603,107719518,195
(주)광명전기,17040,16-Dec,146859319,125405290,201
(주)광명전기,17040,17-Dec,152717140,128881408,190
(주)광명전기,17040,18-Dec,151823119,124159091,192
(주)광명전기,17040,19-Dec,156712705,140591786,194
(주)광무,29480,11-Dec,75946478,85836111,152
(주)광무,29480,12-Dec,55788602,60163490,132
(주)광무,29480,13-Dec,35384615,28890332,37
(주)광무,29480,14-Dec,,27862528,109
(주)광무,29480,15-Dec,,21133216,106
(주)광무,29480,16-Dec,,29089768,110
(주)광무,29480,17-Dec,,28950503,117
(주)광무,29480,18-Dec,28431748,26017306,122
(주)광무,29480,19-Dec,63139837,57156720,129
