회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별)
(주)강원에너지,114190,Dec-18,43641869,50203707,40333396,49286354
(주)강원에너지,114190,Dec-19,35477506,21124556,32201998,22904034
(주)갤럭시아에스엠,11420,Dec-11,19836339,25274017,16172356,24539613
(주)갤럭시아에스엠,11420,Dec-12,18071820,25907252,15016475,25153401
(주)갤럭시아에스엠,11420,Dec-13,16143563,21493102,11686248,22472626
(주)갤럭시아에스엠,11420,Dec-14,22068570,23205508,17125782,23402468
(주)갤럭시아에스엠,11420,Dec-15,18947950,49739042,16531335,50665218
(주)갤럭시아에스엠,11420,Dec-16,13597774,44846832,10978725,44846832
(주)갤럭시아에스엠,11420,Dec-17,9336773,40494336,8463792,40494336
(주)갤럭시아에스엠,11420,Dec-18,6781168,26472162,6540360,26797332
(주)갤럭시아에스엠,11420,Dec-19,6442848,21798750,6442848,21798750
(주)경농,2100,Dec-11,30787882,142986220,30724888,146016982
(주)경농,2100,Dec-12,117673838,151738994,51967451,151500247
(주)경농,2100,Dec-13,92827213,163157512,52292130,162696463
(주)경농,2100,Dec-14,115707163,168915900,61871897,168998955
(주)경농,2100,Dec-15,141674205,174667648,92052914,173056378
(주)경농,2100,Dec-16,136946019,183969132,89899537,176722752
(주)경농,2100,Dec-17,143720912,192152986,86007852,182959158
(주)경농,2100,Dec-18,155806650,201453891,97965187,187066687
(주)경농,2100,Dec-19,168988819,201885272,106304474,190892614
(주)경동나비엔,9450,Dec-11,95096442,168114574,81105376,143268094
(주)경동나비엔,9450,Dec-12,123854443,175875394,102426119,152201349
(주)경동나비엔,9450,Dec-13,167498879,187280988,139981016,161494784
(주)경동나비엔,9450,Dec-14,211637077,190021880,163104762,167984480
(주)경동나비엔,9450,Dec-15,196007760,206076609,139640734,185208256
(주)경동나비엔,9450,Dec-16,190992511,238762190,137450753,210193123
(주)경동나비엔,9450,Dec-17,247190712,256506497,169371998,222028494
(주)경동나비엔,9450,Dec-18,303492202,280103616,200157710,240355951
(주)경동나비엔,9450,Dec-19,308765719,301042624,207047496,254559521
(주)경동도시가스,267290,Dec-17,415948312,294331882,415288491,292628586
(주)경동도시가스,267290,Dec-18,457779539,320490074,457120376,318760537
(주)경동도시가스,267290,Dec-19,410387431,339612043,409752242,337701666
(주)경동인베스트,12320,Dec-11,593628327,407862543,528263966,412912132
(주)경동인베스트,12320,Dec-12,763415214,446509347,699478024,468921996
(주)경동인베스트,12320,Dec-13,706267792,498740561,644593509,516833582
(주)경동인베스트,12320,Dec-14,713337643,607451423,540269309,560802056
(주)경동인베스트,12320,Dec-15,591340081,576479441,377864242,548528455
(주)경동인베스트,12320,Dec-16,538198062,587924566,347571082,556247783
(주)경동인베스트,12320,Dec-17,198873241,400403090,8242347,309789000
(주)경동인베스트,12320,Dec-18,194135226,397867310,8354115,310422538
(주)경동인베스트,12320,Dec-19,190933746,414533638,8263326,308309156
(주)경방,50,Dec-11,722619941,629704391,655306746,676624221
(주)경방,50,Dec-12,714335725,620704205,631984460,669735441
(주)경방,50,Dec-13,660550587,636438555,575688238,685569176
(주)경방,50,Dec-14,654172565,647668814,623437994,651570419
(주)경방,50,Dec-15,655690395,662952918,587741479,671770865
(주)경방,50,Dec-16,622067560,679843399,546778844,690245544
(주)경방,50,Dec-17,574908164,699134073,488098740,710964923
(주)경방,50,Dec-18,593023494,708769347,497359673,729185709
(주)경방,50,Dec-19,629189292,741553199,555533558,740731873
(주)경보제약,214390,Dec-15,,,72671307,122817151
(주)경보제약,214390,Dec-16,,,74333640,129402340
(주)경보제약,214390,Dec-17,,,63359803,141509596
(주)경보제약,214390,Dec-18,,,72610828,149012165
(주)경보제약,214390,Dec-19,,,88653237,149163504
(주)경인양행,12610,Dec-11,143304448,176292506,86943667,158882273
(주)경인양행,12610,Dec-12,112463993,174988685,78932783,162112825
(주)경인양행,12610,Dec-13,127200482,189744314,96496450,178074513
(주)경인양행,12610,Dec-14,114800458,198238667,80897578,186433506
(주)경인양행,12610,Dec-15,125562133,201125304,87875136,185903130
(주)경인양행,12610,Dec-16,136005319,208293196,99013669,191021720
(주)경인양행,12610,Dec-17,147016537,210934933,106064982,190844102
(주)경인양행,12610,Dec-18,189237207,223759383,146670857,198237400
(주)경인양행,12610,Dec-19,234647863,237433141,179977211,201086327
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,38487512,77394108
(주)고려시멘트,198440,Dec-18,,,41025871,86510962
(주)고려시멘트,198440,Dec-19,,,38590195,88445378
(주)고영테크놀러지,98460,Dec-11,17383474,69622726,16635495,70382391
(주)고영테크놀러지,98460,Dec-12,19950870,83401095,18928736,84090906
(주)고영테크놀러지,98460,Dec-13,22632008,98319609,21277632,100051693
(주)고영테크놀러지,98460,Dec-14,25885224,115835240,23524948,118348519
(주)고영테크놀러지,98460,Dec-15,27381980,131475647,26600137,133570714
(주)고영테크놀러지,98460,Dec-16,37853661,157267580,36760049,157572806
(주)고영테크놀러지,98460,Dec-17,43890214,161317171,40860118,164836232
(주)고영테크놀러지,98460,Dec-18,53192797,225866639,50714272,229271175
