회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별)
(주)가비아,79940,Dec-12,31997486,248459,14858349,9613034,92459,10723878
(주)가비아,79940,Dec-13,37411881,93612,14999568,10360239,81039,11588806
(주)가비아,79940,Dec-14,41920706,0,16229926,14916105,0,13161566
(주)가비아,79940,Dec-15,52239105,0,13210992,17436488,0,9687159
(주)가비아,79940,Dec-16,60241586,1363738,20386590,12237594,0,10247269
(주)가비아,79940,Dec-17,66113388,1675464,29400833,15116578,0,17323452
(주)가비아,79940,Dec-18,78058272,1982294,29792809,18388749,0,18089528
(주)가비아,79940,Dec-19,86880807,2643604,43098923,13602872,0,20260391
(주)강스템바이오텍,217730,Dec-15,,,,18896590,334913,2965591
(주)강스템바이오텍,217730,Dec-16,,,,37966496,582808,3231048
(주)강스템바이오텍,217730,Dec-17,25246012,1725225,6368374,24316617,1725225,4000962
(주)강스템바이오텍,217730,Dec-18,48992790,1918575,20056267,44071609,501972,13802351
(주)강스템바이오텍,217730,Dec-19,55408095,266393,20598774,50136013,34319,15296868
(주)강원랜드,35250,Dec-11,1163791156,2245975,440884890,1116717650,2245975,439575361
(주)강원랜드,35250,Dec-12,1165450728,1200611,518388305,1117338850,1200611,516757053
(주)강원랜드,35250,Dec-13,1080401909,1493306,570217325,1032979185,1493306,568327002
(주)강원랜드,35250,Dec-14,1371825587,1204918,624516570,1349601870,1204918,619817290
(주)강원랜드,35250,Dec-15,1750420316,1621646,664599978,1736167993,1621646,662837030
(주)강원랜드,35250,Dec-16,1809513458,1309513,718893173,1799026863,1309513,717426075
(주)강원랜드,35250,Dec-17,2164296051,1299617,681337932,2155754572,1299617,680591144
(주)강원랜드,35250,Dec-18,1759033105,1148805,636028473,1749493012,1143581,635168405
(주)강원랜드,35250,Dec-19,1878191161,3636529,651342607,1868365557,3631307,650507914
(주)강원에너지,114190,Nov-11,,,,47950975,3989692,29049482
(주)강원에너지,114190,Dec-12,,,,80491240,3808870,52980413
(주)강원에너지,114190,Dec-13,,,,61556228,2086978,26561224
(주)강원에너지,114190,Dec-14,,,,48800730,1736909,16587078
(주)강원에너지,114190,Dec-15,62927388,1233999,18860326,58744703,1233999,26044865
