회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)TCC스틸,2710,Dec-16,444453635,120777516,94244692,317235565,97007914,77521428
(주)TCC스틸,2710,Dec-17,391370092,120243911,160048884,333762378,101914014,148607324
(주)TCC스틸,2710,Dec-18,413176279,152165969,93172096,351301866,128625665,82038987
(주)TCC스틸,2710,Dec-19,437173902,148991647,165995910,339334364,121879909,152915323
(주)가비아,79940,Dec-11,52838864,28837190,13905604,33792831,9245779,11953563
(주)가비아,79940,Dec-12,69058144,31997486,14858349,38482449,9613034,10723878
(주)가비아,79940,Dec-13,70675565,37411881,14999568,40507693,10360239,11588806
(주)가비아,79940,Dec-14,80432047,41920706,16229926,43906243,14916105,13161566
(주)가비아,79940,Dec-15,91648622,52239105,13210992,48446932,17436488,9687159
(주)가비아,79940,Dec-16,102178978,60241586,20386590,49430564,12237594,10247269
(주)가비아,79940,Dec-17,116217941,66113388,29400833,52365659,15116578,17323452
(주)가비아,79940,Dec-18,128728438,78058272,29792809,55197652,18388749,18089528
(주)가비아,79940,Dec-19,148306878,86880807,43098923,58254105,13602872,20260391
(주)강스템바이오텍,217730,Dec-15,,,,1484593,18896590,2965591
(주)강스템바이오텍,217730,Dec-16,,,,842805,37966496,3231048
(주)강스템바이오텍,217730,Dec-17,9132939,25246012,6368374,5394323,24316617,4000962
(주)강스템바이오텍,217730,Dec-18,9165454,48992790,20056267,1001039,44071609,13802351
(주)강스템바이오텍,217730,Dec-19,6004584,55408095,20598774,282069,50136013,15296868
(주)강원랜드,35250,Dec-11,1265686425,1163791156,440884890,1263651213,1116717650,439575361
(주)강원랜드,35250,Dec-12,1296191223,1165450728,518388305,1292896121,1117338850,516757053
(주)강원랜드,35250,Dec-13,1361286598,1080401909,570217325,1356906162,1032979185,568327002
(주)강원랜드,35250,Dec-14,1496541441,1371825587,624516570,1492291312,1349601870,619817290
(주)강원랜드,35250,Dec-15,1633716839,1750420316,664599978,1630976696,1736167993,662837030
(주)강원랜드,35250,Dec-16,1696532511,1809513458,718893173,1694575212,1799026863,717426075
(주)강원랜드,35250,Dec-17,1604470055,2164296051,681337932,1602901764,2155754572,680591144
(주)강원랜드,35250,Dec-18,1438059299,1759033105,636028473,1436042435,1749493012,635168405
(주)강원랜드,35250,Dec-19,1520080449,1878191161,651342607,1517612252,1868365557,650507914
(주)강원에너지,114190,Nov-11,,,,50222892,47950975,29049482
(주)강원에너지,114190,Dec-12,,,,106471214,80491240,52980413
(주)강원에너지,114190,Dec-13,,,,50660659,61556228,26561224
(주)강원에너지,114190,Dec-14,,,,51481321,48800730,16587078
(주)강원에너지,114190,Dec-15,46188664,62927388,18860326,48852892,58744703,26044865
(주)강원에너지,114190,Dec-16,42287473,53716336,12090212,44448760,49882033,17100077
(주)강원에너지,114190,Dec-17,82034829,68068421,33693980,83113029,66557788,36681993
(주)강원에너지,114190,Dec-18,85905365,70556730,43608244,85905365,70097814,40299772
(주)강원에너지,114190,Dec-19,42549622,30544232,30840573,42549622,30346449,27565065
(주)갤럭시아에스엠,11420,Dec-11,47331427,24658098,15665609,31931418,17322791,12001627
(주)갤럭시아에스엠,11420,Dec-12,55049732,24752609,13440442,37398255,21665386,12435097
(주)갤럭시아에스엠,11420,Dec-13,46437304,19899780,13503615,30903637,15680160,9491278
(주)갤럭시아에스엠,11420,Dec-14,43885894,26742964,17868979,33027933,21910144,14705118
(주)갤럭시아에스엠,11420,Dec-15,62472754,44426010,16873228,53784932,40480215,14961439
(주)갤럭시아에스엠,11420,Dec-16,52626331,37929417,12464561,45665676,33508731,9845511
(주)갤럭시아에스엠,11420,Dec-17,37281280,28750883,8744690,36917656,25522603,7871709
(주)갤럭시아에스엠,11420,Dec-18,22060413,14251248,6670268,22030258,14317048,6429460
(주)갤럭시아에스엠,11420,Dec-19,28732679,13644588,6311576,28732679,13644588,6311576
(주)경농,2100,Dec-11,121253605,94363834,24871768,120728258,85897543,24782041
(주)경농,2100,Dec-12,136970449,142516976,102878086,131021366,88973571,45244293
(주)경농,2100,Dec-13,196358952,129526582,72472377,139237273,90491612,40577371
(주)경농,2100,Dec-14,188483147,139646908,90426180,134806677,92163573,46610936
(주)경농,2100,Dec-15,196418710,161184139,114383542,137609256,110823037,75250424
(주)경농,2100,Dec-16,203984939,156061222,112348070,143209666,113338004,75688103
(주)경농,2100,Dec-17,206534382,163437464,121066567,143175105,114661596,78430974
(주)경농,2100,Dec-18,212654617,169982099,128301300,146216658,124295854,86896477
(주)경농,2100,Dec-19,227510941,185020093,122608005,151342037,138697201,80682497
(주)경동나비엔,9450,Dec-11,341246917,129512842,81664623,318269213,109967953,74711381
