회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별)
(주)경방,50,Dec-15,108093423,185946014,1318643312,83760073,143915877,1259512344
(주)경방,50,Dec-16,106002223,155435755,1301910960,80538917,120641481,1237024388
(주)경방,50,Dec-17,90254697,319476563,1274042237,71472590,249334914,1199063663
(주)경방,50,Dec-18,120711492,163151849,1301792841,88159568,102888605,1226545382
(주)경방,50,Dec-19,264861016,192380293,1370742491,223798878,150525799,1296265431
(주)경보제약,214390,Dec-15,,,,105108130,64542191,195488457
(주)경보제약,214390,Dec-16,,,,102226920,72716830,203735980
(주)경보제약,214390,Dec-17,,,,110638039,60379395,204869399
(주)경보제약,214390,Dec-18,,,,128936315,69317865,221622993
(주)경보제약,214390,Dec-19,,,,124176490,83814952,237816742
(주)경인양행,12610,Dec-11,166259207,107188765,319596954,99039937,64682274,245825940
(주)경인양행,12610,Dec-12,146242797,94090486,287452678,94723927,70551008,241045608
(주)경인양행,12610,Dec-13,175887375,108289018,316944796,123143650,88530619,274570963
(주)경인양행,12610,Dec-14,164606526,86323503,313039125,107227115,64009841,267331084
(주)경인양행,12610,Dec-15,176664098,109310448,326687437,113173448,81834318,273778266
(주)경인양행,12610,Dec-16,191409058,119502456,344298515,126364739,93552900,290035389
(주)경인양행,12610,Dec-17,193184742,124353660,357951470,125062666,93894860,296909084
(주)경인양행,12610,Dec-18,234817064,156924274,412996589,165167110,127936086,344908257
(주)경인양행,12610,Dec-19,251884675,192593606,472081003,172620331,154357193,381063538
(주)고려시멘트,198440,Dec-14,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,
(주)고려시멘트,198440,Dec-17,,,,38542950,23125664,115881620
(주)고려시멘트,198440,Dec-18,,,,49955334,29601570,127536833
(주)고려시멘트,198440,Dec-19,,,,46591282,27999091,127035573
