회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별)
(주)경동인베스트,12320,Dec-17,238339688,599276331,110951332,318031347
(주)경동인베스트,12320,Dec-18,188460289,592002536,44742051,318776653
(주)경동인베스트,12320,Dec-19,236475693,605467383,44653640,316572482
(주)경방,50,Dec-11,138673371,1352324332,123787600,1331930968
(주)경방,50,Dec-12,123685731,1335039930,101710997,1301719900
(주)경방,50,Dec-13,103410904,1296989142,79482802,1261257414
(주)경방,50,Dec-14,101229398,1301841379,83665762,1275008413
(주)경방,50,Dec-15,108093423,1318643312,83760073,1259512344
(주)경방,50,Dec-16,106002223,1301910960,80538917,1237024388
(주)경방,50,Dec-17,90254697,1274042237,71472590,1199063663
(주)경방,50,Dec-18,120711492,1301792841,88159568,1226545382
(주)경방,50,Dec-19,264861016,1370742491,223798878,1296265431
(주)경보제약,214390,Dec-15,,,105108130,195488457
(주)경보제약,214390,Dec-16,,,102226920,203735980
(주)경보제약,214390,Dec-17,,,110638039,204869399
(주)경보제약,214390,Dec-18,,,128936315,221622993
(주)경보제약,214390,Dec-19,,,124176490,237816742
(주)경인양행,12610,Dec-11,166259207,319596954,99039937,245825940
(주)경인양행,12610,Dec-12,146242797,287452678,94723927,241045608
(주)경인양행,12610,Dec-13,175887375,316944796,123143650,274570963
(주)경인양행,12610,Dec-14,164606526,313039125,107227115,267331084
(주)경인양행,12610,Dec-15,176664098,326687437,113173448,273778266
(주)경인양행,12610,Dec-16,191409058,344298515,126364739,290035389
(주)경인양행,12610,Dec-17,193184742,357951470,125062666,296909084
(주)경인양행,12610,Dec-18,234817064,412996589,165167110,344908257
(주)경인양행,12610,Dec-19,251884675,472081003,172620331,381063538
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,38542950,115881620
(주)고려시멘트,198440,Dec-18,,,49955334,127536833
(주)고려시멘트,198440,Dec-19,,,46591282,127035573
(주)고영테크놀러지,98460,Dec-11,63304178,87006201,61560094,87017886
(주)고영테크놀러지,98460,Dec-12,77857574,103351965,75787332,103019642
(주)고영테크놀러지,98460,Dec-13,94895999,120951617,93556579,121329325
(주)고영테크놀러지,98460,Dec-14,108649874,141720465,107119140,141873467
(주)고영테크놀러지,98460,Dec-15,121834639,158857627,124933566,160170850
(주)고영테크놀러지,98460,Dec-16,154891864,195121241,156029191,194332855
(주)고영테크놀러지,98460,Dec-17,161356541,205207385,159374622,205696350
(주)고영테크놀러지,98460,Dec-18,227563739,279059436,231667150,279985447
(주)고영테크놀러지,98460,Dec-19,225797248,305481184,229213476,308020011
(주)골드앤에스,35290,Dec-11,23477041,46677146,23165184,46347129
(주)골드앤에스,35290,Dec-12,26661256,51950606,27310447,51062616
(주)골드앤에스,35290,Dec-13,15792977,51442505,17985887,34508798
(주)골드앤에스,35290,Dec-14,15072221,46528474,15782408,28884288
(주)골드앤에스,35290,Dec-15,15364121,24102094,15122533,23597566
(주)골드앤에스,35290,Dec-16,8660668,18671644,8552277,18296141
(주)골드앤에스,35290,Dec-17,10831000,17173934,10974294,16994788
(주)골드앤에스,35290,Dec-18,21031370,42472631,21031370,42472631
(주)골드앤에스,35290,Dec-19,3910189,16096170,3910189,16096170
(주)골드퍼시픽,38530,Dec-11,,,15105931,27473520
(주)골드퍼시픽,38530,Dec-12,,,19029706,29861540
(주)골드퍼시픽,38530,Dec-13,16708814,33687572,15961156,30517744
(주)골드퍼시픽,38530,Dec-14,23894969,41948832,15761409,31936409
(주)골드퍼시픽,38530,Dec-15,14304863,28573328,14304863,27495738
(주)골드퍼시픽,38530,Dec-16,,,5438550,11122066
(주)골드퍼시픽,38530,Dec-17,,,17215160,26567967
(주)골드퍼시픽,38530,Dec-18,23990386,37825442,22006122,37288362
(주)골드퍼시픽,38530,Dec-19,,,28455147,72945743
(주)골프존,215000,Dec-15,81295773,178132253,71290784,171629353
(주)골프존,215000,Dec-16,89781733,187914226,75788492,177635830
(주)골프존,215000,Dec-17,160591890,253672419,142686039,239011847
(주)골프존,215000,Dec-18,145265354,254057808,134088763,254578679
(주)골프존,215000,Dec-19,81730468,312587283,70491340,304860836
(주)골프존뉴딘홀딩스,121440,Dec-11,276277197,378054302,249046740,373246120
(주)골프존뉴딘홀딩스,121440,Dec-12,267312187,540922890,267719852,512614848
