회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별)
(주)경방,50,Dec-19,343892085,18966096,253552382,16840264
(주)경보제약,214390,Dec-15,,,178032632,16602104
(주)경보제약,214390,Dec-16,,,186726170,15716878
(주)경보제약,214390,Dec-17,,,191661374,15450647
(주)경보제약,214390,Dec-18,,,201343596,15020329
(주)경보제약,214390,Dec-19,,,191706189,15296391
(주)경인양행,12610,Dec-11,233095049,22641016,128707611,9018541
(주)경인양행,12610,Dec-12,218604655,14019539,141304459,7778437
(주)경인양행,12610,Dec-13,260808400,18002898,183106757,14114039
(주)경인양행,12610,Dec-14,277181095,11497378,190395047,5356136
(주)경인양행,12610,Dec-15,263163677,14596934,175006703,7495266
(주)경인양행,12610,Dec-16,274873817,25656675,179267850,17120817
(주)경인양행,12610,Dec-17,299987729,15841108,193975818,7614574
(주)경인양행,12610,Dec-18,331102011,19996296,222659442,16868009
(주)경인양행,12610,Dec-19,358802386,16457652,245244968,14147013
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,,,87660276,5866237
(주)고려시멘트,198440,Dec-18,,,85775723,4413490
(주)고려시멘트,198440,Dec-19,,,70921781,3352457
(주)고영테크놀러지,98460,Dec-11,86130810,8131221,80200892,6712506
(주)고영테크놀러지,98460,Dec-12,107841666,7066055,100791139,6921841
(주)고영테크놀러지,98460,Dec-13,111902729,10669475,103933681,9720309
(주)고영테크놀러지,98460,Dec-14,142840131,8710906,135531589,8064380
(주)고영테크놀러지,98460,Dec-15,145904431,10193418,138554625,8691822
(주)고영테크놀러지,98460,Dec-16,171793841,13904087,153254768,11628501
(주)고영테크놀러지,98460,Dec-17,203368626,16233234,188934907,14022036
(주)고영테크놀러지,98460,Dec-18,238208865,15677316,219818022,14095316
(주)고영테크놀러지,98460,Dec-19,222057035,13515704,209480760,11824330
(주)골드앤에스,35290,Dec-11,47522791,1050496,47522791,1050496
(주)골드앤에스,35290,Dec-12,43889087,608923,43889087,608923
(주)골드앤에스,35290,Dec-13,39548810,1180068,36607591,1164614
(주)골드앤에스,35290,Dec-14,31287203,872982,29428881,828614
(주)골드앤에스,35290,Dec-15,22197935,706904,22197935,706904
(주)골드앤에스,35290,Dec-16,15893494,247758,15893494,247758
(주)골드앤에스,35290,Dec-17,12802035,218963,12802035,218963
(주)골드앤에스,35290,Dec-18,8680452,89720,8680452,89720
(주)골드앤에스,35290,Dec-19,7642733,111463,7642733,111463
(주)골드퍼시픽,38530,Dec-11,,,11236925,0
(주)골드퍼시픽,38530,Dec-12,,,10491048,360536
(주)골드퍼시픽,38530,Dec-13,7167832,0,6488691,0
(주)골드퍼시픽,38530,Dec-14,16486257,0,4855121,0
(주)골드퍼시픽,38530,Dec-15,18635305,0,6121489,235874
(주)골드퍼시픽,38530,Dec-16,,,9588100,0
(주)골드퍼시픽,38530,Dec-17,,,5031439,631826
(주)골드퍼시픽,38530,Dec-18,5708281,135512,5580994,105811
(주)골드퍼시픽,38530,Dec-19,,,11323125,1568859
(주)골프존,215000,Dec-15,201560389,4808035,184085342,2629604
(주)골프존,215000,Dec-16,216964342,4557221,196864993,2581843
(주)골프존,215000,Dec-17,200105321,4469536,171859065,3390826
(주)골프존,215000,Dec-18,198705194,4279575,191571105,4098802
(주)골프존,215000,Dec-19,247018099,3056162,239051647,2799499
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,5148042,209788389,4597262
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,6832838,276341690,6329293
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,10012375,340005073,9273972
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,8638556,387066126,6628808
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,4560011,29389093,0
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,7232656,27652102,0
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,7509517,23499543,0
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,13914428,16100354,0
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,11564312,26897482,0
(주)광림,14200,Dec-11,,,106495363,8267561
(주)광림,14200,Dec-12,,,85322569,6836814
(주)광림,14200,Dec-13,,,103442134,12095362
(주)광림,14200,Dec-14,231446314,15195572,92553612,7357956
(주)광림,14200,Dec-15,,,237222890,10272131
(주)광림,14200,Dec-16,87302967,33842846,87302967,10810709
(주)광림,14200,Dec-17,135191558,18870922,99421336,8030605
(주)광림,14200,Dec-18,136595300,21849846,75493055,11697261
(주)광림,14200,Dec-19,145864184,16949822,93241157,7735917
(주)광명전기,17040,Dec-11,92382628,15273072,57967857,11133124
(주)광명전기,17040,Dec-12,117216514,14541759,79318302,9639820
(주)광명전기,17040,Dec-13,117852824,6384899,90344376,5478932
(주)광명전기,17040,Dec-14,134778387,16863004,115801471,14394312
(주)광명전기,17040,Dec-15,116316957,13411331,93000177,11546018
(주)광명전기,17040,Dec-16,96942911,11672758,96931493,8674010
