회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(소분류),종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원)
(주)경동나비엔,009450,2012/12,  가정용 기기 제조업,12.16,1.25,0,4282678
(주)경동나비엔,009450,2013/12,  가정용 기기 제조업,-7.91,1.3,0,4823937
(주)경동나비엔,009450,2014/12,  가정용 기기 제조업,5.68,1.64,0,6267982
(주)경동나비엔,009450,2015/12,  가정용 기기 제조업,4.46,1.2,0,5390244
(주)경동나비엔,009450,2016/12,  가정용 기기 제조업,14.3,1.48,0,7504305
(주)경동나비엔,009450,2017/12,  가정용 기기 제조업,7.03,1.54,0,8781572
(주)경동나비엔,009450,2018/12,  가정용 기기 제조업,10.05,1.99,0,12275514
(주)경동나비엔,009450,2019/12,  가정용 기기 제조업,8.76,1.53,0,10011736
(주)경동도시가스,267290,2017/12,  연료용 가스 제조 및 배관공급업,,,,0
(주)경동도시가스,267290,2018/12,  연료용 가스 제조 및 배관공급업,0,0,49000,0
(주)경동도시가스,267290,2019/12,  연료용 가스 제조 및 배관공급업,0.36,0,,0
(주)경동인베스트,012320,2011/12,  기타 금융업,2.21,0,0,0
(주)경동인베스트,012320,2012/12,  기타 금융업,2.53,0,,0
(주)경동인베스트,012320,2013/12,  기타 금융업,1.76,0,,0
(주)경동인베스트,012320,2014/12,  기타 금융업,-2.42,0,,0
(주)경동인베스트,012320,2015/12,  기타 금융업,1.77,0,3441844,0
(주)경동인베스트,012320,2016/12,  기타 금융업,-0.35,0,,0
(주)경동인베스트,012320,2017/12,  기타 금융업,-96.15,0,,0
(주)경동인베스트,012320,2018/12,  기타 금융업,18.18,0,,0
(주)경동인베스트,012320,2019/12,  기타 금융업,-7.69,0,,0
(주)경방,000050,2011/12,  종합 소매업,10.63,0,,0
(주)경방,000050,2012/12,  종합 소매업,-2.36,0,,0
(주)경방,000050,2013/12,  종합 소매업,16.75,0,,0
(주)경방,000050,2014/12,  종합 소매업,0.44,0,,3922
(주)경방,000050,2015/12,  종합 소매업,-9.43,0,,12673
(주)경방,000050,2016/12,  종합 소매업,-6.67,0,,5721
(주)경방,000050,2017/12,  종합 소매업,-12.37,0,,12785
(주)경방,000050,2018/12,  종합 소매업,-8.15,0.01,,25475
(주)경방,000050,2019/12,  종합 소매업,-43.94,0.01,,22187
(주)경보제약,214390,2015/12,  기초 의약물질 및 생물학적 제제 제조업,0,1.05,0,1866738
(주)경보제약,214390,2016/12,  기초 의약물질 및 생물학적 제제 제조업,4.52,0.79,0,1484458
(주)경보제약,214390,2017/12,  기초 의약물질 및 생물학적 제제 제조업,-1.44,0.4,0,765403
(주)경보제약,214390,2018/12,  기초 의약물질 및 생물학적 제제 제조업,9.76,0.38,0,769777
(주)경보제약,214390,2019/12,  기초 의약물질 및 생물학적 제제 제조업,9.78,0.74,0,1418246
(주)경인양행,012610,2011/12,  기초 화학물질 제조업,29.9,0,0,0
(주)경인양행,012610,2012/12,  기초 화학물질 제조업,-2.91,0,0,0
(주)경인양행,012610,2013/12,  기초 화학물질 제조업,17.44,0,0,0
(주)경인양행,012610,2014/12,  기초 화학물질 제조업,2.09,0,0,0
(주)경인양행,012610,2015/12,  기초 화학물질 제조업,6.59,0,0,0
(주)경인양행,012610,2016/12,  기초 화학물질 제조업,3.62,0,0,0
(주)경인양행,012610,2017/12,  기초 화학물질 제조업,6.38,0,0,0
(주)경인양행,012610,2018/12,  기초 화학물질 제조업,19.73,0,0,0
(주)경인양행,012610,2019/12,  기초 화학물질 제조업,-0.32,0,0,0
(주)고려시멘트,198440,2014/12,"  시멘트, 석회, 플라스터 및 그 제품 제조업",,,,
(주)고려시멘트,198440,2015/12,"  시멘트, 석회, 플라스터 및 그 제품 제조업",,,,
(주)고려시멘트,198440,2016/12,"  시멘트, 석회, 플라스터 및 그 제품 제조업",,,,
(주)고려시멘트,198440,2017/12,"  시멘트, 석회, 플라스터 및 그 제품 제조업",0,0,0,0
(주)고려시멘트,198440,2018/12,"  시멘트, 석회, 플라스터 및 그 제품 제조업",1.82,0,0,0
(주)고려시멘트,198440,2019/12,"  시멘트, 석회, 플라스터 및 그 제품 제조업",-13.39,0,0,0
(주)고영테크놀러지,098460,2011/12,  특수 목적용 기계 제조업,22.73,6.42,802801,5151703
(주)고영테크놀러지,098460,2012/12,  특수 목적용 기계 제조업,24.69,6.39,1154088,6445541
(주)고영테크놀러지,098460,2013/12,  특수 목적용 기계 제조업,10.89,7,1549101,7279228
(주)고영테크놀러지,098460,2014/12,  특수 목적용 기계 제조업,26.79,7.35,1100999,9955799
(주)고영테크놀러지,098460,2015/12,  특수 목적용 기계 제조업,8.1,10.01,790340,13874808
(주)고영테크놀러지,098460,2016/12,  특수 목적용 기계 제조업,2.61,12.13,0,18591618
(주)고영테크놀러지,098460,2017/12,  특수 목적용 기계 제조업,7.94,12.21,0,23075326
(주)고영테크놀러지,098460,2018/12,  특수 목적용 기계 제조업,20,13.67,0,30047991
(주)고영테크놀러지,098460,2019/12,  특수 목적용 기계 제조업,15.93,15.03,3941142,31476309
(주)골드앤에스,035290,2011/12,"  서적, 잡지 및 기타 인쇄물 출판업",-9.04,0,0,0
(주)골드앤에스,035290,2012/12,"  서적, 잡지 및 기타 인쇄물 출판업",-2.48,0,0,0
(주)골드앤에스,035290,2013/12,"  서적, 잡지 및 기타 인쇄물 출판업",-27.39,0,914981,0
(주)골드앤에스,035290,2014/12,"  서적, 잡지 및 기타 인쇄물 출판업",-35.09,0,1127838,0
(주)골드앤에스,035290,2015/12,"  서적, 잡지 및 기타 인쇄물 출판업",-29.73,0,0,0
(주)골드앤에스,035290,2016/12,"  서적, 잡지 및 기타 인쇄물 출판업",15.38,0,0,0
(주)골드앤에스,035290,2017/12,"  서적, 잡지 및 기타 인쇄물 출판업",-21.67,0,0,0
(주)골드앤에스,035290,2018/12,"  서적, 잡지 및 기타 인쇄물 출판업",29.79,6.58,0,570892
(주)골드앤에스,035290,2019/12,"  서적, 잡지 및 기타 인쇄물 출판업",-19.67,3.93,0,300698
(주)골드퍼시픽,038530,2011/12,  생활용품 도매업,210.53,0.99,328368,111530
(주)골드퍼시픽,038530,2012/12,  생활용품 도매업,18.64,1.04,650882,109303
(주)골드퍼시픽,038530,2013/12,  생활용품 도매업,-20,1.55,0,100252
