,회사명,거래소코드,회계년도,직원감소율여부
233,(주)골프존뉴딘홀딩스,121440,2013,0
234,(주)골프존뉴딘홀딩스,121440,2014,0
235,(주)골프존뉴딘홀딩스,121440,2015,0
236,(주)골프존뉴딘홀딩스,121440,2016,0
237,(주)골프존뉴딘홀딩스,121440,2017,0
238,(주)골프존뉴딘홀딩스,121440,2018,0
239,(주)골프존뉴딘홀딩스,121440,2019,0
240,(주)광림,14200,2011,0
241,(주)광림,14200,2012,0
242,(주)광림,14200,2013,0
243,(주)광림,14200,2014,0
244,(주)광림,14200,2015,0
245,(주)광림,14200,2016,0
246,(주)광림,14200,2017,0
247,(주)광림,14200,2018,0
248,(주)광림,14200,2019,0
249,(주)광명전기,17040,2011,0
250,(주)광명전기,17040,2012,0
251,(주)광명전기,17040,2013,0
252,(주)광명전기,17040,2014,0
253,(주)광명전기,17040,2015,0
254,(주)광명전기,17040,2016,0
255,(주)광명전기,17040,2017,0
256,(주)광명전기,17040,2018,0
257,(주)광명전기,17040,2019,0
258,(주)광무,29480,2011,0
259,(주)광무,29480,2012,0
260,(주)광무,29480,2013,0
261,(주)광무,29480,2014,1
262,(주)광무,29480,2015,0
263,(주)광무,29480,2016,0
264,(주)광무,29480,2017,0
265,(주)광무,29480,2018,0
266,(주)광무,29480,2019,0
267,(주)광주신세계,37710,2011,0
268,(주)광주신세계,37710,2012,0
269,(주)광주신세계,37710,2013,1
270,(주)광주신세계,37710,2014,0
271,(주)광주신세계,37710,2015,0
272,(주)광주신세계,37710,2016,0
273,(주)광주신세계,37710,2017,0
274,(주)광주신세계,37710,2018,0
275,(주)광주신세계,37710,2019,0
276,(주)구영테크,53270,2011,0
277,(주)구영테크,53270,2012,0
278,(주)구영테크,53270,2013,1
279,(주)구영테크,53270,2014,0
280,(주)구영테크,53270,2015,0
281,(주)구영테크,53270,2016,0
282,(주)구영테크,53270,2017,0
283,(주)구영테크,53270,2018,0
284,(주)구영테크,53270,2019,0
285,(주)국동,5320,2011,0
286,(주)국동,5320,2012,0
287,(주)국동,5320,2013,0
288,(주)국동,5320,2014,0
289,(주)국동,5320,2015,0
290,(주)국동,5320,2016,0
291,(주)국동,5320,2017,0
292,(주)국동,5320,2018,0
293,(주)국동,5320,2019,0
294,(주)국보,1140,2011,0
295,(주)국보,1140,2012,0
296,(주)국보,1140,2013,0
297,(주)국보,1140,2014,0
298,(주)국보,1140,2015,0
299,(주)국보,1140,2016,0
300,(주)국보,1140,2017,0
301,(주)국보,1140,2018,0
302,(주)국보,1140,2019,0
303,(주)국보디자인,66620,2011,0
304,(주)국보디자인,66620,2012,0
305,(주)국보디자인,66620,2013,0
306,(주)국보디자인,66620,2014,0
307,(주)국보디자인,66620,2015,0
308,(주)국보디자인,66620,2016,0
309,(주)국보디자인,66620,2017,0
310,(주)국보디자인,66620,2018,0
311,(주)국보디자인,66620,2019,0
312,(주)국순당,43650,2011,0
313,(주)국순당,43650,2012,0
314,(주)국순당,43650,2013,0
315,(주)국순당,43650,2014,0
316,(주)국순당,43650,2015,0
317,(주)국순당,43650,2016,0
318,(주)국순당,43650,2017,0
319,(주)국순당,43650,2018,0
320,(주)국순당,43650,2019,0
321,(주)국영지앤엠,6050,2011,0
322,(주)국영지앤엠,6050,2012,0
323,(주)국영지앤엠,6050,2013,0
324,(주)국영지앤엠,6050,2014,0
325,(주)국영지앤엠,6050,2015,0
326,(주)국영지앤엠,6050,2016,0
327,(주)국영지앤엠,6050,2017,0
328,(주)국영지앤엠,6050,2018,0
329,(주)국영지앤엠,6050,2019,0
330,(주)국전약품,307750,2018,0
331,(주)국전약품,307750,2019,0
332,(주)그래디언트,35080,2011,0
333,(주)그래디언트,35080,2012,0
334,(주)그래디언트,35080,2013,1
335,(주)그래디언트,35080,2014,1
336,(주)그래디언트,35080,2015,0
337,(주)그래디언트,35080,2016,0
338,(주)그래디언트,35080,2017,0
339,(주)그래디언트,35080,2018,0
340,(주)그래디언트,35080,2019,0
341,(주)그리티,204020,2018,0
342,(주)그리티,204020,2019,0
343,(주)그린플러스,186230,2019,0
344,(주)글로벌스탠다드테크놀로지,83450,2011,0
345,(주)글로벌스탠다드테크놀로지,83450,2012,0
346,(주)글로벌스탠다드테크놀로지,83450,2013,0
347,(주)글로벌스탠다드테크놀로지,83450,2014,0
348,(주)글로벌스탠다드테크놀로지,83450,2015,0
349,(주)글로벌스탠다드테크놀로지,83450,2016,0
350,(주)글로벌스탠다드테크놀로지,83450,2017,1
351,(주)글로벌스탠다드테크놀로지,83450,2018,0
352,(주)글로벌스탠다드테크놀로지,83450,2019,0
353,(주)금비,8870,2011,0
354,(주)금비,8870,2012,0
355,(주)금비,8870,2013,0
356,(주)금비,8870,2014,0
357,(주)금비,8870,2015,0
358,(주)금비,8870,2016,0
359,(주)금비,8870,2017,0
360,(주)금비,8870,2018,0
361,(주)금비,8870,2019,0
362,(주)금양,1570,2011,0
363,(주)금양,1570,2012,0
364,(주)금양,1570,2013,0
365,(주)금양,1570,2014,0
366,(주)금양,1570,2015,0
367,(주)금양,1570,2016,0
368,(주)금양,1570,2017,0
369,(주)금양,1570,2018,0
370,(주)금양,1570,2019,0
371,(주)금호에이치티,214330,2015,0
372,(주)금호에이치티,214330,2016,0
373,(주)금호에이치티,214330,2017,0
374,(주)금호에이치티,214330,2018,0
375,(주)금호에이치티,214330,2019,0
376,(주)금화피에스시,36190,2011,0
377,(주)금화피에스시,36190,2012,0
378,(주)금화피에스시,36190,2013,0
379,(주)금화피에스시,36190,2014,0
380,(주)금화피에스시,36190,2015,0
381,(주)금화피에스시,36190,2016,0
382,(주)금화피에스시,36190,2017,0
383,(주)금화피에스시,36190,2018,1
384,(주)금화피에스시,36190,2019,0
385,(주)기가레인,49080,2013,0
386,(주)기가레인,49080,2014,1
387,(주)기가레인,49080,2015,0
388,(주)기가레인,49080,2016,0
389,(주)기가레인,49080,2017,0
390,(주)기가레인,49080,2018,0
391,(주)기가레인,49080,2019,0
392,(주)기산텔레콤,35460,2011,0
393,(주)기산텔레콤,35460,2012,0
394,(주)기산텔레콤,35460,2013,0
395,(주)기산텔레콤,35460,2014,0
396,(주)기산텔레콤,35460,2015,0
397,(주)기산텔레콤,35460,2016,0
398,(주)기산텔레콤,35460,2017,0
399,(주)기산텔레콤,35460,2018,0
400,(주)기산텔레콤,35460,2019,0
401,(주)까뮤이앤씨,13700,2011,0
402,(주)까뮤이앤씨,13700,2012,0
403,(주)까뮤이앤씨,13700,2013,0
404,(주)까뮤이앤씨,13700,2014,1
405,(주)까뮤이앤씨,13700,2015,1
406,(주)까뮤이앤씨,13700,2016,0
407,(주)까뮤이앤씨,13700,2017,0
408,(주)까뮤이앤씨,13700,2018,0
409,(주)까뮤이앤씨,13700,2019,0
410,(주)까스텔바작,308100,2019,0
411,(주)나노,187790,2014,0
412,(주)나노,187790,2015,0
413,(주)나노,187790,2016,0
414,(주)나노,187790,2017,0
415,(주)나노,187790,2018,0
416,(주)나노,187790,2019,0
417,(주)나노브릭,286750,2019,0
418,(주)나노신소재,121600,2011,0
419,(주)나노신소재,121600,2012,0
420,(주)나노신소재,121600,2013,0
421,(주)나노신소재,121600,2014,0
422,(주)나노신소재,121600,2015,0
423,(주)나노신소재,121600,2016,0
424,(주)나노신소재,121600,2017,0
425,(주)나노신소재,121600,2018,0
426,(주)나노신소재,121600,2019,0
427,(주)나노엔텍,39860,2011,0
428,(주)나노엔텍,39860,2012,0
429,(주)나노엔텍,39860,2013,0
430,(주)나노엔텍,39860,2014,0
431,(주)나노엔텍,39860,2015,0
432,(주)나노엔텍,39860,2016,1
433,(주)나노엔텍,39860,2017,0
434,(주)나노엔텍,39860,2018,0
435,(주)나노엔텍,39860,2019,0
436,(주)나무가,190510,2015,0
437,(주)나무가,190510,2016,0
438,(주)나무가,190510,2017,0
439,(주)나무가,190510,2018,0
440,(주)나무가,190510,2019,0
441,(주)나스미디어,89600,2013,0
442,(주)나스미디어,89600,2014,0
443,(주)나스미디어,89600,2015,0
444,(주)나스미디어,89600,2016,1
445,(주)나스미디어,89600,2017,0
446,(주)나스미디어,89600,2018,0
447,(주)나스미디어,89600,2019,0
448,(주)나이벡,138610,2011,0
449,(주)나이벡,138610,2012,0
450,(주)나이벡,138610,2013,1
451,(주)나이벡,138610,2014,0
452,(주)나이벡,138610,2015,0
453,(주)나이벡,138610,2016,0
454,(주)나이벡,138610,2017,0
455,(주)나이벡,138610,2018,0
456,(주)나이벡,138610,2019,0
457,(주)나이스디앤비,130580,2011,0
458,(주)나이스디앤비,130580,2012,0
459,(주)나이스디앤비,130580,2013,0
460,(주)나이스디앤비,130580,2014,0
461,(주)나이스디앤비,130580,2015,0
462,(주)나이스디앤비,130580,2016,1
463,(주)나이스디앤비,130580,2017,1
464,(주)나이스디앤비,130580,2018,1
465,(주)나이스디앤비,130580,2019,0
466,(주)나이스홀딩스,34310,2011,0
467,(주)나이스홀딩스,34310,2012,0
468,(주)나이스홀딩스,34310,2013,0
469,(주)나이스홀딩스,34310,2014,0
470,(주)나이스홀딩스,34310,2015,0
471,(주)나이스홀딩스,34310,2016,0
472,(주)나이스홀딩스,34310,2017,0
473,(주)나이스홀딩스,34310,2018,0
474,(주)나이스홀딩스,34310,2019,0
475,(주)나인테크,267320,2017,0
476,(주)나인테크,267320,2018,0
477,(주)나인테크,267320,2019,0
478,(주)남선알미늄,8350,2011,0
479,(주)남선알미늄,8350,2012,0
480,(주)남선알미늄,8350,2013,0
481,(주)남선알미늄,8350,2014,0
482,(주)남선알미늄,8350,2015,0
483,(주)남선알미늄,8350,2016,0
484,(주)남선알미늄,8350,2017,0
485,(주)남선알미늄,8350,2018,0
486,(주)남선알미늄,8350,2019,0
487,(주)남성,4270,2011,0
488,(주)남성,4270,2012,0
489,(주)남성,4270,2013,0
490,(주)남성,4270,2014,0
491,(주)남성,4270,2015,0
492,(주)남성,4270,2016,0
493,(주)남성,4270,2017,0
494,(주)남성,4270,2018,0
495,(주)남성,4270,2019,0
496,(주)내츄럴엔도텍,168330,2013,0
497,(주)내츄럴엔도텍,168330,2014,1
498,(주)내츄럴엔도텍,168330,2015,0
499,(주)내츄럴엔도텍,168330,2016,0
500,(주)내츄럴엔도텍,168330,2017,0
501,(주)내츄럴엔도텍,168330,2018,0
502,(주)내츄럴엔도텍,168330,2019,0
503,(주)네오리진,94860,2011,0
504,(주)네오리진,94860,2012,1
505,(주)네오리진,94860,2013,0
506,(주)네오리진,94860,2014,0
507,(주)네오리진,94860,2015,0
508,(주)네오리진,94860,2016,0
509,(주)네오리진,94860,2017,0
510,(주)네오리진,94860,2018,0
511,(주)네오리진,94860,2019,0
512,(주)네오셈,253590,2018,0
513,(주)네오셈,253590,2019,0
514,(주)네오오토,212560,2015,0
515,(주)네오오토,212560,2016,0
516,(주)네오오토,212560,2017,0
517,(주)네오오토,212560,2018,0
518,(주)네오오토,212560,2019,0
519,(주)네오위즈,95660,2011,0
520,(주)네오위즈,95660,2012,0
521,(주)네오위즈,95660,2013,0
522,(주)네오위즈,95660,2014,0
523,(주)네오위즈,95660,2015,0
524,(주)네오위즈,95660,2016,0
525,(주)네오위즈,95660,2017,0
526,(주)네오위즈,95660,2018,0
527,(주)네오위즈,95660,2019,0
