,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본율(개별),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결)
39,(주)STX,11810,14-Dec,"1,070,433","54,894",5.13,"1,255,002","93,662",7.46
40,(주)STX,11810,15-Dec,"1,057,543","72,316",6.84,"1,267,224","72,342",5.71
41,(주)STX,11810,16-Dec,"627,686","-328,883",-52.4,"707,709","-330,596",-46.71
42,(주)STX,11810,17-Dec,"520,393","44,710",8.59,"627,542","42,560",6.78
43,(주)STX,11810,18-Dec,"446,758","62,213",13.93,"554,061","64,028",11.56
44,(주)STX,11810,19-Dec,"462,734","50,616",10.94,"560,107","56,291",10.05
45,(주)TCC스틸,2710,11-Dec,"407,744","205,617",50.43,"454,330","225,442",49.62
46,(주)TCC스틸,2710,12-Dec,"438,643","209,756",47.82,"547,014","225,999",41.32
47,(주)TCC스틸,2710,13-Dec,"444,205","210,086",47.29,"543,709","205,738",37.84
48,(주)TCC스틸,2710,14-Dec,"461,298","210,094",45.54,"551,001","189,038",34.31
49,(주)TCC스틸,2710,15-Dec,"330,652","76,556",23.15,"376,395","86,012",22.85
50,(주)TCC스틸,2710,16-Dec,"250,878","92,624",36.92,"282,915","103,338",36.53
51,(주)TCC스틸,2710,17-Dec,"248,896","89,627",36.01,"278,693","100,916",36.21
52,(주)TCC스틸,2710,18-Dec,"268,136","98,352",36.68,"304,782","112,246",36.83
53,(주)TCC스틸,2710,19-Dec,"270,265","97,501",36.08,"314,210","116,843",37.19
54,(주)강스템바이오텍,217730,15-Dec,"24,983","21,237",85.01,"24,983","21,237",85.01
55,(주)강스템바이오텍,217730,16-Dec,"47,442","22,977",48.43,"47,442","22,977",48.43
56,(주)강스템바이오텍,217730,17-Dec,"44,509","24,668",55.42,"47,199","24,482",51.87
57,(주)강스템바이오텍,217730,18-Dec,"66,185","47,945",72.44,"73,194","47,581",65.01
58,(주)강스템바이오텍,217730,19-Dec,"98,626","70,845",71.83,"113,644","68,719",60.47
59,(주)강원에너지,114190,11-Nov,"53,719","24,502",45.61,"53,719","24,502",45.61
60,(주)강원에너지,114190,12-Dec,"89,258","36,108",40.45,"89,258","36,108",40.45
61,(주)강원에너지,114190,13-Dec,"72,441","45,877",63.33,"72,441","45,877",63.33
62,(주)강원에너지,114190,14-Dec,"67,038","50,445",75.25,"67,038","50,445",75.25
63,(주)강원에너지,114190,15-Dec,"80,939","54,881",67.81,"85,457","56,584",66.21
