구분,코드,산업명,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
(주)대구백화점,006370,  소매업; 자동차 제외,30.42 ,31.96 ,33.91 ,36.30 ,36.45 ,35.67 ,35.93 ,37.52 ,38.57 
(주)대덕,008060,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",90.89 ,87.91 ,95.59 ,92.34 ,90.26 ,89.93 ,89.42 ,90.63 ,91.04 
(주)대동,000490,  기타 기계 및 장비 제조업,78.43 ,78.44 ,78.29 ,82.10 ,79.16 ,82.08 ,81.76 ,83.34 ,77.13 
(주)대동스틸,048470,  1차 금속 제조업,94.55 ,98.40 ,95.57 ,96.18 ,98.09 ,89.00 ,89.70 ,96.53 ,96.23 
(주)대륙제관,004780,  금속가공제품 제조업; 기계 및 가구 제외,90.00 ,90.17 ,89.70 ,88.84 ,85.49 ,82.98 ,86.82 ,90.12 ,88.53 
(주)대림제지,017650,"  펄프, 종이 및 종이제품 제조업",91.05 ,75.81 ,87.75 ,85.21 ,95.83 ,83.06 ,89.06 ,81.90 ,85.47 
(주)대명소노시즌,007720,  도매 및 상품 중개업,79.49 ,70.99 ,70.98 ,69.29 ,85.16 ,83.00 ,82.45 ,80.53 ,82.58 
(주)대성미생물연구소,036480,  의료용 물질 및 의약품 제조업,79.14 ,74.52 ,70.75 ,71.94 ,66.97 ,66.82 ,69.94 ,67.20 ,66.41 
(주)대성엘텍,025440,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",97.58 ,92.59 ,95.45 ,94.79 ,94.85 ,95.02 ,95.98 ,97.26 ,99.03 
(주)대성파인텍,104040,  자동차 및 트레일러 제조업,77.53 ,82.10 ,79.68 ,83.05 ,79.50 ,81.82 ,79.73 ,84.40 ,87.28 
(주)대양금속,009190,  1차 금속 제조업,106.95 ,112.26 ,98.43 ,101.46 ,100.30 ,88.68 ,88.43 ,93.39 ,95.07 
(주)대우건설,047040,  종합 건설업,90.49 ,90.15 ,96.46 ,92.68 ,93.03 ,99.36 ,93.55 ,90.71 ,92.32 
(주)대웅,003090,  전문 서비스업,13.18 ,11.15 ,8.85 ,5.18 ,11.45 ,18.92 ,15.58 ,0.00 ,0.00 
