구분,코드,산업명,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
(주)코리아써키트,007810,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",96.00 ,90.25 ,90.12 ,92.48 ,89.68 ,95.31 ,96.11 ,101.78 ,94.91 
(주)코리아에스이,101670,  금속가공제품 제조업; 기계 및 가구 제외,60.30 ,70.60 ,66.87 ,64.02 ,65.14 ,66.69 ,76.47 ,80.10 ,71.56 
(주)코맥스,036690,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",76.47 ,73.69 ,76.22 ,80.26 ,79.41 ,77.15 ,75.82 ,78.72 ,80.77 
(주)코메론,049430,"  의료, 정밀, 광학기기 및 시계 제조업",65.15 ,72.86 ,74.89 ,71.96 ,67.71 ,63.44 ,64.32 ,68.74 ,66.60 
(주)코미코,183300,  기타 기계 및 장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,51.50 ,51.16 ,58.04 
(주)코미팜,041960,  의료용 물질 및 의약품 제조업,57.33 ,59.55 ,65.06 ,65.92 ,69.71 ,70.88 ,67.92 ,72.06 ,66.33 
(주)코세스,089890,  기타 기계 및 장비 제조업,74.00 ,78.61 ,91.11 ,87.88 ,80.36 ,82.37 ,72.47 ,73.39 ,79.28 
(주)코센,009730,  1차 금속 제조업,103.23 ,100.18 ,91.01 ,91.70 ,89.64 ,100.98 ,89.89 ,92.15 ,92.23 
(주)코스나인,082660,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",104.92 ,96.16 ,92.47 ,93.84 ,99.81 ,95.04 ,108.98 ,70.88 ,93.24 
(주)코스메카코리아,241710,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,80.38 ,80.24 ,82.63 ,82.90 
(주)코스온,069110,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",94.36 ,96.40 ,88.78 ,75.68 ,73.17 ,75.03 ,79.72 ,85.14 ,85.09 
(주)코썬바이오,204990,  식료품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,55.57 ,54.74 ,74.50 ,89.06 
(주)코아스,071950,  가구 제조업,67.78 ,69.72 ,73.83 ,68.63 ,75.54 ,67.67 ,67.91 ,73.37 ,71.98 
(주)코아시아,045970,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,115.89 ,13.15 ,6.22 ,88.62 
(주)코아시아옵틱스,196450,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,#DIV/0!,97.41 ,96.64 ,129.93 ,65.78 ,109.51 ,82.56 
(주)코엔텍,029960,"  폐기물 수집, 운반, 처리 및 원료 재생업",70.85 ,61.37 ,64.86 ,62.38 ,65.68 ,60.41 ,60.05 ,51.31 ,54.18 
(주)코오롱,002020,  전문 서비스업,8.14 ,8.12 ,7.76 ,8.35 ,8.99 ,9.46 ,0.00 ,0.00 ,0.00 
(주)코원플레이,056000,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",96.01 ,106.93 ,94.59 ,77.74 ,111.27 ,65.19 ,54.60 ,51.23 ,54.65 
(주)코윈테크,282880,  기타 기계 및 장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,70.31 
(주)코이즈,121850,  고무 및 플라스틱제품 제조업,#DIV/0!,60.18 ,78.80 ,81.40 ,84.20 ,82.92 ,115.55 ,107.07 ,86.76 
(주)코콤,015710,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",73.03 ,74.03 ,75.98 ,73.85 ,71.95 ,72.51 ,74.96 ,72.67 ,71.67 
(주)코텍,052330,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",74.33 ,73.67 ,74.22 ,80.89 ,77.50 ,75.83 ,79.13 ,76.91 ,75.07 
(주)코퍼스코리아,322780,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)코프라,126600,  화학물질 및 화학제품 제조업; 의약품 제외,88.49 ,86.00 ,82.89 ,81.98 ,79.43 ,80.03 ,85.35 ,88.80 ,88.51 
(주)콘텐트리중앙,036420,  영상ㆍ오디오 기록물 제작 및 배급업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,113.66 
(주)콤텍시스템,031820,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",91.59 ,89.24 ,90.36 ,91.11 ,90.02 ,89.29 ,89.47 ,85.57 ,87.42 
(주)큐로,015590,  기타 기계 및 장비 제조업,107.30 ,87.63 ,88.51 ,94.79 ,95.65 ,97.26 ,91.14 ,107.20 ,80.70 
(주)큐로컴,040350,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",84.23 ,81.99 ,82.91 ,83.70 ,78.16 ,85.29 ,83.55 ,88.79 ,80.20 
(주)큐로홀딩스,051780,"  의료, 정밀, 광학기기 및 시계 제조업",74.49 ,75.68 ,70.26 ,67.06 ,62.70 ,76.21 ,79.39 ,77.95 ,75.71 
(주)큐리언트,115180,  연구개발업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)큐브엔터테인먼트,182360,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,81.34 ,102.80 ,81.84 ,83.46 ,85.11 
(주)큐에스아이,066310,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",70.55 ,77.94 ,73.25 ,71.00 ,74.19 ,79.38 ,78.16 ,83.16 ,82.80 
(주)크라운제과,264900,  식료품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,59.13 ,63.44 ,63.76 
(주)크라운해태홀딩스,005740,  식료품 제조업,56.90 ,59.02 ,57.15 ,57.49 ,57.44 ,58.42 ,0.00 ,0.00 ,0.00 
(주)크레버스,096240,  교육 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)크리스에프앤씨,110790,"  의복, 의복 액세서리 및 모피제품 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,34.44 ,33.68 
(주)크린앤사이언스,045520,"  펄프, 종이 및 종이제품 제조업",81.17 ,79.18 ,81.03 ,80.37 ,78.50 ,77.83 ,78.43 ,80.31 ,80.38 
(주)클라우드에어,036170,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",71.26 ,89.20 ,88.22 ,94.56 ,82.80 ,71.58 ,70.51 ,76.46 ,78.72 
(주)클래시스,214150,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,31.01 ,26.85 ,21.38 
(주)클리오,237880,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,37.12 ,39.24 ,43.43 ,43.94 
(주)키다리스튜디오,020120,  도매 및 상품 중개업,76.47 ,78.50 ,71.08 ,65.05 ,71.56 ,86.94 ,84.57 ,74.57 ,67.03 
(주)키이스트,054780,  사업지원 서비스업,82.89 ,74.99 ,83.44 ,79.06 ,82.13 ,85.57 ,86.82 ,87.11 ,96.07 
(주)타이거일렉,219130,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80.63 ,86.64 ,78.04 ,84.37 ,87.85 
(주)탑엔지니어링,065130,  기타 기계 및 장비 제조업,75.87 ,67.12 ,76.63 ,77.70 ,71.66 ,70.74 ,75.67 ,76.09 ,75.83 
(주)탑코미디어,134580,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,68.97 ,74.87 ,75.89 ,80.88 ,83.59 ,78.18 ,80.26 
(주)태경비케이,014580,  비금속 광물제품 제조업,77.59 ,79.52 ,77.07 ,76.63 ,77.19 ,79.01 ,81.89 ,82.83 ,81.53 
(주)태광,023160,  1차 금속 제조업,77.83 ,78.99 ,80.70 ,87.43 ,85.44 ,89.84 ,86.67 ,85.60 ,88.32 
(주)태성,323280,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)태양,053620,  금속가공제품 제조업; 기계 및 가구 제외,88.54 ,89.84 ,89.50 ,89.19 ,91.09 ,79.13 ,83.21 ,89.96 ,85.04 
(주)태영건설,009410,  종합 건설업,91.24 ,90.83 ,92.14 ,95.24 ,93.34 ,88.34 ,80.37 ,81.44 ,81.88 
(주)태웅,044490,  금속가공제품 제조업; 기계 및 가구 제외,88.75 ,90.12 ,90.26 ,90.21 ,87.49 ,83.71 ,88.94 ,98.76 ,98.06 
(주)태웅로직스,124560,  창고 및 운송관련 서비스업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,87.71 
(주)테라젠이텍스,066700,  기타 기계 및 장비 제조업,75.96 ,64.97 ,53.74 ,48.46 ,49.37 ,60.98 ,62.38 ,68.36 ,60.23 
(주)테스,095610,  기타 기계 및 장비 제조업,79.13 ,84.84 ,78.34 ,75.16 ,78.46 ,72.82 ,71.77 ,73.30 ,83.65 
(주)테이팩스,055490,  고무 및 플라스틱제품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,76.75 ,82.33 ,82.13 
(주)테크윙,089030,  기타 기계 및 장비 제조업,70.24 ,68.83 ,69.93 ,70.15 ,65.78 ,63.21 ,64.73 ,65.51 ,64.24 
(주)텔레칩스,054450,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",73.69 ,75.81 ,81.86 ,75.14 ,63.28 ,57.42 ,67.97 ,60.08 ,55.54 
(주)텔레필드,091440,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",66.90 ,68.12 ,66.97 ,66.96 ,67.83 ,76.59 ,67.07 ,97.86 ,61.89 
(주)텔콘알에프제약,200230,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,78.40 ,82.79 ,87.67 ,89.86 ,85.78 ,73.26 
(주)토니모리,214420,  화학물질 및 화학제품 제조업; 의약품 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.81 ,47.53 ,39.19 ,36.62 ,38.25 
(주)토박스코리아,215480,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,40.35 ,52.50 ,46.04 
(주)토비스,051360,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",87.33 ,90.57 ,89.64 ,84.92 ,83.57 ,84.27 ,87.77 ,84.09 ,82.64 
(주)토탈소프트뱅크,045340,  출판업,74.12 ,75.58 ,64.97 ,41.18 ,56.71 ,55.18 ,62.76 ,59.57 ,52.89 
(주)톱텍,108230,  기타 기계 및 장비 제조업,82.88 ,84.17 ,84.08 ,84.26 ,83.89 ,85.84 ,80.53 ,91.42 ,86.28 
(주)투비소프트,079970,  출판업,48.25 ,45.54 ,40.96 ,42.45 ,41.91 ,54.93 ,52.90 ,61.34 ,58.60 
(주)트루윈,105550,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,72.71 ,88.87 ,97.31 ,88.57 ,80.07 ,91.17 
(주)특수건설,026150,  종합 건설업,94.59 ,92.50 ,96.15 ,100.69 ,91.67 ,94.42 ,91.22 ,93.55 ,93.13 
(주)티라유텍,322180,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,75.77 
(주)티로보틱스,117730,  기타 기계 및 장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,76.11 ,81.22 
(주)티비씨,033830,  방송업,64.70 ,69.10 ,67.39 ,69.28 ,73.26 ,74.75 ,73.81 ,75.35 ,73.80 
(주)티비에이치글로벌,084870,"  의복, 의복 액세서리 및 모피제품 제조업",57.44 ,58.33 ,51.82 ,55.63 ,59.49 ,44.37 ,40.22 ,44.17 ,41.20 
(주)티사이언티픽,057680,  출판업,79.59 ,94.62 ,95.17 ,82.02 ,90.27 ,95.14 ,93.99 ,47.66 ,46.60 
(주)티씨케이,064760,  비금속 광물제품 제조업,61.95 ,68.51 ,71.25 ,68.80 ,60.38 ,57.04 ,53.02 ,52.43 ,56.44 
(주)티앤알바이오팹,246710,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,71.11 ,52.70 
(주)티에스넥스젠,043220,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",92.20 ,102.42 ,84.45 ,86.76 ,102.73 ,89.21 ,109.88 ,118.24 ,77.03 
(주)티에스이,131290,"  의료, 정밀, 광학기기 및 시계 제조업",71.42 ,79.97 ,83.01 ,83.04 ,86.15 ,95.08 ,71.52 ,67.44 ,66.66 
(주)티에스트릴리온,317240,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)티에이치엔,019180,  전기장비 제조업,90.62 ,90.06 ,89.65 ,90.14 ,87.09 ,88.86 ,90.00 ,89.35 ,88.68 
(주)티엘아이,062860,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",78.64 ,72.60 ,69.42 ,68.23 ,72.06 ,74.92 ,77.37 ,99.64 ,78.84 
(주)티움바이오,321550,  연구개발업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,0.00 
(주)티웨이항공,091810,  항공 운송업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,84.85 ,93.19 
(주)티웨이홀딩스,004870,  비금속 광물제품 제조업,100.59 ,88.96 ,77.90 ,83.38 ,82.79 ,83.91 ,92.60 ,132.84 ,128.94 
(주)티케이케미칼,104480,  화학물질 및 화학제품 제조업; 의약품 제외,92.98 ,97.36 ,96.63 ,95.66 ,94.48 ,94.56 ,94.35 ,90.09 ,93.95 
(주)티플랙스,081150,  금속가공제품 제조업; 기계 및 가구 제외,91.38 ,93.79 ,93.52 ,91.84 ,91.74 ,91.31 ,92.49 ,92.83 ,93.02 
(주)티피씨,130740,  자동차 및 트레일러 제조업,82.34 ,84.48 ,87.24 ,86.42 ,83.99 ,82.14 ,85.22 ,85.66 ,85.58 
(주)티피씨메카트로닉스,048770,  기타 기계 및 장비 제조업,74.74 ,76.77 ,78.45 ,79.22 ,80.80 ,86.46 ,80.47 ,81.15 ,83.36 
(주)파나진,046210,  금속가공제품 제조업; 기계 및 가구 제외,89.17 ,97.25 ,42.44 ,42.33 ,31.22 ,36.37 ,41.57 ,42.79 ,35.82 
(주)파라다이스,034230,  스포츠 및 오락관련 서비스업,74.95 ,75.83 ,70.72 ,79.19 ,80.92 ,79.72 ,89.71 ,86.55 ,86.90 
(주)파라텍,033540,  기타 기계 및 장비 제조업,90.57 ,91.69 ,89.82 ,91.26 ,91.88 ,92.64 ,91.88 ,94.24 ,120.45 
(주)파루,043200,  전기장비 제조업,114.58 ,89.36 ,79.55 ,69.64 ,67.19 ,64.79 ,98.04 ,124.14 ,77.63 
(주)파마리서치,214450,  도매 및 상품 중개업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,31.20 ,32.74 ,33.38 ,40.99 ,43.16 
(주)파멥신,208340,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,85.92 ,#DIV/0!
(주)파버나인,177830,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,87.57 ,97.92 ,87.41 ,89.95 ,89.40 ,94.03 
(주)파세코,037070,  전기장비 제조업,83.39 ,81.96 ,78.90 ,81.15 ,79.28 ,78.58 ,80.17 ,82.53 ,80.75 
(주)파수,150900,  출판업,#DIV/0!,#DIV/0!,40.67 ,34.85 ,47.63 ,64.57 ,38.30 ,38.59 ,53.43 
(주)파워넷,037030,  전기장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,87.35 ,86.13 
(주)파워로직스,047310,  전기장비 제조업,97.54 ,95.10 ,99.09 ,93.07 ,94.65 ,94.81 ,94.95 ,92.66 ,92.51 
(주)파이오링크,170790,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,35.53 ,38.28 ,39.97 ,47.11 ,43.09 ,48.63 ,52.33 
(주)파인디앤씨,049120,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",99.99 ,98.05 ,97.00 ,84.13 ,69.38 ,77.70 ,81.45 ,86.72 ,88.99 
(주)파인디지털,038950,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",73.00 ,65.10 ,63.55 ,64.92 ,70.36 ,74.00 ,75.01 ,72.12 ,71.95 
(주)파인테크닉스,106240,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",78.08 ,73.76 ,90.57 ,74.19 ,80.14 ,86.62 ,99.58 ,81.62 ,84.20 
(주)파인텍,131760,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,83.64 ,96.69 ,83.31 ,88.48 ,83.54 
(주)파커스,065690,  고무 및 플라스틱제품 제조업,86.63 ,84.70 ,84.62 ,85.86 ,82.79 ,78.40 ,82.03 ,80.72 ,88.74 
(주)파크시스템스,140860,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44.03 ,41.16 ,36.94 ,41.21 ,40.23 
(주)파트론,091700,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",80.91 ,83.44 ,82.35 ,82.81 ,86.57 ,91.34 ,92.48 ,88.84 ,86.82 
(주)판타지오,032800,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",68.33 ,73.11 ,83.15 ,93.64 ,74.34 ,82.67 ,95.75 ,81.83 ,77.73 
(주)팜스빌,318010,  식료품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,25.60 
(주)팜스코,036580,  식료품 제조업,84.21 ,86.38 ,88.23 ,86.19 ,84.69 ,85.55 ,86.85 ,86.57 ,87.61 
(주)팜스토리,027710,  식료품 제조업,89.16 ,87.37 ,87.18 ,85.53 ,86.54 ,85.80 ,86.84 ,88.12 ,87.42 
(주)팬스타엔터프라이즈,054300,  기타 기계 및 장비 제조업,95.30 ,82.34 ,87.75 ,83.80 ,82.70 ,86.08 ,80.94 ,84.85 ,83.98 
(주)팬엔터테인먼트,068050,  영상ㆍ오디오 기록물 제작 및 배급업,91.95 ,88.03 ,90.41 ,91.47 ,109.00 ,88.05 ,96.78 ,84.29 ,91.72 
(주)팬젠,222110,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,253.08 ,162.13 ,90.89 ,172.79 
(주)퍼시스,016800,  가구 제조업,68.32 ,70.99 ,72.77 ,73.10 ,73.76 ,75.33 ,73.18 ,72.62 ,73.19 
(주)펄어비스,263750,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,0.00 
(주)펩트론,087010,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,67.38 ,60.99 ,62.13 ,62.43 ,63.54 
(주)포메탈,119500,  금속가공제품 제조업; 기계 및 가구 제외,84.16 ,89.33 ,89.25 ,88.50 ,88.71 ,85.95 ,86.73 ,88.89 ,88.35 
(주)포스코아이씨티,022100,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",88.54 ,88.91 ,88.14 ,88.69 ,89.00 ,86.74 ,86.15 ,87.80 ,86.45 
(주)포스코엠텍,009520,  1차 금속 제조업,95.08 ,94.66 ,98.05 ,95.71 ,90.54 ,89.04 ,90.23 ,89.67 ,90.79 
(주)포스코인터내셔널,047050,  도매 및 상품 중개업,95.11 ,95.04 ,95.19 ,94.59 ,93.21 ,93.35 ,94.48 ,96.63 ,95.73 
(주)포스코케미칼,003670,  비금속 광물제품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,88.81 
(주)포시에스,189690,  출판업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18.08 ,16.93 ,19.58 ,23.29 ,28.05 
(주)포인트엔지니어링,256630,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,70.72 
(주)포커스에이치엔에스,331380,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)폴라리스세원,234100,  자동차 및 트레일러 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,85.28 ,87.75 ,85.90 
(주)폴라리스오피스,041020,  출판업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)폴라리스우노,114630,  화학물질 및 화학제품 제조업; 의약품 제외,76.57 ,78.90 ,78.34 ,80.28 ,76.23 ,75.13 ,81.48 ,85.73 ,85.80 
(주)푸드나무,290720,  소매업; 자동차 제외,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,64.31 ,63.05 
(주)푸드웰,005670,  식료품 제조업,85.14 ,87.62 ,87.36 ,88.23 ,88.59 ,88.66 ,87.72 ,88.33 ,89.57 
(주)푸른기술,094940,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",78.62 ,73.79 ,73.66 ,80.19 ,82.10 ,80.87 ,77.37 ,77.40 ,77.41 
(주)풀무원,017810,  전문 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.49 ,1.41 ,1.39 ,1.34 
(주)풍강,093380,  금속가공제품 제조업; 기계 및 가구 제외,83.67 ,84.19 ,85.76 ,85.99 ,87.75 ,87.11 ,86.94 ,89.38 ,88.61 
(주)풍산,103140,  1차 금속 제조업,91.98 ,90.92 ,90.26 ,90.66 ,90.31 ,86.58 ,86.25 ,89.96 ,92.03 
(주)풍산홀딩스,005810,  전문 서비스업,76.99 ,75.36 ,76.27 ,79.14 ,79.76 ,78.52 ,79.61 ,79.25 ,81.51 
(주)퓨쳐켐,220100,  의료용 물질 및 의약품 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,182.10 ,105.66 ,124.18 ,92.87 
(주)프럼파스트,035200,  고무 및 플라스틱제품 제조업,84.30 ,84.22 ,78.97 ,79.76 ,81.53 ,77.72 ,75.26 ,78.45 ,78.16 
(주)프로스테믹스,203690,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18.31 ,23.23 ,41.22 ,67.08 ,36.10 
(주)프로이천,321260,  기타금융업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!
(주)프로텍,053610,  기타 기계 및 장비 제조업,62.98 ,64.95 ,67.96 ,68.62 ,69.03 ,69.32 ,70.84 ,65.56 ,64.36 
(주)프리엠스,053160,  전기장비 제조업,77.33 ,76.30 ,75.35 ,74.78 ,73.45 ,81.63 ,84.24 ,82.16 ,83.41 
(주)플래스크,041590,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",87.66 ,87.89 ,86.33 ,83.61 ,96.40 ,105.94 ,92.51 ,97.78 ,90.65 
(주)플랜티넷,075130,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)플레이그램,009810,  도매 및 상품 중개업,85.98 ,91.58 ,96.59 ,91.43 ,92.36 ,92.21 ,94.50 ,94.59 ,95.56 
(주)플레이위드,023770,  출판업,48.33 ,46.60 ,47.32 ,39.96 ,26.76 ,40.65 ,45.87 ,46.08 ,33.56 
(주)플리토,300080,  정보서비스업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,0.00 
(주)피델릭스,032580,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",84.40 ,87.01 ,81.88 ,85.99 ,85.62 ,86.34 ,82.63 ,82.95 ,84.54 
(주)피씨디렉트,051380,  도매 및 상품 중개업,95.18 ,96.12 ,98.09 ,96.01 ,95.70 ,95.02 ,94.99 ,93.97 ,94.03 
(주)피에스엠씨,024850,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",105.05 ,91.67 ,92.94 ,97.65 ,119.67 ,122.71 ,#DIV/0!,92.09 ,97.66 
(주)피에이치씨,057880,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",77.46 ,91.42 ,75.01 ,146.28 ,97.58 ,71.25 ,79.02 ,76.97 ,85.81 
(주)피엔티,137400,  기타 기계 및 장비 제조업,#DIV/0!,80.22 ,87.95 ,82.78 ,88.98 ,79.95 ,81.23 ,92.04 ,90.31 
(주)피엔풍년,024940,  금속가공제품 제조업; 기계 및 가구 제외,76.77 ,76.07 ,76.90 ,74.99 ,74.17 ,72.33 ,70.66 ,73.13 ,73.89 
(주)피제이메탈,128660,  1차 금속 제조업,94.82 ,93.96 ,95.59 ,91.91 ,90.92 ,96.81 ,93.95 ,94.61 ,95.33 
(주)피제이전자,006140,"  의료, 정밀, 광학기기 및 시계 제조업",87.91 ,88.52 ,89.29 ,91.99 ,92.29 ,92.12 ,91.14 ,92.49 ,92.17 
(주)피피아이,062970,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,#DIV/0!,0.00 ,88.09 
(주)픽셀플러스,087600,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,72.92 ,81.66 ,83.36 ,74.81 ,73.32 
(주)필옵틱스,161580,  기타 기계 및 장비 제조업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,86.16 ,106.45 ,89.86 
(주)하나투어,039130,  사업지원 서비스업,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
(주)하림,136480,  식료품 제조업,90.52 ,86.84 ,83.97 ,84.65 ,83.48 ,80.90 ,81.81 ,84.44 ,88.92 
(주)하림지주,003380,  전문 서비스업,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00 ,#DIV/0!,0.00 ,2.50 ,4.79 
(주)하이로닉,149980,"  의료, 정밀, 광학기기 및 시계 제조업",#DIV/0!,#DIV/0!,#DIV/0!,32.77 ,32.87 ,36.86 ,37.89 ,43.01 ,41.12 
