회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS)(천원),기계장치(IFRS)(천원),부가가치(IFRS)(백만원),[제조]자본(*)(IFRS),[제조]종업원수(IFRS),유형자산회전율(개별),순운전자본회전율(개별),운전자본회전률(개별),노동장비율(개별),기계장비율(개별),자본집약도(개별),총자본투자효율(개별),설비투자효율(개별),기계투자효율(개별),부가가치율(개별)
(주)SNT홀딩스,36530,16-Dec,9818190,427001710,97449826,318763,35654,0,0,6611.38,426682947,8,0.022993327,0.101081875,0.202163751,4456.75,0,53335368375,1.549483064,18543.16486,#DIV/0!,67.33807351
(주)SNT홀딩스,36530,17-Dec,7417869,425435423,98229088,299279,19895,0,0,4405.14,425136143,7,0.017435946,0.075746793,0.151493587,2842.142857,0,60733734714,1.036171606,22141.94521,#DIV/0!,59.38551894
(주)SNT홀딩스,36530,18-Dec,7292112,422804813,89557460,231691,2888,0,0,6864.34,422573122,10,0.017246994,0.081635032,0.163270064,288.8,0,42257312200,1.624414721,237684.903,#DIV/0!,94.13377085
(주)SNT홀딩스,36530,19-Dec,11015928,417172874,31735933,233270,59663,0,0,10601.11,416939604,10,0.026406146,0.349682438,0.699364876,5966.3,0,41693960400,2.54260087,17768.31537,#DIV/0!,96.23437989
(주)STX,11810,11-Dec,4173397000,3302248000,993206000,1568777000,72801000,0,0,236828,1164648000,392,1.263804838,-7.250881299,-14.5017626,185716.8367,0,2971040816,20.33472775,325.3087183,#DIV/0!,5.674705761
(주)STX,11810,12-Dec,4116767000,3226878000,856988000,1821548000,69598000,0,0,92155,1123534000,375,1.275773983,-4.268025836,-8.536051671,185594.6667,0,2996090667,8.202243991,132.4104141,#DIV/0!,2.238528437
(주)STX,11810,13-Dec,1895063000,1086567000,640293000,1071743000,62152000,0,0,-1518511,-522090000,177,1.74408297,-4.392311971,-8.784623943,351141.2429,0,-2949661017,290.8523435,-2443.221457,#DIV/0!,-80.12984265
(주)STX,11810,14-Dec,1291351000,1070433000,728283000,671976000,57120000,0,0,390447,54894000,124,1.206381903,22.93411121,45.86822242,460645.1613,0,442693548.4,711.2744562,683.5556723,#DIV/0!,30.23554402
(주)STX,11810,15-Dec,1362127000,1057543000,663016000,677923000,53714000,0,0,-7212,72316000,127,1.288010984,-91.37499161,-182.7499832,422944.8819,0,569417322.8,-9.972896731,-13.42666716,#DIV/0!,-0.529466048
(주)STX,11810,16-Dec,1465561000,627686000,441306000,914419000,30798000,0,0,-408612,-328883000,120,2.334863292,-3.09769759,-6.19539518,256650,0,-2740691667,124.2423597,-1326.74849,#DIV/0!,-27.88092751
(주)STX,11810,17-Dec,1595494000,520393000,349891000,453983000,29631000,0,0,366717,44710000,119,3.065940549,-15.32772932,-30.65545863,249000,0,375714285.7,820.2124804,1237.612635,#DIV/0!,22.98454272
(주)STX,11810,18-Dec,1329890000,446758000,297842000,361935000,28464000,0,0,28236,62213000,110,2.976756991,-20.74937981,-41.49875961,258763.6364,0,565572727.3,45.38601257,99.1989882,#DIV/0!,2.12318312
(주)STX,11810,19-Dec,1237876000,462734000,292473000,377150000,43245000,0,0,-15090,50616000,116,2.675135175,-14.61879849,-29.23759699,372801.7241,0,436344827.6,-29.81270744,-34.89420742,#DIV/0!,-1.219023553
(주)TCC스틸,2710,11-Dec,456928069,407743559,163515113,143961450,75283350,1119494,51927686,47387.55,205616971,315,1.120626087,23.3679014,46.7358028,235440.8127,164849.7968,652752288.9,23.04651691,63.89574728,91.25681048,10.37089932
(주)TCC스틸,2710,12-Dec,440568155,438642951,168674581,115747321,71554979,743100,54333787,44247.81,209755733,319,1.004389,8.324031038,16.64806208,221980.8119,170325.3511,657541482.8,21.09492283,62.48642265,81.43700714,10.04335186
(주)TCC스틸,2710,13-Dec,419483813,444204925,150092488,98538725,71255687,0,59805178,37086.29,210086242,311,0.944347506,8.136822389,16.27364478,229117.9646,192299.6077,675518463,17.65288847,52.04677909,62.01183784,8.840934704
(주)TCC스틸,2710,14-Dec,401323585,461297588,141191905,189566139,68743151,0,62490884,38278.43,210093654,306,0.869988475,-8.296226148,-16.5924523,224650.8203,204218.5752,686580568.6,18.21969834,55.68326363,61.25442233,9.538046462
(주)TCC스틸,2710,15-Dec,350074629,330651742,202116240,121276743,50635593,0,64663749,-113808.25,76555951,281,1.058741221,4.330489946,8.660979892,180197.8399,230120.1032,272441106.8,-148.6602263,-224.7593901,-176.00008,-32.50971095
