회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)경방,000050,2013/12,50395794,669867,-50551741,51153970,-3280250,-48062284
(주)경방,000050,2014/12,29566345,-30920122,1405347,23819336,-33885316,7248278
(주)경방,000050,2015/12,44076364,-5543521,-39097741,39920580,-36713625,-4572002
(주)경방,000050,2016/12,61707854,-3211754,-59401698,67981079,-13675594,-53643827
(주)경방,000050,2017/12,51272565,6831805,-56521554,57866501,-19767162,-36109907
(주)경방,000050,2018/12,29443002,-32823008,1757966,12093896,-25719906,10321447
(주)경방,000050,2019/12,65270564,-79930463,15530860,66875285,-45096923,-14956599
(주)경보제약,214390,2015/12,4240142,-27781942,20772532,,,
(주)경보제약,214390,2016/12,25328803,-20158761,-4820443,,,
(주)경보제약,214390,2017/12,25805146,-6395974,-16842415,,,
(주)경보제약,214390,2018/12,-1138159,-8194652,7818998,,,
(주)경보제약,214390,2019/12,23668111,-28127563,6110674,,,
(주)경인양행,012610,2011/12,10022891,-4871100,-5585049,9839673,-9877016,-5766473
(주)경인양행,012610,2012/12,14914670,-2384505,-8998839,20801833,-5059446,-11508502
(주)경인양행,012610,2013/12,-1601346,-515260,1570497,1046809,-3527107,1806201
(주)경인양행,012610,2014/12,15097174,-9760461,-3954057,18368986,-12201523,-2721206
(주)경인양행,012610,2015/12,-1240907,-3554826,4523629,5444861,-10080952,5507952
(주)경인양행,012610,2016/12,8421999,-1366831,-3647769,19013689,-7033423,-7321054
(주)경인양행,012610,2017/12,652491,-16850427,16543795,5323456,-25434854,21933930
(주)경인양행,012610,2018/12,911833,-23651736,26878747,1873412,-31671509,31497592
(주)경인양행,012610,2019/12,-2222389,-30689433,33651668,6768170,-46297964,42426085
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,3161867,-14608429,8857140,,,
(주)고려시멘트,198440,2018/12,1728759,-9952075,8505781,,,
(주)고려시멘트,198440,2019/12,2862239,3351444,-2730727,,,
(주)고영테크놀러지,098460,2011/12,12776648,-14532348,-1005001,13903738,-15045937,-1005001
(주)고영테크놀러지,098460,2012/12,10610309,-7979723,-1627415,11397833,-8116145,-1627415
(주)고영테크놀러지,098460,2013/12,12177046,-6515012,693223,13282913,-6568022,693223
(주)고영테크놀러지,098460,2014/12,23831965,-14388870,-6429718,25603240,-14447901,-5986932
(주)고영테크놀러지,098460,2015/12,15161650,-1567764,-8192298,16569102,-1979022,-8347958
(주)고영테크놀러지,098460,2016/12,17957289,-6754347,-3412804,29234878,-7025366,-3590719
(주)고영테크놀러지,098460,2017/12,7492877,5318936,-22001824,19941301,5201174,-22646309
(주)고영테크놀러지,098460,2018/12,44999013,-72061061,26904466,21765311,-72484067,26904466
