,Unnamed: 0,구분,코드,산업명,2011년,2011년.mid,2012년,2012년.mid,2013년,2013년.mid,2014년,2014년.mid,2015년,2015년.mid,2016년,2016년.mid,2017년,2017년.mid,2018년,2018년.mid,2019년,2019년.mid,2012년 감소율,2013년 감소율,2014년 감소율,2015년 감소율,2016년 감소율,2017년 감소율,2018년 감소율,2019년 감소율
41,41,(주)인트론바이오테크놀로지,48530,  의료용 물질 및 의약품 제조업,47.97,41.73,56.81,41.84,51.64,43.25,44.6,44.93,34.05,48.21,50.79,52.51,54.09,52.32,26.32,54.69,54.48,57.6,-18.43,9.1,13.63,23.65,-49.16,-6.5,51.34,-106.99
42,42,(주)제노포커스,187420,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,59.99,48.21,53.74,52.51,57.36,52.32,81.99,54.69,88.49,57.6,,,,-inf,10.42,-6.74,-42.94,-7.93
43,43,(주)제일바이오,52670,  의료용 물질 및 의약품 제조업,86.46,41.73,89.76,41.84,90.65,43.25,88.48,44.93,82.54,48.21,81.5,52.51,77.56,52.32,79.33,54.69,78.78,57.6,-3.82,-0.99,2.39,6.71,1.26,4.83,-2.28,0.69
44,44,(주)제테마,216080,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,53.93,57.6,,,,,,,,-inf
45,45,(주)종근당,185750,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,46.44,43.25,48.48,44.93,50.01,48.21,59.75,52.51,59.34,52.32,60.25,54.69,62.59,57.6,,-inf,-4.39,-3.16,-19.48,0.69,-1.53,-3.88
46,46,(주)종근당바이오,63160,  의료용 물질 및 의약품 제조업,78.39,41.73,79.86,41.84,85.35,43.25,91.46,44.93,80.77,48.21,76.65,52.51,78.94,52.32,81.19,54.69,73.63,57.6,-1.88,-6.87,-7.16,11.69,5.1,-2.99,-2.85,9.31
47,47,(주)종근당홀딩스,1630,  의료용 물질 및 의약품 제조업,39.37,41.73,45.3,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,1.07,57.6,-15.06,100.0,,,,,,-inf
48,48,(주)중앙백신연구소,72020,  의료용 물질 및 의약품 제조업,48.29,41.73,41.84,41.84,49.71,43.25,57.29,44.93,64.71,48.21,55.47,52.51,52.49,52.32,58.77,54.69,57.6,57.6,13.36,-18.81,-15.25,-12.95,14.28,5.37,-11.96,1.99
49,49,(주)지노믹트리,228760,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,260.16,57.6,,,,,,,,-inf
50,50,(주)케어젠,214370,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,22.79,48.21,26.71,52.51,26.63,52.32,25.87,54.69,16.74,57.6,,,,-inf,-17.2,0.3,2.85,35.29
51,51,(주)코미팜,41960,  의료용 물질 및 의약품 제조업,57.33,41.73,59.55,41.84,65.06,43.25,65.92,44.93,69.71,48.21,70.88,52.51,67.92,52.32,72.06,54.69,66.33,57.6,-3.87,-9.25,-1.32,-5.75,-1.68,4.18,-6.1,7.95
52,52,(주)티앤알바이오팹,246710,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,71.11,54.69,52.7,57.6,,,,,,,-inf,25.89
53,53,(주)파멥신,208340,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,85.92,54.69,0.0,57.6,,,,,,,-inf,100.0
54,54,(주)팬젠,222110,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,253.08,52.51,162.13,52.32,90.89,54.69,172.79,57.6,,,,,-inf,35.94,43.94,-90.11
55,55,(주)펩트론,87010,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,67.38,48.21,60.99,52.51,62.13,52.32,62.43,54.69,63.54,57.6,,,,-inf,9.48,-1.87,-0.48,-1.78
56,56,(주)퓨쳐켐,220100,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,182.1,52.51,105.66,52.32,124.18,54.69,92.87,57.6,,,,,-inf,41.98,-17.53,25.21
57,57,(주)하이텍팜,106190,  의료용 물질 및 의약품 제조업,77.13,41.73,76.14,41.84,76.21,43.25,80.94,44.93,84.78,48.21,86.61,52.51,91.62,52.32,92.9,54.69,103.36,57.6,1.28,-0.09,-6.21,-4.74,-2.16,-5.78,-1.4,-11.26
58,58,(주)한독,2390,  의료용 물질 및 의약품 제조업,62.81,41.73,68.38,41.84,69.77,43.25,67.16,44.93,66.45,48.21,67.79,52.51,68.4,52.32,64.9,54.69,65.13,57.6,-8.87,-2.03,3.74,1.06,-2.02,-0.9,5.12,-0.35
59,59,(주)휴메딕스,200670,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,51.34,44.93,48.49,48.21,52.04,52.51,55.69,52.32,62.36,54.69,60.94,57.6,,,-inf,5.55,-7.32,-7.01,-11.98,2.28
60,60,(주)휴온스,243070,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,46.77,52.51,45.04,52.32,43.03,54.69,42.0,57.6,,,,,-inf,3.7,4.46,2.39
61,61,(주)휴온스글로벌,84110,  의료용 물질 및 의약품 제조업,57.71,41.73,54.24,41.84,52.27,43.25,50.47,44.93,49.67,48.21,0.0,52.51,0.0,52.32,0.0,54.69,0.0,57.6,6.01,3.63,3.44,1.59,100.0,,,
62,62,경남제약(주),53950,  의료용 물질 및 의약품 제조업,61.16,41.73,50.71,41.84,53.47,43.25,52.78,44.93,50.43,48.21,56.13,52.51,57.41,52.32,59.81,54.69,62.53,57.6,17.09,-5.44,1.29,4.45,-11.3,-2.28,-4.18,-4.55
63,63,경동제약(주),11040,  의료용 물질 및 의약품 제조업,38.89,41.73,39.75,41.84,39.65,43.25,40.83,44.93,39.86,48.21,39.83,52.51,41.69,52.32,40.42,54.69,40.74,57.6,-2.21,0.25,-2.98,2.38,0.08,-4.67,3.05,-0.79
64,64,고려제약(주),14570,  의료용 물질 및 의약품 제조업,53.28,41.73,57.6,41.84,61.04,43.25,60.32,44.93,62.4,48.21,58.89,52.51,58.63,52.32,60.83,54.69,61.63,57.6,-8.11,-5.97,1.18,-3.45,5.62,0.44,-3.75,-1.32
65,65,광동제약(주),9290,  의료용 물질 및 의약품 제조업,57.08,41.73,59.96,41.84,63.93,43.25,63.03,44.93,62.56,48.21,64.44,52.51,67.14,52.32,68.5,54.69,68.39,57.6,-5.05,-6.62,1.41,0.75,-3.01,-4.19,-2.03,0.16
66,66,국제약품(주),2720,  의료용 물질 및 의약품 제조업,55.6,41.73,64.34,41.84,60.72,43.25,61.63,44.93,56.07,48.21,56.14,52.51,58.04,52.32,54.52,54.69,51.84,57.6,-15.72,5.63,-1.5,9.02,-0.12,-3.38,6.06,4.92
67,67,대봉엘에스(주),78140,  의료용 물질 및 의약품 제조업,83.77,41.73,84.29,41.84,78.98,43.25,79.86,44.93,78.34,48.21,76.64,52.51,77.29,52.32,81.2,54.69,82.98,57.6,-0.62,6.3,-1.11,1.9,2.17,-0.85,-5.06,-2.19
68,68,대원제약(주),3220,  의료용 물질 및 의약품 제조업,44.11,41.73,47.74,41.84,46.65,43.25,44.93,44.93,45.86,48.21,42.8,52.51,42.65,52.32,42.16,54.69,43.25,57.6,-8.23,2.28,3.69,-2.07,6.67,0.35,1.15,-2.59
69,69,대한뉴팜(주),54670,  의료용 물질 및 의약품 제조업,47.81,41.73,48.61,41.84,42.97,43.25,43.24,44.93,43.71,48.21,44.29,52.51,46.51,52.32,47.16,54.69,46.05,57.6,-1.67,11.6,-0.63,-1.09,-1.33,-5.01,-1.4,2.35
70,70,대한약품공업(주),23910,  의료용 물질 및 의약품 제조업,72.17,41.73,70.97,41.84,71.41,43.25,69.24,44.93,67.96,48.21,68.72,52.51,62.07,52.32,62.04,54.69,64.75,57.6,1.66,-0.62,3.04,1.85,-1.12,9.68,0.05,-4.37
71,71,대화제약(주),67080,  의료용 물질 및 의약품 제조업,51.72,41.73,53.01,41.84,52.57,43.25,50.89,44.93,50.87,48.21,53.02,52.51,50.89,52.32,53.87,54.69,50.43,57.6,-2.49,0.83,3.2,0.04,-4.23,4.02,-5.86,6.39
72,72,동국제약(주),86450,  의료용 물질 및 의약품 제조업,43.08,41.73,41.03,41.84,42.01,43.25,43.2,44.93,42.53,48.21,40.36,52.51,38.38,52.32,38.41,54.69,37.04,57.6,4.76,-2.39,-2.83,1.55,5.1,4.91,-0.08,3.57
73,73,동성제약(주),2210,  의료용 물질 및 의약품 제조업,42.1,41.73,49.72,41.84,48.17,43.25,51.8,44.93,51.14,48.21,53.47,52.51,56.18,52.32,61.71,54.69,61.78,57.6,-18.1,3.12,-7.54,1.27,-4.56,-5.07,-9.84,-0.11
74,74,동아쏘시오홀딩스(주),640,  의료용 물질 및 의약품 제조업,44.45,41.73,47.89,41.84,60.0,43.25,33.14,44.93,39.93,48.21,0.0,52.51,0.0,52.32,0.0,54.69,0.0,57.6,-7.74,-25.29,44.77,-20.49,100.0,,,
75,75,동아에스티(주),170900,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,47.16,43.25,46.47,44.93,48.21,48.21,50.65,52.51,49.58,52.32,48.32,54.69,49.05,57.6,,-inf,1.46,-3.74,-5.06,2.11,2.54,-1.51
76,76,동화약품(주),20,  의료용 물질 및 의약품 제조업,53.99,41.73,55.78,41.84,56.56,43.25,55.4,44.93,56.73,48.21,56.55,52.51,58.25,52.32,62.2,54.69,60.32,57.6,-3.32,-1.4,2.05,-2.4,0.32,-3.01,-6.78,3.02
77,77,메디포스트(주),78160,  의료용 물질 및 의약품 제조업,30.35,41.73,38.69,41.84,38.7,43.25,41.98,44.93,39.57,48.21,45.21,52.51,40.36,52.32,36.09,54.69,36.64,57.6,-27.48,-0.03,-8.48,5.74,-14.25,10.73,10.58,-1.52
78,78,명문제약(주),17180,  의료용 물질 및 의약품 제조업,45.23,41.73,54.72,41.84,51.27,43.25,48.16,44.93,50.36,48.21,47.82,52.51,44.72,52.32,49.41,54.69,53.72,57.6,-20.98,6.3,6.07,-4.57,5.04,6.48,-10.49,-8.72
79,79,부광약품(주),3000,  의료용 물질 및 의약품 제조업,41.4,41.73,46.05,41.84,45.9,43.25,42.67,44.93,41.6,48.21,44.81,52.51,47.38,52.32,42.08,54.69,50.53,57.6,-11.23,0.33,7.04,2.51,-7.72,-5.74,11.19,-20.08
80,80,브릿지바이오테라퓨틱스(주),288330,  의료용 물질 및 의약품 제조업,0.0,41.73,0.0,41.84,0.0,43.25,0.0,44.93,0.0,48.21,0.0,52.51,0.0,52.32,0.0,54.69,61.76,57.6,,,,,,,,-inf
