회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이보배,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,13-Dec,5.95,5.3,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,14-Dec,25.43,26.68,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,15-Dec,85,84.87,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,16-Dec,209.47,210.93,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,17-Dec,155.23,162.17,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,18-Dec,30.8,22.72,,,,,,,,,,,,,,,,,,,,,
(주)SH에너지화학,2360,19-Dec,-18.2,-24.12,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,Dec-00,1.75,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,01-Dec,0.1,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,02-Dec,1.54,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,03-Dec,3.76,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,04-Dec,4.95,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,05-Dec,7.32,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,06-Dec,6.93,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,07-Dec,12.98,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,08-Dec,7.56,,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,09-Dec,10.35,10.3,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,10-Dec,14.87,13.74,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,11-Dec,22.12,20.93,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,12-Dec,15.59,15.51,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,13-Dec,16.68,16.58,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,14-Dec,9.26,8.48,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,15-Dec,23.49,14.66,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,16-Dec,20.91,16.75,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,17-Dec,15.27,10.1,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,18-Dec,3.25,4.07,,,,,,,,,,,,,,,,,,,,,
(주)SIMPAC,9160,19-Dec,2.86,3.47,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,08-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,09-Dec,22.76,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,10-Dec,41.47,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,11-Dec,-9.37,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,12-Dec,77.44,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,13-Dec,50.81,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,14-Dec,41.09,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,15-Dec,359.1,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,16-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,17-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,18-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)SNT에너지,100840,19-Dec,2833.92,1771.27,,,,,,,,,,,,,,,,,,,,,
