,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율
297,(주)국보,1140,14-Dec,-1.1,-1.31,-1.31
298,(주)국보,1140,15-Dec,-1.41,-1.55,-1.55
299,(주)국보,1140,16-Dec,-0.35,0.14,0.14
300,(주)국보,1140,17-Dec,-2.36,-2.66,-2.66
301,(주)국보,1140,18-Dec,-3.67,-4.03,-4.03
302,(주)국보,1140,19-Dec,-0.74,-0.35,-0.35
303,(주)국보디자인,66620,11-Dec,235.83,238.18,238.18
304,(주)국보디자인,66620,12-Dec,2055.61,2003.29,2003.29
305,(주)국보디자인,66620,13-Dec,1366.16,1539.88,1539.88
306,(주)국보디자인,66620,14-Dec,1414.92,1917.05,1917.05
307,(주)국보디자인,66620,15-Dec,998.53,1867.07,1867.07
308,(주)국보디자인,66620,16-Dec,9744.77,6455.77,6455.77
309,(주)국보디자인,66620,17-Dec,3662.13,3543.84,3543.84
310,(주)국보디자인,66620,18-Dec,77777777.77,382.19,382.19
311,(주)국보디자인,66620,19-Dec,675.37,592.26,592.26
312,(주)국순당,43650,11-Dec,77777777.77,167.22,167.22
313,(주)국순당,43650,12-Dec,77777777.77,172.69,172.69
314,(주)국순당,43650,13-Dec,77777777.77,9.21,9.21
315,(주)국순당,43650,14-Dec,77777777.77,9.17,9.17
316,(주)국순당,43650,15-Dec,77777777.77,-334.84,-334.84
317,(주)국순당,43650,16-Dec,77777777.77,-327.25,-327.25
318,(주)국순당,43650,17-Dec,77777777.77,-12.28,-12.28
319,(주)국순당,43650,18-Dec,77777777.77,-7.85,-7.85
320,(주)국순당,43650,19-Dec,77777777.77,-4.32,-4.32
321,(주)국영지앤엠,6050,11-Dec,-170.81,77777777.77,-170.81
322,(주)국영지앤엠,6050,12-Dec,-4.57,77777777.77,-4.57
323,(주)국영지앤엠,6050,13-Dec,2.35,77777777.77,2.35
324,(주)국영지앤엠,6050,14-Dec,5.13,77777777.77,5.13
325,(주)국영지앤엠,6050,15-Dec,-15.79,77777777.77,-15.79
326,(주)국영지앤엠,6050,16-Dec,3.4,77777777.77,3.4
327,(주)국영지앤엠,6050,17-Dec,17.57,77777777.77,17.57
328,(주)국영지앤엠,6050,18-Dec,-18.31,77777777.77,-18.31
329,(주)국영지앤엠,6050,19-Dec,15.75,77777777.77,15.75
330,(주)국전약품,307750,18-Dec,77777777.77,77777777.77,11111111.11
331,(주)국전약품,307750,19-Dec,77777777.77,77777777.77,11111111.11
332,(주)그래디언트,35080,11-Dec,-37.08,-48.06,-48.06
333,(주)그래디언트,35080,12-Dec,-0.12,1.38,1.38
334,(주)그래디언트,35080,13-Dec,0.17,7.5,7.5
335,(주)그래디언트,35080,14-Dec,0.35,14.81,14.81
336,(주)그래디언트,35080,15-Dec,34.27,26.27,26.27
337,(주)그래디언트,35080,16-Dec,22.55,13.02,13.02
338,(주)그래디언트,35080,17-Dec,26.15,13.33,13.33
339,(주)그래디언트,35080,18-Dec,27.44,8.44,8.44
340,(주)그래디언트,35080,19-Dec,11.08,10.13,10.13
341,(주)그리티,204020,18-Dec,251.9,29.27,29.27
342,(주)그리티,204020,19-Dec,14.33,4.95,4.95
343,(주)그린플러스,186230,19-Dec,4.73,3.03,3.03
344,(주)글로벌스탠다드테크놀로지,83450,11-Dec,17.06,21.14,21.14
345,(주)글로벌스탠다드테크놀로지,83450,12-Dec,20.88,25.45,25.45
346,(주)글로벌스탠다드테크놀로지,83450,13-Dec,53.29,46.16,46.16
347,(주)글로벌스탠다드테크놀로지,83450,14-Dec,71.23,60.23,60.23
348,(주)글로벌스탠다드테크놀로지,83450,15-Dec,54.7,60.28,60.28
349,(주)글로벌스탠다드테크놀로지,83450,16-Dec,68.63,63.24,63.24
350,(주)글로벌스탠다드테크놀로지,83450,17-Dec,358.76,212.37,212.37
351,(주)글로벌스탠다드테크놀로지,83450,18-Dec,248.66,118.58,118.58
352,(주)글로벌스탠다드테크놀로지,83450,19-Dec,526.27,122.37,122.37
353,(주)금비,8870,11-Sep,1.18,3.74,3.74
354,(주)금비,8870,12-Sep,0.28,2.7,2.7
355,(주)금비,8870,13-Sep,0.37,3.03,3.03
356,(주)금비,8870,14-Sep,-0.96,2.84,2.84
357,(주)금비,8870,15-Sep,5.04,8.69,8.69
358,(주)금비,8870,16-Sep,5.75,13.77,13.77
359,(주)금비,8870,17-Sep,0.83,9.07,9.07
360,(주)금비,8870,18-Sep,2.76,10.0,10.0
361,(주)금비,8870,19-Sep,1.38,9.6,9.6
362,(주)금양,1570,11-Dec,1.82,2.0,2.0
363,(주)금양,1570,12-Dec,1.71,1.68,1.68
364,(주)금양,1570,13-Dec,1.54,1.61,1.61
365,(주)금양,1570,14-Dec,2.42,1.52,1.52
