,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명
1359,(주)디딤,217620,2018/12,2243795.0,-8625884.0,2563396.0,2243939.0,-14572229.0,8805833.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1360,(주)디딤,217620,2019/12,10455676.0,-13984689.0,4456931.0,10525576.0,-20611370.0,10924099.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1361,(주)디모아,16670,2011/12,5032358.0,-5862941.0,-10081697.0,,,,1.0,0.0,0.0,8.0,8.0,8.0,3.0
1362,(주)디모아,16670,2012/12,-608105.0,-6634990.0,4417879.0,-6562340.0,2589186.0,1316145.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
1363,(주)디모아,16670,2013/12,5354699.0,-6151045.0,99999.0,9352526.0,-5750376.0,-3387201.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0
1364,(주)디모아,16670,2014/12,4089525.0,-3039496.0,4185466.0,4082112.0,-2813878.0,3273826.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
1365,(주)디모아,16670,2015/12,13506575.0,7035977.0,1976365.0,17063966.0,14499843.0,908177.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1366,(주)디모아,16670,2016/12,-2199941.0,-13025898.0,9957526.0,-8154021.0,-13674481.0,9957526.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1367,(주)디모아,16670,2017/12,787809.0,-4607122.0,0.0,3601956.0,-5956063.0,0.0,1.0,0.0,9.0,1.0,0.0,9.0,0.0
1368,(주)디모아,16670,2018/12,-168883.0,-3101013.0,0.0,-866470.0,-3607534.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0
1369,(주)디모아,16670,2019/12,-836325.0,-3931520.0,-160318.0,8576321.0,-5671493.0,-367757.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
