회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
(주)가비아,079940,2013/12,40507693,24558241,70675565,38882747,출판업
(주)가비아,079940,2014/12,43906243,26874841,80432047,45275795,출판업
(주)가비아,079940,2015/12,48446932,28806524,91648622,50078893,출판업
(주)가비아,079940,2016/12,49430564,28802628,102178978,54998617,출판업
(주)가비아,079940,2017/12,52365659,30561799,116217941,60313364,출판업
(주)가비아,079940,2018/12,55197652,31654603,128728438,65751367,출판업
(주)가비아,079940,2019/12,58254105,34532096,148306878,75650385,출판업
(주)강스템바이오텍,217730,2015/12,1484593,252810,,,의료용 물질 및 의약품 제조업
(주)강스템바이오텍,217730,2016/12,842805,57688,,,의료용 물질 및 의약품 제조업
(주)강스템바이오텍,217730,2017/12,5394323,2402560,9132939,5874047,의료용 물질 및 의약품 제조업
(주)강스템바이오텍,217730,2018/12,1001039,276617,9165454,7988195,의료용 물질 및 의약품 제조업
(주)강스템바이오텍,217730,2019/12,282069,141439,6004584,6428945,의료용 물질 및 의약품 제조업
(주)강원랜드,035250,2011/12,1263651213,530019096,1265686425,538388479,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2012/12,1292896121,639097544,1296191223,647845564,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2013/12,1356906162,718286815,1361286598,726091776,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2014/12,1492291312,713323703,1496541441,722297880,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2015/12,1630976696,754752007,1633716839,759645970,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2016/12,1694575212,782103726,1696532511,785177091,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2017/12,1602901764,785131415,1604470055,787533848,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2018/12,1436042435,727185671,1438059299,729593460,스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2019/12,1517612252,734363002,1520080449,736659054,스포츠 및 오락관련 서비스업
(주)강원에너지,114190,2011/11,50222892,37631683,,,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2012/12,106471214,85441450,,,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2013/12,50660659,38917147,,,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2014/12,51481321,40566049,,,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2015/12,48852892,40524653,46188664,38265188,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2016/12,44448760,37206789,42287473,35270278,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2017/12,83113029,82247917,82034829,81169717,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2018/12,85905365,80012233,85905365,80012233,금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2019/12,42549622,48688856,42549622,48688856,금속가공제품 제조업; 기계 및 가구 제외
(주)갤럭시아에스엠,011420,2011/12,31931418,26327117,47331427,38695073,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2012/12,37398255,33745924,55049732,47555420,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2013/12,30903637,28202016,46437304,41764586,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2014/12,33027933,31283923,43885894,40216941,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2015/12,53784932,48457121,62472754,56009656,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2016/12,45665676,45279432,52626331,51678856,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2017/12,36917656,37068260,37281280,37435336,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2018/12,22030258,24112403,22060413,27428110,스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2019/12,28732679,26937800,28732679,26937800,스포츠 및 오락관련 서비스업
(주)경농,002100,2011/12,120728258,79073941,121253605,79220101,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2012/12,131021366,83085935,136970449,87614008,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2013/12,139237273,85548073,196358952,129161139,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2014/12,134806677,81145006,188483147,122779838,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2015/12,137609256,84402122,196418710,127105636,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2016/12,143209666,90377050,203984939,135371879,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2017/12,143175105,90974073,206534382,138859895,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2018/12,146216658,91408676,212654617,139911460,화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2019/12,151342037,94631333,227510941,153098094,화학물질 및 화학제품 제조업; 의약품 제외
(주)경동나비엔,009450,2011/12,318269213,246619329,341246917,251540613,전기장비 제조업
(주)경동나비엔,009450,2012/12,341339118,268142768,379014259,282583068,전기장비 제조업
(주)경동나비엔,009450,2013/12,371601179,284158227,414177562,296168554,전기장비 제조업
(주)경동나비엔,009450,2014/12,382392117,293438355,428985365,313840608,전기장비 제조업
(주)경동나비엔,009450,2015/12,448302084,334829527,512031120,352051189,전기장비 제조업
(주)경동나비엔,009450,2016/12,506082201,369054723,583252904,382333051,전기장비 제조업
(주)경동나비엔,009450,2017/12,569819524,423216560,684660958,446078996,전기장비 제조업
(주)경동나비엔,009450,2018/12,618058456,466381901,726741615,487844378,전기장비 제조업
(주)경동나비엔,009450,2019/12,655419303,479160026,774290704,509635845,전기장비 제조업
(주)경동도시가스,267290,2017/12,870828897,793617236,871548284,793238142,"전기, 가스, 증기 및 공기조절 공급업"
(주)경동도시가스,267290,2018/12,1605687067,1480519376,1606531867,1480519376,"전기, 가스, 증기 및 공기조절 공급업"
(주)경동도시가스,267290,2019/12,1421866212,1310791588,1422707835,1310188918,"전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2011/12,1806174764,1697470671,1847666903,1739469751,금융업
(주)경동인베스트,012320,2012/12,2403814656,2292736954,2502642394,2381579037,금융업
(주)경동인베스트,012320,2013/12,2664100017,2552976223,2788264380,2659198011,금융업
(주)경동인베스트,012320,2014/12,2399450987,2293899450,2603059058,2470957525,금융업
(주)경동인베스트,012320,2015/12,1352478311,1263722829,1604168482,1520436435,금융업
(주)경동인베스트,012320,2016/12,1021002691,924418543,1181902637,1064804018,금융업
(주)경동인베스트,012320,2017/12,612436,0,195069859,140724518,금융업
(주)경동인베스트,012320,2018/12,7460898,3635575,228644016,171130400,금융업
(주)경동인베스트,012320,2019/12,8641051,3929209,271765025,223338232,금융업
(주)경방,000050,2011/12,275746943,246411496,348136369,258814443,소매업; 자동차 제외
(주)경방,000050,2012/12,265409209,250600103,333620804,260837041,소매업; 자동차 제외
(주)경방,000050,2013/12,264782077,223418883,347189559,251468225,소매업; 자동차 제외
(주)경방,000050,2014/12,256979444,209067504,329036023,238357806,소매업; 자동차 제외
(주)경방,000050,2015/12,307744480,209467360,357628146,255868653,소매업; 자동차 제외
(주)경방,000050,2016/12,313876822,210095763,377445013,268352680,소매업; 자동차 제외
(주)경방,000050,2017/12,288103985,188372022,360788750,253442168,소매업; 자동차 제외
(주)경방,000050,2018/12,279085217,177815403,351438926,244043108,소매업; 자동차 제외
(주)경방,000050,2019/12,253552382,151563044,343892085,244396020,소매업; 자동차 제외
