회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS)
(주)국동,5320,14-Dec,4692501,14336568
(주)국동,5320,15-Dec,5321778,22395455
(주)국동,5320,16-Dec,4379974,40069999
(주)국동,5320,17-Dec,-6593433,38638770
(주)국동,5320,18-Dec,1351547,41762492
(주)국동,5320,19-Dec,-6989987,54349558
(주)국보,1140,11-Dec,-176708,33874415
(주)국보,1140,12-Dec,-1916073,31655538
(주)국보,1140,13-Dec,-3766842,27678685
(주)국보,1140,14-Dec,-6633427,20984752
(주)국보,1140,15-Dec,-3679630,17113465
(주)국보,1140,16-Dec,-5034348,13200649
(주)국보,1140,17-Dec,-2761653,16039171
(주)국보,1140,18-Dec,-4038217,11578143
(주)국보,1140,19-Dec,-9851123,12278837
(주)국보디자인,66620,11-Dec,6607794,48472432
(주)국보디자인,66620,12-Dec,8631842,58283419
(주)국보디자인,66620,13-Dec,9417821,64945696
(주)국보디자인,66620,14-Dec,7901285,70452085
(주)국보디자인,66620,15-Dec,6947669,75467148
(주)국보디자인,66620,16-Dec,11905078,80282408
(주)국보디자인,66620,17-Dec,14149734,94380512
(주)국보디자인,66620,18-Dec,14098992,103598968
(주)국보디자인,66620,19-Dec,9509021,112076012
(주)국순당,43650,11-Dec,5640710,174045265
(주)국순당,43650,12-Dec,5122888,186305726
(주)국순당,43650,13-Dec,2346882,185985822
(주)국순당,43650,14-Dec,1997559,186838479
(주)국순당,43650,15-Dec,-4854598,186118215
(주)국순당,43650,16-Dec,-2212642,183188543
(주)국순당,43650,17-Dec,9847390,191745752
(주)국순당,43650,18-Dec,15171022,203499644
(주)국순당,43650,19-Dec,571892,196923842
(주)국영지앤엠,6050,11-Dec,-1752706,32733005
(주)국영지앤엠,6050,12-Dec,4832440,45960267
(주)국영지앤엠,6050,13-Dec,953338,46345349
(주)국영지앤엠,6050,14-Dec,395531,47240880
(주)국영지앤엠,6050,15-Dec,-533927,48972537
(주)국영지앤엠,6050,16-Dec,385503,50558041
(주)국영지앤엠,6050,17-Dec,1431624,52611544
(주)국영지앤엠,6050,18-Dec,-354808,51748308
(주)국영지앤엠,6050,19-Dec,1089819,52826451
(주)국전약품,307750,18-Dec,,
(주)국전약품,307750,19-Dec,,
(주)그래디언트,35080,11-Dec,-4906079,334573662
(주)그래디언트,35080,12-Dec,15794035,411656935
(주)그래디언트,35080,13-Dec,-9664900,402332194
(주)그래디언트,35080,14-Dec,625806,420045194
(주)그래디언트,35080,15-Dec,13112622,431479123
(주)그래디언트,35080,16-Dec,-40598919,389295611
(주)그래디언트,35080,17-Dec,-54754214,328719925
(주)그래디언트,35080,18-Dec,4404863,325218418
(주)그래디언트,35080,19-Dec,4125060,320088192
(주)그리티,204020,18-Dec,6019400,74051025
(주)그리티,204020,19-Dec,2627015,74833748
(주)그린플러스,186230,19-Dec,2435883,36772875
(주)글로벌스탠다드테크놀로지,83450,11-Dec,2301945,26355250
(주)글로벌스탠다드테크놀로지,83450,12-Dec,5403733,33379017
(주)글로벌스탠다드테크놀로지,83450,13-Dec,5075966,39169886
(주)글로벌스탠다드테크놀로지,83450,14-Dec,6151625,45624394
(주)글로벌스탠다드테크놀로지,83450,15-Dec,3910170,49667680
(주)글로벌스탠다드테크놀로지,83450,16-Dec,3758214,53103831
(주)글로벌스탠다드테크놀로지,83450,17-Dec,13135277,67278478
(주)글로벌스탠다드테크놀로지,83450,18-Dec,7747618,72640818
(주)글로벌스탠다드테크놀로지,83450,19-Dec,17027156,90403163
(주)금비,8870,11-Sep,828877,76631712
(주)금비,8870,12-Sep,134171,76286738
(주)금비,8870,13-Sep,302774,75961191
(주)금비,8870,14-Sep,-1062704,73951486
(주)금비,8870,15-Sep,2817261,75497346
(주)금비,8870,16-Sep,6032090,80284267
(주)금비,8870,17-Sep,1457776,80937315
(주)금비,8870,18-Sep,4159383,83535809
(주)금비,8870,19-Sep,2736847,84602682
(주)금양,1570,11-Dec,2436780,43024251
(주)금양,1570,12-Dec,3159937,45261596
(주)금양,1570,13-Dec,1518013,45422689
(주)금양,1570,14-Dec,2861900,46481587
(주)금양,1570,15-Dec,2338700,46703110
(주)금양,1570,16-Dec,-23749351,22239137
(주)금양,1570,17-Dec,366688,31251974
(주)금양,1570,18-Dec,16116052,49187838
(주)금양,1570,19-Dec,-12752836,35004819
