회사명,거래소코드,회계년도,자본(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원),건설중인자산(IFRS연결)(천원),종업원수(IFRS연결),부가가치(IFRS연결)(백만원),기계장치(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),유형자산회전율(연결),순운전자본회전률(연결),운전자본회전률(연결),노동장비율(연결),기계장비율(연결),자본집약도(연결),총자본투자효율(연결),설비투자효율(연결),기계투자효율(연결),부가가치율(연결)
(주)MH에탄올,23150,17-Dec,106837344,500180086,84767703,189894170,389268406,333000,,14202.61,13336059,51977132,0.103916836,-0.494424796,-0.988849592,,,,13.29367566,3.651662919,106.4978042,27.32472811
(주)MH에탄올,23150,18-Dec,91585473,440177523,29576016,141080352,390589052,650107,,16853.56,13588329,72795863,0.165378419,-0.652852307,-1.305704614,,,,18.40200137,4.322102272,124.0296728,23.15181015
(주)MH에탄올,23150,19-Dec,79389077,451474451,32814839,282350933,402623574,1085121,,22570.7,14155129,80879342,0.179144893,-0.324118811,-0.648237621,,,,28.43048547,5.621055675,159.4524501,27.90663158
(주)SH에너지화학,2360,11-Dec,65242326,104710740,50355479,34076575,33220422,1175202,,14210,25479087,173209351,1.654169868,10.64011134,21.28022267,,,,21.78033935,44.34358697,55.77122917,8.203945063
(주)SH에너지화학,2360,12-Dec,64881202,103690070,50509179,29499813,32784916,711970,,14518.25,27068753,193950102,1.870479034,9.231601848,18.4632037,,,,22.3766662,45.26634379,53.63472045,7.485559353
(주)SH에너지화학,2360,13-Dec,69599141,110488951,59051785,35131167,32065097,828543,,20836.07,27909031,231912218,2.098962981,9.695076356,19.39015271,,,,29.93725167,66.70412492,74.6570886,8.984464113
(주)SH에너지화학,2360,14-Dec,84237197,110741407,60325646,20681148,31132703,715481,,37108.64,28351425,230912587,2.085151284,5.824580929,11.64916186,,,,44.05255792,121.9987808,130.8880947,16.07042755
(주)SH에너지화학,2360,15-Dec,91646221,115520726,68213722,17080931,32660706,373549,,36388.74,30587094,216441364,1.873614991,4.232926851,8.465853702,,,,39.70566337,112.7034505,118.9676273,16.81228547
(주)SH에너지화학,2360,16-Dec,104088887,124488724,84222915,12512423,31796198,466709,,40893.43,30867878,218397677,1.754357101,3.045547045,6.09109409,,,,39.28702783,130.5269614,132.4789155,18.72429715
(주)SH에너지화학,2360,17-Dec,107693472,125312154,87597479,8284440,31096409,392095,,29127.7,31647086,188114822,1.501169807,2.371801968,4.743603936,,,,27.04685758,94.86517106,92.03912171,15.48400051
