회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS연결)
(주)경방,50,13-Dec,14574395,636438555
(주)경방,50,14-Dec,11488471,647668814
(주)경방,50,15-Dec,16692163,662952918
(주)경방,50,16-Dec,29474988,679843399
(주)경방,50,17-Dec,25315361,699134073
(주)경방,50,18-Dec,20189241,708769347
(주)경방,50,19-Dec,43621631,741553199
(주)경보제약,214390,15-Dec,,
(주)경보제약,214390,16-Dec,,
(주)경보제약,214390,17-Dec,,
(주)경보제약,214390,18-Dec,,
(주)경보제약,214390,19-Dec,,
(주)경인양행,12610,11-Dec,2886360,176292506
(주)경인양행,12610,12-Dec,2093491,174988685
(주)경인양행,12610,13-Dec,10215710,189744314
(주)경인양행,12610,14-Dec,10148247,198238667
(주)경인양행,12610,15-Dec,3670895,201125304
(주)경인양행,12610,16-Dec,6837522,208293196
(주)경인양행,12610,17-Dec,4779249,210934933
(주)경인양행,12610,18-Dec,13801882,223759383
(주)경인양행,12610,19-Dec,16372880,237433141
(주)고려시멘트,198440,14-Dec,,
(주)고려시멘트,198440,15-Dec,,
(주)고려시멘트,198440,16-Dec,,
(주)고려시멘트,198440,17-Dec,,
(주)고려시멘트,198440,18-Dec,,
(주)고려시멘트,198440,19-Dec,,
(주)고영테크놀러지,98460,11-Dec,15634438,69622726
(주)고영테크놀러지,98460,12-Dec,15221925,83401095
(주)고영테크놀러지,98460,13-Dec,13933294,98319609
(주)고영테크놀러지,98460,14-Dec,22111066,115835240
(주)고영테크놀러지,98460,15-Dec,23530903,131475647
(주)고영테크놀러지,98460,16-Dec,29723733,157267580
(주)고영테크놀러지,98460,17-Dec,26734105,161317171
(주)고영테크놀러지,98460,18-Dec,42309672,225866639
(주)고영테크놀러지,98460,19-Dec,29559680,243668528
(주)골드앤에스,35290,11-Dec,1002287,22436829
(주)골드앤에스,35290,12-Dec,-6467495,25517817
(주)골드앤에스,35290,13-Dec,-16837473,13127355
(주)골드앤에스,35290,14-Dec,-9319175,12082621
(주)골드앤에스,35290,15-Dec,-9502547,15160254
(주)골드앤에스,35290,16-Dec,390367,14268527
(주)골드앤에스,35290,17-Dec,-7975875,13346076
(주)골드앤에스,35290,18-Dec,-4380399,13779569
(주)골드앤에스,35290,19-Dec,-24883278,-5091573
(주)골드퍼시픽,38530,11-Dec,,
(주)골드퍼시픽,38530,12-Dec,,
(주)골드퍼시픽,38530,13-Dec,-9381353,16190999
(주)골드퍼시픽,38530,14-Dec,-7390326,16567915
(주)골드퍼시픽,38530,15-Dec,-10215946,21193149
(주)골드퍼시픽,38530,16-Dec,,
(주)골드퍼시픽,38530,17-Dec,,
(주)골드퍼시픽,38530,18-Dec,-4471963,20086698
(주)골드퍼시픽,38530,19-Dec,,
(주)골프존,215000,15-Dec,36533155,108853909
(주)골프존,215000,16-Dec,36536248,120648626
(주)골프존,215000,17-Dec,79392004,189381881
(주)골프존,215000,18-Dec,20419449,194919561
(주)골프존,215000,19-Dec,16213888,200042879
(주)골프존뉴딘홀딩스,121440,11-Dec,46487063,348968757
(주)골프존뉴딘홀딩스,121440,12-Dec,73354594,411636973
(주)골프존뉴딘홀딩스,121440,13-Dec,2803470,424543916
(주)골프존뉴딘홀딩스,121440,14-Dec,79234486,486385956
(주)골프존뉴딘홀딩스,121440,15-Dec,871101274,551360423
(주)골프존뉴딘홀딩스,121440,16-Dec,2876449,528087415
(주)골프존뉴딘홀딩스,121440,17-Dec,-21585123,500912642
(주)골프존뉴딘홀딩스,121440,18-Dec,-7527390,485969871
(주)골프존뉴딘홀딩스,121440,19-Dec,-34848135,447197508
(주)광림,14200,11-Dec,,
(주)광림,14200,12-Dec,,
(주)광림,14200,13-Dec,,
(주)광림,14200,14-Dec,-237860,128970849
(주)광림,14200,15-Dec,,
(주)광림,14200,16-Dec,-1896521,113505965
(주)광림,14200,17-Dec,-23602051,107690687
(주)광림,14200,18-Dec,-28445678,90075229
(주)광림,14200,19-Dec,-14006972,90772137
(주)광명전기,17040,11-Dec,-1825104,62936103
(주)광명전기,17040,12-Dec,407617,62992204
(주)광명전기,17040,13-Dec,6473480,69847678
(주)광명전기,17040,14-Dec,9107331,78696030
(주)광명전기,17040,15-Dec,8891002,87829336
(주)광명전기,17040,16-Dec,11593891,98063360
(주)광명전기,17040,17-Dec,-2043260,96648221
(주)광명전기,17040,18-Dec,2718092,98748349
(주)광명전기,17040,19-Dec,7118200,105398860
(주)광무,29480,11-Dec,-50127229,37831616
(주)광무,29480,12-Dec,-10689029,29507217
(주)광무,29480,13-Dec,-28721377,8786699
(주)광무,29480,14-Dec,,
(주)광무,29480,15-Dec,,
(주)광무,29480,16-Dec,,
(주)광무,29480,17-Dec,,
(주)광무,29480,18-Dec,-5120760,10729216
(주)광무,29480,19-Dec,-6421201,22844122
(주)광주신세계,37710,11-Dec,,
(주)광주신세계,37710,12-Dec,,
(주)광주신세계,37710,13-Dec,,
(주)광주신세계,37710,14-Dec,,
(주)광주신세계,37710,15-Dec,,
(주)광주신세계,37710,16-Dec,,
(주)광주신세계,37710,17-Dec,,
(주)광주신세계,37710,18-Dec,,
(주)광주신세계,37710,19-Dec,,
(주)구영테크,53270,11-Dec,-647883,36633264
(주)구영테크,53270,12-Dec,1633009,36686891
(주)구영테크,53270,13-Dec,2179847,39023837
(주)구영테크,53270,14-Dec,2236588,52212920
(주)구영테크,53270,15-Dec,4158785,56401223
(주)구영테크,53270,16-Dec,2542450,57780291
(주)구영테크,53270,17-Dec,1357296,55811041
(주)구영테크,53270,18-Dec,5920905,68827896
(주)구영테크,53270,19-Dec,3387486,71704257
(주)국동,5320,11-Dec,-7212195,5829570
(주)국동,5320,12-Dec,5142066,9422729
(주)국동,5320,13-Dec,4009323,15412210
(주)국동,5320,14-Dec,8898694,28639367
(주)국동,5320,15-Dec,5235608,31226110
(주)국동,5320,16-Dec,6208749,51725723
(주)국동,5320,17-Dec,-8967738,42630725
(주)국동,5320,18-Dec,2111761,48475045
(주)국동,5320,19-Dec,-4523376,65481226
(주)국보,1140,11-Dec,-37903,34466553
(주)국보,1140,12-Dec,-874559,33793391
(주)국보,1140,13-Dec,-3846673,29768264
(주)국보,1140,14-Dec,-6999514,22620239
(주)국보,1140,15-Dec,-4043773,18409444
(주)국보,1140,16-Dec,-4187272,15275562
(주)국보,1140,17-Dec,-2889794,17848563
(주)국보,1140,18-Dec,-3999572,13412206
(주)국보,1140,19-Dec,-6676274,28604010
(주)국보디자인,66620,11-Dec,6055732,48143562
(주)국보디자인,66620,12-Dec,8281324,57564527
(주)국보디자인,66620,13-Dec,10935895,65598063
(주)국보디자인,66620,14-Dec,10942079,74350888
(주)국보디자인,66620,15-Dec,10768050,83307386
(주)국보디자인,66620,16-Dec,10738135,86928845
(주)국보디자인,66620,17-Dec,13340935,99283826
(주)국보디자인,66620,18-Dec,13872876,108600438
(주)국보디자인,66620,19-Dec,15942956,123363884
(주)국순당,43650,11-Dec,5264054,178114387
(주)국순당,43650,12-Dec,6185532,191625826
(주)국순당,43650,13-Dec,5742772,194567775
(주)국순당,43650,14-Dec,3463226,196810690
(주)국순당,43650,15-Dec,-3529405,198167277
(주)국순당,43650,16-Dec,-2760688,194018641
(주)국순당,43650,17-Dec,9687855,221539252
(주)국순당,43650,18-Dec,-2977369,215679919
(주)국순당,43650,19-Dec,-8269903,204958649
(주)국영지앤엠,6050,11-Dec,,
(주)국영지앤엠,6050,12-Dec,,
(주)국영지앤엠,6050,13-Dec,,
(주)국영지앤엠,6050,14-Dec,,
(주)국영지앤엠,6050,15-Dec,,
(주)국영지앤엠,6050,16-Dec,,
(주)국영지앤엠,6050,17-Dec,,
(주)국영지앤엠,6050,18-Dec,,
(주)국영지앤엠,6050,19-Dec,,
(주)국전약품,307750,18-Dec,,
(주)국전약품,307750,19-Dec,,
(주)그래디언트,35080,11-Dec,-12292479,328872047
(주)그래디언트,35080,12-Dec,12756395,396658401
(주)그래디언트,35080,13-Dec,23780984,751939530
(주)그래디언트,35080,14-Dec,31456346,900343355
(주)그래디언트,35080,15-Dec,42995247,903808796
(주)그래디언트,35080,16-Dec,-39011241,840330799
(주)그래디언트,35080,17-Dec,-63634928,742316982
(주)그래디언트,35080,18-Dec,-4194664,714481098
(주)그래디언트,35080,19-Dec,6507368,669586510
(주)그리티,204020,18-Dec,4810592,74460588
(주)그리티,204020,19-Dec,1563323,74181103
(주)그린플러스,186230,19-Dec,2533086,37391337
(주)글로벌스탠다드테크놀로지,83450,11-Dec,3521902,27594673
(주)글로벌스탠다드테크놀로지,83450,12-Dec,7003711,36008304
(주)글로벌스탠다드테크놀로지,83450,13-Dec,5925826,42629997
(주)글로벌스탠다드테크놀로지,83450,14-Dec,7880919,50846053
(주)글로벌스탠다드테크놀로지,83450,15-Dec,5703892,56675666
(주)글로벌스탠다드테크놀로지,83450,16-Dec,4644376,60779819
(주)글로벌스탠다드테크놀로지,83450,17-Dec,15756344,78275559
(주)글로벌스탠다드테크놀로지,83450,18-Dec,10303468,85807825
(주)글로벌스탠다드테크놀로지,83450,19-Dec,17968416,103310701
(주)금비,8870,11-Sep,5926611,127461261
(주)금비,8870,12-Sep,2324776,127569592
(주)금비,8870,13-Sep,1899708,127930275
(주)금비,8870,14-Sep,3097739,130427078
(주)금비,8870,15-Sep,7665205,138920965
(주)금비,8870,16-Sep,13187315,146679335
