회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),,,,
(주)경보제약,214390,19-Dec,4.77,,,,,
(주)경인양행,12610,11-Dec,0.99,1.77,,,,
(주)경인양행,12610,12-Dec,1.54,1.26,,,,
(주)경인양행,12610,13-Dec,9.2,5.73,,,,
(주)경인양행,12610,14-Dec,8.03,7.16,,,,
(주)경인양행,12610,15-Dec,0.07,4.19,,,,
(주)경인양행,12610,16-Dec,2.46,6.44,,,,
(주)경인양행,12610,17-Dec,0.11,3.12,,,,
(주)경인양행,12610,18-Dec,4.74,5.68,,,,
(주)경인양행,12610,19-Dec,4.18,4.66,,,,
(주)고려시멘트,198440,14-Dec,,,,,,
(주)고려시멘트,198440,15-Dec,,,,,,
(주)고려시멘트,198440,16-Dec,,,,,,
(주)고려시멘트,198440,17-Dec,16.79,,,,,
(주)고려시멘트,198440,18-Dec,9.2,,,,,
(주)고려시멘트,198440,19-Dec,-1.08,,,,,
(주)고영테크놀러지,98460,11-Dec,X,22785.6,,,,
(주)고영테크놀러지,98460,12-Dec,X,1627.45,,,,
(주)고영테크놀러지,98460,13-Dec,X,443.96,,,,
(주)고영테크놀러지,98460,14-Dec,X,1673.12,,,,
(주)고영테크놀러지,98460,15-Dec,X,2242.05,,,,
(주)고영테크놀러지,98460,16-Dec,X,2001.96,,,,
(주)고영테크놀러지,98460,17-Dec,X,6141.06,,,,
(주)고영테크놀러지,98460,18-Dec,X,5839.89,,,,
(주)고영테크놀러지,98460,19-Dec,186.77,112.96,,,,
(주)골드앤에스,35290,11-Dec,1.25,1.13,,,,
(주)골드앤에스,35290,12-Dec,-1.95,-1.91,,,,
(주)골드앤에스,35290,13-Dec,-4.6,-3.83,,,,
(주)골드앤에스,35290,14-Dec,-1.73,-1.41,,,,
(주)골드앤에스,35290,15-Dec,1.89,1.99,,,,
(주)골드앤에스,35290,16-Dec,2.5,2.42,,,,
(주)골드앤에스,35290,17-Dec,-27.46,-26.15,,,,
(주)골드앤에스,35290,18-Dec,-4.46,-4.56,,,,
(주)골드앤에스,35290,19-Dec,-1.46,-1.46,,,,
(주)골드퍼시픽,38530,11-Dec,14.16,,,,,
(주)골드퍼시픽,38530,12-Dec,2.66,,,,,
(주)골드퍼시픽,38530,13-Dec,-10.81,-11.34,,,,
(주)골드퍼시픽,38530,14-Dec,-6.82,-4.33,,,,
(주)골드퍼시픽,38530,15-Dec,-13.68,-9.59,,,,
(주)골드퍼시픽,38530,16-Dec,-17.43,,,,,
(주)골드퍼시픽,38530,17-Dec,0.62,,,,,
