회사명,거래소코드,회계년도,[제조]자본(*)(IFRS2)
(주)그래디언트,35080,Dec-14,420045194
(주)그래디언트,35080,Dec-15,431479123
(주)그래디언트,35080,Dec-16,389295611
(주)그래디언트,35080,Dec-17,328719925
(주)그래디언트,35080,Dec-18,325218418
(주)그리티,204020,Dec-18,74051025
(주)글로벌스탠다드테크놀로지,83450,Dec-10,23746450
(주)글로벌스탠다드테크놀로지,83450,Dec-11,26355250
(주)글로벌스탠다드테크놀로지,83450,Dec-12,33379017
(주)글로벌스탠다드테크놀로지,83450,Dec-13,39169886
(주)글로벌스탠다드테크놀로지,83450,Dec-14,45624394
(주)글로벌스탠다드테크놀로지,83450,Dec-15,49667680
(주)글로벌스탠다드테크놀로지,83450,Dec-16,53103831
(주)글로벌스탠다드테크놀로지,83450,Dec-17,67278478
(주)글로벌스탠다드테크놀로지,83450,Dec-18,72640818
(주)금비,8870,Sep-10,78566232
(주)금비,8870,Sep-11,76631712
(주)금비,8870,Sep-12,76286738
(주)금비,8870,Sep-13,75961191
(주)금비,8870,Sep-14,73951486
(주)금비,8870,Sep-15,75497346
(주)금비,8870,Sep-16,80284267
(주)금비,8870,Sep-17,80937315
(주)금비,8870,Sep-18,83535809
(주)금양,1570,Dec-10,42072333
(주)금양,1570,Dec-11,43024251
(주)금양,1570,Dec-12,45261596
(주)금양,1570,Dec-13,45422689
(주)금양,1570,Dec-14,46481587
(주)금양,1570,Dec-15,46703110
(주)금양,1570,Dec-16,22239137
(주)금양,1570,Dec-17,31251974
(주)금양,1570,Dec-18,49187838
(주)금호에이치티,214330,Dec-15,82117294
(주)금호에이치티,214330,Dec-16,92714230
(주)금호에이치티,214330,Dec-17,97560824
(주)금호에이치티,214330,Dec-18,131065067
(주)금화피에스시,36190,Dec-10,65090945
(주)금화피에스시,36190,Dec-11,76345247
(주)금화피에스시,36190,Dec-12,92305175
(주)금화피에스시,36190,Dec-13,113200802
(주)금화피에스시,36190,Dec-14,126877795
(주)금화피에스시,36190,Dec-15,142256701
(주)금화피에스시,36190,Dec-16,159990222
(주)금화피에스시,36190,Dec-17,176303850
(주)금화피에스시,36190,Dec-18,211366403
(주)기가레인,49080,Dec-13,62596675
(주)기가레인,49080,Dec-14,77078658
(주)기가레인,49080,Dec-15,65461853
(주)기가레인,49080,Dec-16,57063120
(주)기가레인,49080,Dec-17,89023884
(주)기가레인,49080,Dec-18,66878280
(주)기산텔레콤,35460,Dec-10,40801744
(주)기산텔레콤,35460,Dec-11,32479105
(주)기산텔레콤,35460,Dec-12,33918079
(주)기산텔레콤,35460,Dec-13,36087855
(주)기산텔레콤,35460,Dec-14,36429569
(주)기산텔레콤,35460,Dec-15,38723216
(주)기산텔레콤,35460,Dec-16,37420205
(주)기산텔레콤,35460,Dec-17,35438291
(주)기산텔레콤,35460,Dec-18,29246000
(주)까뮤이앤씨,13700,Dec-10,163288767
(주)까뮤이앤씨,13700,Dec-11,46083061
(주)까뮤이앤씨,13700,Dec-12,40763024
(주)까뮤이앤씨,13700,Dec-13,33715699
(주)까뮤이앤씨,13700,Dec-14,35697347
(주)까뮤이앤씨,13700,Dec-15,45786128
(주)까뮤이앤씨,13700,Dec-16,51113063
(주)까뮤이앤씨,13700,Dec-17,59106121
(주)까뮤이앤씨,13700,Dec-18,59562903
(주)나노,187790,Dec-14,
(주)나노,187790,Dec-15,31847169
(주)나노,187790,Dec-16,27068246
(주)나노,187790,Dec-17,37017160
(주)나노,187790,Dec-18,44484099
(주)나노신소재,121600,Dec-11,58178847
(주)나노신소재,121600,Dec-12,56696577
(주)나노신소재,121600,Dec-13,57932739
(주)나노신소재,121600,Dec-14,61576959
(주)나노신소재,121600,Dec-15,73932499
(주)나노신소재,121600,Dec-16,77643425
(주)나노신소재,121600,Dec-17,82967807
(주)나노신소재,121600,Dec-18,88802531
(주)나노엔텍,39860,Dec-10,28685214
