,회사명,거래소코드,회계년도,이자보상배율,cashflow_매출액비율,cashflow_부채비율,당좌비율,매입채무회전율,매출액순이익률,매출액총이익률,매출액영업이익률,매출액증가율,매출원가대매출액비율,매출채권회전율,부채비율,순이익증가율,영업이익증가율,유동부채,유동비율,유동자산구성비율,유동자산증가율,유형자산증가율,유형자산회전율,자기자본구성비율,자본증가율,타인자본회전율,재고자산_유동자산비율,재고자산증가율,재고자산회전율,차입금의존도,총자본영업이익률,총자산순이익률,총자산증가율,총자산회전율,현금비율
3892,(주)하림,136480,2012,-1.23,-0.982287946,-2.112209622,60.78558072,3.873142297,0.638767151,13.16093499,-1.688669422,0,86.83906501,5.485156925,180.0994606,0,-100.8372296,82.22531224,99.77917006,52.75280514,0,0,2.625631702,35.70160391,0,1.829100332,39.07988944,0,7.668133128,38.86416401,-3.269830632,0.883163101,0,1.126645892,10.34325673
3893,(주)하림,136480,2013,1.17,2.256060244,6.489506669,54.90140112,4.671679934,1.965626931,16.03335911,1.44689598,0,83.96664089,6.051395718,132.6864326,0,-99.2712801,76.04846348,102.1333027,44.29077464,0,0,2.376419395,42.97629169,0,1.888810903,46.2453483,0,7.495684389,38.20228548,2.774458994,3.224167091,0,1.123321952,2.648011473
3894,(주)하림,136480,2014,-0.18,4.377106732,9.910540709,55.9407926,4.054419323,-0.65613809,15.42002306,-0.158636112,-0.057605396,84.57997694,6.186761951,166.0956447,0,-100.0792552,87.99686084,93.46714539,51.3389092,-0.334962891,-0.896275074,2.172015479,37.58047228,-2.9066632,1.622937715,40.28418162,-0.294854783,5.967626322,39.61387102,-0.295481457,-0.918577183,-1.715925759,0.999687408,9.92036622
3895,(주)하림,136480,2015,0.82,0.666322676,1.351478167,54.23616154,3.822117647,-0.399254343,16.63669862,0.627338871,-0.075799344,83.36330138,6.404471434,205.145383,0,-99.68534358,89.64001762,90.38163204,54.46745153,2.874462632,-4.257531208,2.582311631,32.77126425,0.026189324,1.8679883,38.874617,-0.25034889,6.790293997,50.40807474,1.305143876,-0.544413684,-1.650937089,1.136204214,14.03330671
3896,(주)하림,136480,2016,4.12,5.702254229,18.72425747,56.81986381,3.44783067,2.316445512,19.03951631,2.469950041,-0.470619357,80.96048369,5.27454551,120.067155,-10.00284462,-98.74958264,85.00219874,97.85527893,45.38197686,-1.776728385,-3.131211998,2.895196034,45.44067468,-1.372679754,1.856581025,42.69334437,-0.502414002,6.258935218,31.33639449,4.869007258,4.15000967,-2.421435216,1.166807686,13.92749409
3897,(주)하림,136480,2017,4.29,5.472693293,15.1518252,60.6681881,3.583342313,2.563485883,18.47838677,2.082059108,-0.09349363,81.52161323,5.390968075,101.3757161,-7.319363354,-98.94801901,89.94524796,95.84091515,43.3966308,-0.118318773,-1.752514088,2.653559656,49.65842062,-0.964789477,1.63039652,36.74254595,-0.395012154,6.833745339,30.64175511,2.921869642,3.572906162,-1.224166293,1.068397816,12.22840566
3898,(주)하림,136480,2018,0.22,-0.240812191,-0.378154018,58.76554602,4.542479205,-1.45725271,16.00658621,0.182346291,-0.071488962,83.99341379,5.722397073,177.9769993,0,-99.90874365,82.57923199,87.36666126,46.19251374,-0.737434373,-1.511815194,2.610929226,35.97419939,0.302543619,1.906150142,32.98008209,-0.208667002,7.604419186,48.37292635,0.2548127,-1.465143424,-0.460074633,1.167240298,9.499005534
3899,(주)하림,136480,2019,-3.19,-1.347667874,-2.116151706,42.60435335,5.590764365,-4.945148938,11.3772725,-5.388470232,-0.127507548,88.6227275,5.426045297,201.3999711,0,-102.6235505,80.12950126,69.23935399,37.073334,-1.052117436,-5.325183737,2.680566268,33.17850347,0.15295892,2.122078465,38.87704071,-0.167214337,7.302722236,50.81104563,-8.520377156,-5.18871117,-0.541465072,1.195982931,12.37173611
3900,(주)하이소닉,106080,2011,7.63,1.056857437,4.309477323,288.5535859,4.880111875,1.818287761,8.800545947,3.314760346,0,91.19945405,4.630335304,40.86964403,88.68370174,-98.3146878,75.32433168,323.0115356,70.58895576,-1.76645039,-29.77599059,3.961663596,70.98761461,7.333480256,3.666778365,10.85954333,0,7.285239584,11.09229757,2.762047773,2.151068523,5.621125984,1.062480375,34.6917132
3901,(주)하이소닉,106080,2012,24.55,10.70163254,39.77981391,196.1227229,7.862316083,7.943697584,22.99835138,15.64778,0,77.00164862,4.887686806,37.73317028,-2.795098349,-91.51201976,78.11468619,225.7774539,48.31678452,-5.227453783,-79.16222322,3.756104079,72.60415331,7.178709341,5.106916877,13.85896724,0,6.912750427,13.14898883,10.97384304,8.089471989,-2.916885002,1.037232102,79.64631365
