,회사명,거래소코드,회계년도,이자보상배율,회사명_1,거래소코드_1,회계연도_1,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
84,(주)ST,11810,2014,0.76,(주)STX,11810,2014,1291351000,1233380000,1634606000,1513363000,도매 및 상품 중개업
85,(주)ST,11810,2015,-0.84,(주)STX,11810,2015,1362127000,1352181000,1630827000,1586081000,도매 및 상품 중개업
86,(주)ST,11810,2016,-0.91,(주)STX,11810,2016,1465561000,1494187000,1720153000,1635394000,도매 및 상품 중개업
87,(주)ST,11810,2017,2.02,(주)STX,11810,2017,1595494000,1541890000,1803878000,1718572000,도매 및 상품 중개업
88,(주)ST,11810,2018,-1.12,(주)STX,11810,2018,1329890000,1319737000,1502985000,1483048000,도매 및 상품 중개업
89,(주)ST,11810,2019,0.11,(주)STX,11810,2019,1237876000,1225459000,1471164000,1424697000,도매 및 상품 중개업
90,(주)TCC스틸,2710,2011,1.41,(주)TCC스틸,2710,2011,456928069,419062918,514424043,472273637,1차 금속 제조업
91,(주)TCC스틸,2710,2012,0.57,(주)TCC스틸,2710,2012,440568155,399338479,501337475,457927934,1차 금속 제조업
92,(주)TCC스틸,2710,2013,-0.59,(주)TCC스틸,2710,2013,419483813,385343144,500832754,474104834,1차 금속 제조업
93,(주)TCC스틸,2710,2014,0.02,(주)TCC스틸,2710,2014,401323585,364984531,518995240,483588495,1차 금속 제조업
94,(주)TCC스틸,2710,2015,2.17,(주)TCC스틸,2710,2015,350074629,311691285,495795871,451936886,1차 금속 제조업
95,(주)TCC스틸,2710,2016,2.53,(주)TCC스틸,2710,2016,317235565,281559457,444453635,402898839,1차 금속 제조업
96,(주)TCC스틸,2710,2017,1.55,(주)TCC스틸,2710,2017,333762378,304470552,391370092,356978389,1차 금속 제조업
97,(주)TCC스틸,2710,2018,3.3,(주)TCC스틸,2710,2018,351301866,320798763,413176279,377890304,1차 금속 제조업
98,(주)TCC스틸,2710,2019,2.27,(주)TCC스틸,2710,2019,339334364,312320391,437173902,405618477,1차 금속 제조업
99,(주)가비아,79940,2011,22.28,(주)가비아,79940,2011,33792831,20761832,52838864,29173840,출판업
100,(주)가비아,79940,2012,15.43,(주)가비아,79940,2012,38482449,23494026,69058144,40302408,출판업
101,(주)가비아,79940,2013,15.81,(주)가비아,79940,2013,40507693,24558241,70675565,38882747,출판업
102,(주)가비아,79940,2014,24.59,(주)가비아,79940,2014,43906243,26874841,80432047,45275795,출판업
103,(주)가비아,79940,2015,64.83,(주)가비아,79940,2015,48446932,28806524,91648622,50078893,출판업
104,(주)가비아,79940,2016,83.64,(주)가비아,79940,2016,49430564,28802628,102178978,54998617,출판업
105,(주)가비아,79940,2017,53.72,(주)가비아,79940,2017,52365659,30561799,116217941,60313364,출판업
106,(주)가비아,79940,2018,62.3,(주)가비아,79940,2018,55197652,31654603,128728438,65751367,출판업
107,(주)가비아,79940,2019,34.25,(주)가비아,79940,2019,58254105,34532096,148306878,75650385,출판업
108,(주)강스템바이오텍,217730,2015,-5.41,(주)강스템바이오텍,217730,2015,1484593,252810,,,의료용 물질 및 의약품 제조업
109,(주)강스템바이오텍,217730,2016,-18.89,(주)강스템바이오텍,217730,2016,842805,57688,,,의료용 물질 및 의약품 제조업
110,(주)강스템바이오텍,217730,2017,-8.15,(주)강스템바이오텍,217730,2017,5394323,2402560,9132939,5874047,의료용 물질 및 의약품 제조업
111,(주)강스템바이오텍,217730,2018,-12.31,(주)강스템바이오텍,217730,2018,1001039,276617,9165454,7988195,의료용 물질 및 의약품 제조업
112,(주)강스템바이오텍,217730,2019,-21.5,(주)강스템바이오텍,217730,2019,282069,141439,6004584,6428945,의료용 물질 및 의약품 제조업
113,(주)강원랜드,35250,2011,1142.61,(주)강원랜드,35250,2011,1263651213,530019096,1265686425,538388479,스포츠 및 오락관련 서비스업
114,(주)강원랜드,35250,2012,565.68,(주)강원랜드,35250,2012,1292896121,639097544,1296191223,647845564,스포츠 및 오락관련 서비스업
115,(주)강원랜드,35250,2013,1421.81,(주)강원랜드,35250,2013,1356906162,718286815,1361286598,726091776,스포츠 및 오락관련 서비스업
116,(주)강원랜드,35250,2014,2073.72,(주)강원랜드,35250,2014,1492291312,713323703,1496541441,722297880,스포츠 및 오락관련 서비스업
117,(주)강원랜드,35250,2015,2623.81,(주)강원랜드,35250,2015,1630976696,754752007,1633716839,759645970,스포츠 및 오락관련 서비스업
118,(주)강원랜드,35250,2016,836.02,(주)강원랜드,35250,2016,1694575212,782103726,1696532511,785177091,스포츠 및 오락관련 서비스업
119,(주)강원랜드,35250,2017,2241.82,(주)강원랜드,35250,2017,1602901764,785131415,1604470055,787533848,스포츠 및 오락관련 서비스업
120,(주)강원랜드,35250,2018,1834.66,(주)강원랜드,35250,2018,1436042435,727185671,1438059299,729593460,스포츠 및 오락관련 서비스업
121,(주)강원랜드,35250,2019,255.56,(주)강원랜드,35250,2019,1517612252,734363002,1520080449,736659054,스포츠 및 오락관련 서비스업
122,(주)강원에너지,114190,2011,393.9,(주)강원에너지,114190,2011,50222892,37631683,,,금속가공제품 제조업; 기계 및 가구 제외
123,(주)강원에너지,114190,2012,58.37,(주)강원에너지,114190,2012,106471214,85441450,,,금속가공제품 제조업; 기계 및 가구 제외
124,(주)강원에너지,114190,2013,18.11,(주)강원에너지,114190,2013,50660659,38917147,,,금속가공제품 제조업; 기계 및 가구 제외
125,(주)강원에너지,114190,2014,39.01,(주)강원에너지,114190,2014,51481321,40566049,,,금속가공제품 제조업; 기계 및 가구 제외
126,(주)강원에너지,114190,2015,187.51,(주)강원에너지,114190,2015,48852892,40524653,46188664,38265188,금속가공제품 제조업; 기계 및 가구 제외
127,(주)강원에너지,114190,2016,-241.54,(주)강원에너지,114190,2016,44448760,37206789,42287473,35270278,금속가공제품 제조업; 기계 및 가구 제외
128,(주)강원에너지,114190,2017,-26.56,(주)강원에너지,114190,2017,83113029,82247917,82034829,81169717,금속가공제품 제조업; 기계 및 가구 제외
129,(주)강원에너지,114190,2018,0.2,(주)강원에너지,114190,2018,85905365,80012233,85905365,80012233,금속가공제품 제조업; 기계 및 가구 제외
130,(주)강원에너지,114190,2019,-8.38,(주)강원에너지,114190,2019,42549622,48688856,42549622,48688856,금속가공제품 제조업; 기계 및 가구 제외
131,(주)갤럭시아에스엠,11420,2011,6.31,(주)갤럭시아에스엠,11420,2011,31931418,26327117,47331427,38695073,스포츠 및 오락관련 서비스업
132,(주)갤럭시아에스엠,11420,2012,3.79,(주)갤럭시아에스엠,11420,2012,37398255,33745924,55049732,47555420,스포츠 및 오락관련 서비스업
133,(주)갤럭시아에스엠,11420,2013,1.9,(주)갤럭시아에스엠,11420,2013,30903637,28202016,46437304,41764586,스포츠 및 오락관련 서비스업
134,(주)갤럭시아에스엠,11420,2014,-0.88,(주)갤럭시아에스엠,11420,2014,33027933,31283923,43885894,40216941,스포츠 및 오락관련 서비스업
135,(주)갤럭시아에스엠,11420,2015,5.69,(주)갤럭시아에스엠,11420,2015,53784932,48457121,62472754,56009656,스포츠 및 오락관련 서비스업
136,(주)갤럭시아에스엠,11420,2016,-18.76,(주)갤럭시아에스엠,11420,2016,45665676,45279432,52626331,51678856,스포츠 및 오락관련 서비스업
137,(주)갤럭시아에스엠,11420,2017,-35.52,(주)갤럭시아에스엠,11420,2017,36917656,37068260,37281280,37435336,스포츠 및 오락관련 서비스업
138,(주)갤럭시아에스엠,11420,2018,-157.86,(주)갤럭시아에스엠,11420,2018,22030258,24112403,22060413,27428110,스포츠 및 오락관련 서비스업
139,(주)갤럭시아에스엠,11420,2019,-8.95,(주)갤럭시아에스엠,11420,2019,28732679,26937800,28732679,26937800,스포츠 및 오락관련 서비스업
140,(주)경농,2100,2011,4.52,(주)경농,2100,2011,120728258,79073941,121253605,79220101,화학물질 및 화학제품 제조업; 의약품 제외
141,(주)경농,2100,2012,5.6,(주)경농,2100,2012,131021366,83085935,136970449,87614008,화학물질 및 화학제품 제조업; 의약품 제외
142,(주)경농,2100,2013,4.81,(주)경농,2100,2013,139237273,85548073,196358952,129161139,화학물질 및 화학제품 제조업; 의약품 제외
143,(주)경농,2100,2014,4.53,(주)경농,2100,2014,134806677,81145006,188483147,122779838,화학물질 및 화학제품 제조업; 의약품 제외
144,(주)경농,2100,2015,3.96,(주)경농,2100,2015,137609256,84402122,196418710,127105636,화학물질 및 화학제품 제조업; 의약품 제외
145,(주)경농,2100,2016,3.5,(주)경농,2100,2016,143209666,90377050,203984939,135371879,화학물질 및 화학제품 제조업; 의약품 제외
146,(주)경농,2100,2017,2.8,(주)경농,2100,2017,143175105,90974073,206534382,138859895,화학물질 및 화학제품 제조업; 의약품 제외
147,(주)경농,2100,2018,5.16,(주)경농,2100,2018,146216658,91408676,212654617,139911460,화학물질 및 화학제품 제조업; 의약품 제외
148,(주)경농,2100,2019,2.2,(주)경농,2100,2019,151342037,94631333,227510941,153098094,화학물질 및 화학제품 제조업; 의약품 제외
149,(주)경동나비엔,9450,2011,12,(주)경동나비엔,9450,2011,318269213,246619329,341246917,251540613,전기장비 제조업
150,(주)경동나비엔,9450,2012,11.7,(주)경동나비엔,9450,2012,341339118,268142768,379014259,282583068,전기장비 제조업
151,(주)경동나비엔,9450,2013,14.4,(주)경동나비엔,9450,2013,371601179,284158227,414177562,296168554,전기장비 제조업
152,(주)경동나비엔,9450,2014,4.93,(주)경동나비엔,9450,2014,382392117,293438355,428985365,313840608,전기장비 제조업
153,(주)경동나비엔,9450,2015,6.98,(주)경동나비엔,9450,2015,448302084,334829527,512031120,352051189,전기장비 제조업
154,(주)경동나비엔,9450,2016,25.05,(주)경동나비엔,9450,2016,506082201,369054723,583252904,382333051,전기장비 제조업
155,(주)경동나비엔,9450,2017,30.33,(주)경동나비엔,9450,2017,569819524,423216560,684660958,446078996,전기장비 제조업
156,(주)경동나비엔,9450,2018,11.32,(주)경동나비엔,9450,2018,618058456,466381901,726741615,487844378,전기장비 제조업
157,(주)경동나비엔,9450,2019,11.06,(주)경동나비엔,9450,2019,655419303,479160026,774290704,509635845,전기장비 제조업
158,(주)경동도시가스,267290,2017,66.86,(주)경동도시가스,267290,2017,870828897,793617236,871548284,793238142,"전기, 가스, 증기 및 공기조절 공급업"
159,(주)경동도시가스,267290,2018,98.82,(주)경동도시가스,267290,2018,1605687067,1480519376,1606531867,1480519376,"전기, 가스, 증기 및 공기조절 공급업"
160,(주)경동도시가스,267290,2019,29.28,(주)경동도시가스,267290,2019,1421866212,1310791588,1422707835,1310188918,"전기, 가스, 증기 및 공기조절 공급업"
161,(주)경동인베스트,12320,2011,11.03,(주)경동인베스트,12320,2011,1806174764,1697470671,1847666903,1739469751,금융업
162,(주)경동인베스트,12320,2012,17.71,(주)경동인베스트,12320,2012,2403814656,2292736954,2502642394,2381579037,금융업
163,(주)경동인베스트,12320,2013,27.91,(주)경동인베스트,12320,2013,2664100017,2552976223,2788264380,2659198011,금융업
164,(주)경동인베스트,12320,2014,20.25,(주)경동인베스트,12320,2014,2399450987,2293899450,2603059058,2470957525,금융업
165,(주)경동인베스트,12320,2015,-4.35,(주)경동인베스트,12320,2015,1352478311,1263722829,1604168482,1520436435,금융업
166,(주)경동인베스트,12320,2016,7.92,(주)경동인베스트,12320,2016,1021002691,924418543,1181902637,1064804018,금융업
167,(주)경동인베스트,12320,2017,9.05,(주)경동인베스트,12320,2017,612436,0,195069859,140724518,금융업
168,(주)경동인베스트,12320,2018,10.67,(주)경동인베스트,12320,2018,7460898,3635575,228644016,171130400,금융업
169,(주)경동인베스트,12320,2019,5.29,(주)경동인베스트,12320,2019,8641051,3929209,271765025,223338232,금융업
170,(주)경방,50,2011,1.15,(주)경방,50,2011,275746943,246411496,348136369,258814443,소매업; 자동차 제외
171,(주)경방,50,2012,0.36,(주)경방,50,2012,265409209,250600103,333620804,260837041,소매업; 자동차 제외
172,(주)경방,50,2013,2.58,(주)경방,50,2013,264782077,223418883,347189559,251468225,소매업; 자동차 제외
173,(주)경방,50,2014,2.47,(주)경방,50,2014,256979444,209067504,329036023,238357806,소매업; 자동차 제외
174,(주)경방,50,2015,3.9,(주)경방,50,2015,307744480,209467360,357628146,255868653,소매업; 자동차 제외
175,(주)경방,50,2016,5.54,(주)경방,50,2016,313876822,210095763,377445013,268352680,소매업; 자동차 제외
176,(주)경방,50,2017,6.35,(주)경방,50,2017,288103985,188372022,360788750,253442168,소매업; 자동차 제외
177,(주)경방,50,2018,5.13,(주)경방,50,2018,279085217,177815403,351438926,244043108,소매업; 자동차 제외
178,(주)경방,50,2019,3.59,(주)경방,50,2019,253552382,151563044,343892085,244396020,소매업; 자동차 제외
179,(주)경보제약,214390,2015,29.2,(주)경보제약,214390,2015,178032632,129475387,,,의료용 물질 및 의약품 제조업
180,(주)경보제약,214390,2016,16.24,(주)경보제약,214390,2016,186726170,142622767,,,의료용 물질 및 의약품 제조업
