,회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS연결2),[제조]자본(*)(IFRS2),자기자본순이익률(개별),자기자본순이익률(연결)
87,(주)SNT홀딩스,36530,2017/12,1519293154.0,25863066.0,425136143.0,4172419.0,1530892611.0,426682947.0,0.009796490942695356,0.016958354665982122
88,(주)SNT홀딩스,36530,2018/12,1503275496.0,73732317.0,422573122.0,6218079.0,1519293154.0,425136143.0,0.01467031034513938,0.04878785267623285
89,(주)SNT홀딩스,36530,2019/12,1625933047.0,124509305.0,416939604.0,9244252.0,1503275496.0,422573122.0,0.022022899031074367,0.0795787837653235
91,(주)STX,11810,2011/12,1915942000.0,222363000.0,1164648000.0,84657000.0,1622889000.0,934675000.0,0.08065171486236278,0.1256703131627365
92,(주)STX,11810,2012/12,1506639000.0,-490928000.0,1123534000.0,-23863000.0,1915942000.0,1164648000.0,-0.02085760660646749,-0.2868758986273809
93,(주)STX,11810,2013/12,-509663000.0,-1595630000.0,-522090000.0,-1646014000.0,1506639000.0,1123534000.0,11111111.11,11111111.11
94,(주)STX,11810,2014/12,93662000.0,380584000.0,54894000.0,334488000.0,-509663000.0,-522090000.0,-1.431895821025865,-1.8297263708500702
95,(주)STX,11810,2015/12,72342000.0,-48982000.0,72316000.0,-53449000.0,93662000.0,54894000.0,-0.8403270183161701,-0.5901303583046191
96,(주)STX,11810,2016/12,-330596000.0,-457446000.0,-328883000.0,-456150000.0,72342000.0,72316000.0,11111111.11,11111111.11
97,(주)STX,11810,2017/12,42560000.0,334386000.0,44710000.0,336179000.0,-330596000.0,-328883000.0,-2.36601647587913,-2.3218347706536684
98,(주)STX,11810,2018/12,64028000.0,9107000.0,62213000.0,5024000.0,42560000.0,44710000.0,0.0939741683267398,0.17088227567831277
99,(주)STX,11810,2019/12,56291000.0,-33218000.0,50616000.0,-37142000.0,64028000.0,62213000.0,-0.6583768357425839,-0.5521654933967204
101,(주)TCC스틸,2710,2011/12,225441968.0,4557868.0,205616971.0,6828699.0,225226613.0,203173489.0,0.03340928748679702,0.02022713893161325
