,회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,매출액총이익률,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가 대 매출액비율,금융비용부담률,금융비용 대 총비용비율,이자부담률,지급이자율,차입금평균이자율,매출액정상영업이익률,유동자산구성비율,재고자산 대 유동자산비율,당좌자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,당좌비율,현금비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,순운전자본비율,차입금비율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,총자본회전률,자기자본회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,유형자산회전율,순운전자본회전률,운전자본회전률,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,이자보상배율
20,(주)STX,11810,2013,-73.5,-79.37,-46.53,-48.48,-145.6,-60.24,0.0,0.0,-28.23,-65.14,-49.79,-521.17,128.23,3.01,2.73,6.29,4.23,59.11,11.85,52.11,0.0,137.96,-331.39,62.06,54.71,5.09,0.0,127.51,0.0,0.0,62.47,-36.13,0.0,10.3,13.35,7.79,0.76,0.0,0.91,9.16,39.86,2.15,2.45,17.71,5.87,62.16,3.89,0.83,0.07,351.14,0.0,6138.8,-92.75,-577.77,-1841.96,-50.83,-10.71
21,(주)STX,11810,2014,-6.52,-49.85,12.6,120.72,0.0,-33.27,0.0,0.0,7.42,23.28,29.3,0.0,92.58,2.19,2.37,5.26,4.04,71.2,23.24,54.66,7.46,92.54,125.29,113.3,86.97,14.11,197.92,180.51,1239.93,842.07,62.02,8.36,951.28,2.35,3.07,1.67,1.26,0.0,1.08,9.99,36.54,1.94,2.36,10.84,6.74,54.17,10.1,0.87,0.13,460.65,0.0,8632.52,40.25,467.4,332342.76,30.9,0.76
22,(주)STX,11810,2015,0.97,-5.9,0.95,52.33,-22.76,-0.23,0.0,0.0,2.74,-3.0,-3.88,-59.01,97.26,1.82,2.53,4.51,4.53,71.19,35.06,46.23,5.71,94.29,96.66,104.09,67.59,8.89,892.68,93.87,1651.71,1198.04,68.25,2.8,1246.41,-3.85,-5.1,-2.82,1.29,19.65,1.38,11.01,33.14,1.82,2.56,6.23,8.39,43.53,15.55,0.95,0.28,422.94,0.0,8327.11,6.28,78.33,102008.97,4.88,-0.84
23,(주)STX,11810,2016,-44.15,-27.52,-46.09,-28.51,-556.99,5.48,0.0,0.0,4.93,-26.59,-46.33,0.0,95.07,1.93,2.98,4.74,4.43,68.72,46.5,36.77,-46.71,146.71,-279.05,49.89,26.7,4.89,0.0,107.47,0.0,0.0,96.09,-69.01,0.0,2.02,2.65,1.22,1.74,0.0,1.54,13.14,27.78,2.48,4.07,6.34,13.31,27.43,19.61,1.07,0.15,256.65,0.0,5230.72,-48.77,-469.74,-1045960.61,-20.07,-0.91
24,(주)STX,11810,2017,-11.33,-4.01,-2.17,-19.68,0.0,4.87,0.0,0.0,4.73,18.54,50.09,0.0,95.27,1.07,2.38,6.27,3.83,75.82,38.17,46.88,6.78,93.22,88.97,85.88,53.1,17.24,0.0,90.72,1374.49,1301.65,94.45,-12.46,818.95,13.52,22.68,4.38,2.7,0.0,2.22,17.15,21.28,3.75,6.51,8.85,17.47,20.89,24.97,1.45,0.11,249.0,0.0,4373.05,66.31,591.1,1066958.97,23.07,2.02
25,(주)STX,11810,2018,-11.71,4.93,-11.12,-28.74,49.97,-16.68,-97.28,-133.55,1.33,0.61,1.54,17.12,98.67,0.72,2.0,3.98,3.88,76.32,30.61,52.96,11.56,88.44,129.42,91.21,63.3,9.55,0.0,168.05,765.34,724.06,93.18,-7.35,517.79,5.32,7.87,1.74,2.54,28.2,2.8,15.56,23.46,3.34,5.12,9.66,12.81,28.49,20.73,1.57,0.14,0.0,0.0,0.0,15.07,112.51,232002.78,5.56,-1.12
26,(주)STX,11810,2019,1.09,21.6,-8.62,-8.22,-11.47,-2.12,-460.27,0.0,3.16,-2.26,-5.96,-54.53,96.84,0.85,2.52,4.7,4.71,68.99,30.74,47.78,10.05,89.95,114.58,87.86,60.85,9.1,0.0,137.76,895.02,781.31,86.56,-9.53,590.05,-4.72,-7.16,-1.62,2.64,24.45,2.96,16.44,22.2,3.64,5.24,11.85,10.91,33.46,17.88,1.72,0.16,0.0,0.0,0.0,9.12,56.6,30577.25,3.47,0.11
27,(주)강스템바이오텍,217730,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.97,-387.59,-23.03,-27.09,17.03,55.63,22.05,88.77,88.77,75.64,1.77,74.3,85.01,14.99,307.4,637.19,625.9,211.66,2.1,238.87,17.64,13.96,26.95,63.77,5.03,-101.45,-355.89,-255.96,0.06,0.07,0.4,11.87,30.76,0.08,0.08,4.43,4.97,73.47,0.5,0.07,0.0,48.06,8.13,402.95,-11.53,-96.67,-571.4,-194.04,-5.41
28,(주)강스템바이오텍,217730,2016,89.9,35.55,100.92,74.02,8.19,-43.23,0.0,0.0,93.16,-984.85,-22.92,-37.55,6.84,24.14,1.44,3.1,5.81,80.03,1.54,78.8,48.43,51.57,323.31,1175.05,1157.01,59.67,1.68,61.63,106.48,14.06,1.67,73.22,67.66,-23.7,-37.3,-687.98,0.02,0.04,0.06,4.2,86.86,0.03,0.03,1.84,3.59,101.55,0.24,0.03,0.81,37.61,6.29,600.53,-10.73,-171.34,-1025.08,-604.02,-18.89
29,(주)강스템바이오텍,217730,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.68,-126.27,-24.43,-46.19,64.32,12.56,5.05,10.1,10.1,53.49,6.83,49.83,51.87,48.13,302.13,396.43,369.34,61.46,9.14,35.57,92.79,26.01,13.4,40.0,58.21,-46.87,-74.71,-116.58,0.19,0.37,0.4,7.37,49.54,0.36,0.39,5.29,20.71,17.62,0.69,0.29,0.05,0.0,0.0,0.0,-1.37,-10.95,-73.0,-7.08,-8.15
