,회사명,거래소코드,회계년도,개별현금흐름,연결현금흐름,현금흐름,투자축소
105,(주)가비아,79940,2017/12,-6515005.0,-8859280.0,0.0,0
106,(주)가비아,79940,2018/12,-8098967.0,-22923889.0,0.0,0
107,(주)가비아,79940,2019/12,-13094318.0,-29988807.0,0.0,0
108,(주)강스템바이오텍,217730,2015/12,-12058913.0,,0.0,0
109,(주)강스템바이오텍,217730,2016/12,-26722204.0,,0.0,0
110,(주)강스템바이오텍,217730,2017/12,5871865.0,6469317.0,0.0,0
111,(주)강스템바이오텍,217730,2018/12,-25397225.0,-25834675.0,0.0,0
112,(주)강스템바이오텍,217730,2019/12,-33356662.0,-38130531.0,0.0,0
113,(주)강원랜드,35250,2011/12,-198767256.0,-187763915.0,0.05535791569210977,0
114,(주)강원랜드,35250,2012/12,-232183363.0,-216998936.0,0.06539842822416178,0
115,(주)강원랜드,35250,2013/12,-229555921.0,-193315698.0,0.1578710008529904,1
116,(주)강원랜드,35250,2014/12,-404621440.0,-427372634.0,0.0,0
117,(주)강원랜드,35250,2015/12,-399445183.0,-398949073.0,0.0012419977035997953,0
118,(주)강원랜드,35250,2016/12,-414060181.0,-411462350.0,0.006274042081819985,0
119,(주)강원랜드,35250,2017/12,-253342340.0,-250223124.0,0.012312257003704948,0
120,(주)강원랜드,35250,2018/12,-205028726.0,-202048061.0,0.014537792133576444,0
121,(주)강원랜드,35250,2019/12,-212758098.0,-211308893.0,0.006811515113281375,0
122,(주)강원에너지,114190,2011/11,-4700331.0,,0.0,0
123,(주)강원에너지,114190,2012/12,-21039487.0,,0.0,0
124,(주)강원에너지,114190,2013/12,10839414.0,,0.0,0
125,(주)강원에너지,114190,2014/12,-2463292.0,,0.0,0
126,(주)강원에너지,114190,2015/12,-3757172.0,-4069038.0,0.0,0
127,(주)강원에너지,114190,2016/12,2857618.0,-272939.0,-1.0955127662269764,0
128,(주)강원에너지,114190,2017/12,484043.0,-746589.0,0.0,0
129,(주)강원에너지,114190,2018/12,-2019808.0,-801059.0,0.6033984418320949,1
130,(주)강원에너지,114190,2019/12,-14691822.0,-14687728.0,0.0002786584264361493,0
