,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS2)
109,(주)강스템바이오텍,217730,Dec-16,-8300375.0,22976911.0,21237036.0
110,(주)강스템바이오텍,217730,Dec-17,-10855842.0,24668128.0,22976911.0
111,(주)강스템바이오텍,217730,Dec-18,-13500909.0,47944961.0,24668128.0
112,(주)강스템바이오텍,217730,Dec-19,-25001590.0,70845209.0,47944961.0
113,(주)강원랜드,35250,Dec-11,393401121.0,2278202202.0,
114,(주)강원랜드,35250,Dec-12,296503993.0,2383160603.0,2278202202.0
115,(주)강원랜드,35250,Dec-13,293129468.0,2523962938.0,2383160603.0
116,(주)강원랜드,35250,Dec-14,363815729.0,2716175018.0,2523962938.0
117,(주)강원랜드,35250,Dec-15,430459518.0,2997442337.0,2716175018.0
118,(주)강원랜드,35250,Dec-16,454998593.0,3252738063.0,2997442337.0
119,(주)강원랜드,35250,Dec-17,437096330.0,3500789656.0,3252738063.0
120,(주)강원랜드,35250,Dec-18,297320114.0,3586452533.0,3500789656.0
121,(주)강원랜드,35250,Dec-19,335609508.0,3718433001.0,3586452533.0
122,(주)강원에너지,114190,Nov-11,5754715.0,24502434.0,
123,(주)강원에너지,114190,Dec-12,8974549.0,36107930.0,24502434.0
124,(주)강원에너지,114190,Dec-13,3922208.0,45877155.0,36107930.0
125,(주)강원에너지,114190,Dec-14,1123194.0,50445491.0,45877155.0
126,(주)강원에너지,114190,Dec-15,885783.0,54880924.0,50445491.0
127,(주)강원에너지,114190,Dec-16,-762058.0,53746356.0,54880924.0
128,(주)강원에너지,114190,Dec-17,-6291307.0,47117020.0,53746356.0
129,(주)강원에너지,114190,Dec-18,1977524.0,49286354.0,47117020.0
130,(주)강원에너지,114190,Dec-19,-33460765.0,22904034.0,49286354.0
131,(주)갤럭시아에스엠,11420,Dec-11,3000743.0,24539613.0,
132,(주)갤럭시아에스엠,11420,Dec-12,223810.0,25153401.0,24539613.0
133,(주)갤럭시아에스엠,11420,Dec-13,-1420345.0,22472626.0,25153401.0
134,(주)갤럭시아에스엠,11420,Dec-14,-931106.0,23402468.0,22472626.0
135,(주)갤럭시아에스엠,11420,Dec-15,2575902.0,50665218.0,23402468.0
136,(주)갤럭시아에스엠,11420,Dec-16,-1562620.0,44846832.0,50665218.0
137,(주)갤럭시아에스엠,11420,Dec-17,-5899738.0,40494336.0,44846832.0
138,(주)갤럭시아에스엠,11420,Dec-18,-15678085.0,26797332.0,40494336.0
139,(주)갤럭시아에스엠,11420,Dec-19,-1375316.0,21798750.0,26797332.0
140,(주)경농,2100,Dec-11,3154155.0,146016982.0,
141,(주)경농,2100,Dec-12,6590012.0,151500247.0,146016982.0
142,(주)경농,2100,Dec-13,13751960.0,162696463.0,151500247.0
143,(주)경농,2100,Dec-14,9271741.0,168998955.0,162696463.0
144,(주)경농,2100,Dec-15,6488880.0,173056378.0,168998955.0
145,(주)경농,2100,Dec-16,5770891.0,176722752.0,173056378.0
146,(주)경농,2100,Dec-17,11539079.0,182959158.0,176722752.0
147,(주)경농,2100,Dec-18,9613575.0,187066687.0,182959158.0
148,(주)경농,2100,Dec-19,7061857.0,190892614.0,187066687.0
149,(주)경동나비엔,9450,Dec-11,9445090.0,143268094.0,
150,(주)경동나비엔,9450,Dec-12,9214927.0,152201349.0,143268094.0
151,(주)경동나비엔,9450,Dec-13,9251575.0,161494784.0,152201349.0
