,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
106,(주)가비아,79940,2018,62.3,55197652.0,31654603.0,128728438.0,65751367.0,출판업
107,(주)가비아,79940,2019,34.25,58254105.0,34532096.0,148306878.0,75650385.0,출판업
108,(주)강스템바이오텍,217730,2015,-5.41,1484593.0,252810.0,,,의료용 물질 및 의약품 제조업
109,(주)강스템바이오텍,217730,2016,-18.89,842805.0,57688.0,,,의료용 물질 및 의약품 제조업
110,(주)강스템바이오텍,217730,2017,-8.15,5394323.0,2402560.0,9132939.0,5874047.0,의료용 물질 및 의약품 제조업
111,(주)강스템바이오텍,217730,2018,-12.31,1001039.0,276617.0,9165454.0,7988195.0,의료용 물질 및 의약품 제조업
112,(주)강스템바이오텍,217730,2019,-21.5,282069.0,141439.0,6004584.0,6428945.0,의료용 물질 및 의약품 제조업
113,(주)강원랜드,35250,2011,1142.61,1263651213.0,530019096.0,1265686425.0,538388479.0,스포츠 및 오락관련 서비스업
114,(주)강원랜드,35250,2012,565.68,1292896121.0,639097544.0,1296191223.0,647845564.0,스포츠 및 오락관련 서비스업
115,(주)강원랜드,35250,2013,1421.81,1356906162.0,718286815.0,1361286598.0,726091776.0,스포츠 및 오락관련 서비스업
116,(주)강원랜드,35250,2014,2073.72,1492291312.0,713323703.0,1496541441.0,722297880.0,스포츠 및 오락관련 서비스업
117,(주)강원랜드,35250,2015,2623.81,1630976696.0,754752007.0,1633716839.0,759645970.0,스포츠 및 오락관련 서비스업
118,(주)강원랜드,35250,2016,836.02,1694575212.0,782103726.0,1696532511.0,785177091.0,스포츠 및 오락관련 서비스업
119,(주)강원랜드,35250,2017,2241.82,1602901764.0,785131415.0,1604470055.0,787533848.0,스포츠 및 오락관련 서비스업
120,(주)강원랜드,35250,2018,1834.66,1436042435.0,727185671.0,1438059299.0,729593460.0,스포츠 및 오락관련 서비스업
121,(주)강원랜드,35250,2019,255.56,1517612252.0,734363002.0,1520080449.0,736659054.0,스포츠 및 오락관련 서비스업
122,(주)강원에너지,114190,2011,393.9,50222892.0,37631683.0,,,금속가공제품 제조업; 기계 및 가구 제외
123,(주)강원에너지,114190,2012,58.37,106471214.0,85441450.0,,,금속가공제품 제조업; 기계 및 가구 제외
124,(주)강원에너지,114190,2013,18.11,50660659.0,38917147.0,,,금속가공제품 제조업; 기계 및 가구 제외
125,(주)강원에너지,114190,2014,39.01,51481321.0,40566049.0,,,금속가공제품 제조업; 기계 및 가구 제외
126,(주)강원에너지,114190,2015,187.51,48852892.0,40524653.0,46188664.0,38265188.0,금속가공제품 제조업; 기계 및 가구 제외
127,(주)강원에너지,114190,2016,-241.54,44448760.0,37206789.0,42287473.0,35270278.0,금속가공제품 제조업; 기계 및 가구 제외
128,(주)강원에너지,114190,2017,-26.56,83113029.0,82247917.0,82034829.0,81169717.0,금속가공제품 제조업; 기계 및 가구 제외
129,(주)강원에너지,114190,2018,0.2,85905365.0,80012233.0,85905365.0,80012233.0,금속가공제품 제조업; 기계 및 가구 제외
130,(주)강원에너지,114190,2019,-8.38,42549622.0,48688856.0,42549622.0,48688856.0,금속가공제품 제조업; 기계 및 가구 제외
131,(주)갤럭시아에스엠,11420,2011,6.31,31931418.0,26327117.0,47331427.0,38695073.0,스포츠 및 오락관련 서비스업
132,(주)갤럭시아에스엠,11420,2012,3.79,37398255.0,33745924.0,55049732.0,47555420.0,스포츠 및 오락관련 서비스업
133,(주)갤럭시아에스엠,11420,2013,1.9,30903637.0,28202016.0,46437304.0,41764586.0,스포츠 및 오락관련 서비스업
134,(주)갤럭시아에스엠,11420,2014,-0.88,33027933.0,31283923.0,43885894.0,40216941.0,스포츠 및 오락관련 서비스업
135,(주)갤럭시아에스엠,11420,2015,5.69,53784932.0,48457121.0,62472754.0,56009656.0,스포츠 및 오락관련 서비스업
136,(주)갤럭시아에스엠,11420,2016,-18.76,45665676.0,45279432.0,52626331.0,51678856.0,스포츠 및 오락관련 서비스업
137,(주)갤럭시아에스엠,11420,2017,-35.52,36917656.0,37068260.0,37281280.0,37435336.0,스포츠 및 오락관련 서비스업
138,(주)갤럭시아에스엠,11420,2018,-157.86,22030258.0,24112403.0,22060413.0,27428110.0,스포츠 및 오락관련 서비스업
139,(주)갤럭시아에스엠,11420,2019,-8.95,28732679.0,26937800.0,28732679.0,26937800.0,스포츠 및 오락관련 서비스업
140,(주)경농,2100,2011,4.52,120728258.0,79073941.0,121253605.0,79220101.0,화학물질 및 화학제품 제조업; 의약품 제외
141,(주)경농,2100,2012,5.6,131021366.0,83085935.0,136970449.0,87614008.0,화학물질 및 화학제품 제조업; 의약품 제외
142,(주)경농,2100,2013,4.81,139237273.0,85548073.0,196358952.0,129161139.0,화학물질 및 화학제품 제조업; 의약품 제외
143,(주)경농,2100,2014,4.53,134806677.0,81145006.0,188483147.0,122779838.0,화학물질 및 화학제품 제조업; 의약품 제외
144,(주)경농,2100,2015,3.96,137609256.0,84402122.0,196418710.0,127105636.0,화학물질 및 화학제품 제조업; 의약품 제외
145,(주)경농,2100,2016,3.5,143209666.0,90377050.0,203984939.0,135371879.0,화학물질 및 화학제품 제조업; 의약품 제외
146,(주)경농,2100,2017,2.8,143175105.0,90974073.0,206534382.0,138859895.0,화학물질 및 화학제품 제조업; 의약품 제외
147,(주)경농,2100,2018,5.16,146216658.0,91408676.0,212654617.0,139911460.0,화학물질 및 화학제품 제조업; 의약품 제외
148,(주)경농,2100,2019,2.2,151342037.0,94631333.0,227510941.0,153098094.0,화학물질 및 화학제품 제조업; 의약품 제외
149,(주)경동나비엔,9450,2011,12.0,318269213.0,246619329.0,341246917.0,251540613.0,전기장비 제조업
150,(주)경동나비엔,9450,2012,11.7,341339118.0,268142768.0,379014259.0,282583068.0,전기장비 제조업
151,(주)경동나비엔,9450,2013,14.4,371601179.0,284158227.0,414177562.0,296168554.0,전기장비 제조업
