,0,0,0,0
334,2019,(주)핸디소프트,2018.0,에스비더블유생명과학(주)
335,2019,(주)헬릭스미스,2019.0,에스지씨에너지(주)
336,2011,(주)형지아이앤씨,2014.0,에쓰씨엔지니어링(주)
337,2018,(주)형지엘리트,2016.0,에이치에스디엔진(주)
338,2018,(주)홈센타홀딩스,2014.0,에이치엘비(주)
339,2019,(주)홈캐스트,2014.0,에이치엘비글로벌(주)
340,2019,(주)화신,2015.0,에이치엘비생명과학(주)
341,2014,(주)후성,2018.0,에이치엘비제약(주)
342,2013,(주)휴니드테크놀러지스,2014.0,에이치엘비테라퓨틱스(주)
343,2014,(주)휴먼엔,2014.0,에이치엠엠(주)
344,2013,KG스틸(주),2014.0,에이프로젠제약(주)
345,2015,OCI(주),2017.0,엑스큐어(주)
346,2014,STX엔진(주),2015.0,엔시트론(주)
347,2015,STX중공업(주),2012.0,오성첨단소재(주)
348,2013,감성코퍼레이션(주),2018.0,우진비앤지(주)
349,2012,갤럭시아머니트리(주),2019.0,웰바이오텍(주)
350,2013,광전자(주),2014.0,유니슨(주)
351,2012,국일제지(주),2014.0,이구산업(주)
352,2014,국제약품(주),2018.0,이노시스(주)
353,2019,글로본(주),2019.0,이엠코리아(주)
354,2014,금호전기(주),2015.0,이원컴포텍(주)
355,2019,금호타이어(주),2019.0,이트론(주)
356,2019,깨끗한나라(주),2015.0,이화산업(주)
357,2017,나노캠텍(주),2014.0,이화전기공업(주)
358,2013,남광토건(주),2014.0,인선이엔티(주)
359,2018,뉴지랩파마(주),2019.0,인화정공(주)
360,2014,대동기어(주),2019.0,일동홀딩스(주)
361,2014,대동전자(주),2015.0,일양약품(주)
362,2013,대림통상(주),2015.0,일진머티리얼즈(주)
363,2013,대성산업(주),2012.0,재영솔루텍(주)
364,2013,대우전자부품(주),2014.0,전방(주)
365,2016,대우조선해양(주),2017.0,제이더블유신약(주)
366,2015,대주전자재료(주),2013.0,제이더블유홀딩스(주)
367,2015,대한광통신(주),2014.0,제이스코홀딩스(주)
368,2014,대한그린파워(주),2017.0,제이엠아이(주)
369,2013,대한방직(주),2014.0,제이준코스메틱(주)
370,2013,대한전선(주),2017.0,조아제약(주)
371,2013,대한해운(주),2017.0,조일알미늄(주)
372,2014,대한화섬(주),2014.0,주성엔지니어링(주)
373,2013,더이앤엠(주),2017.0,지나인제약(주)
374,2019,데브시스터즈(주),2017.0,지엘팜텍(주)
375,2014,동국제강(주),2019.0,진양제약(주)
376,2013,동부건설(주),2017.0,참존글로벌(주)
377,2015,동성제약(주),2019.0,커머스마이너 (주)
378,2018,동양철관(주),2014.0,컨버즈(주)
379,2014,동원수산(주),2015.0,케이알모터스(주)
380,2013,동일철강(주),2017.0,케이엠제약(주)
381,2019,디엑스앤브이엑스(주),2019.0,코나아이(주)
382,2019,디젠스(주),2014.0,코드네이처(주)
383,2016,램테크놀러지(주),2014.0,코스모신소재(주)
384,2013,롯데관광개발(주),2015.0,코스모화학(주)
385,2015,롯데정밀화학(주),2019.0,코아스템(주)
386,2019,마이크로로봇(주),2014.0,큐렉소(주)
387,2012,메디앙스(주),2017.0,크로바하이텍(주)
388,2014,메디포스트(주),2017.0,크루셜텍(주)
389,2014,명문제약(주),2014.0,크리스탈지노믹스(주)
390,2015,미래나노텍(주),2015.0,테라사이언스(주)
391,2013,미래산업(주),2014.0,티케이지애강(주)
392,2013,바이온(주),2014.0,팜젠사이언스(주)
393,2013,범양건영(주),2019.0,퍼스텍(주)
394,2013,베뉴지(주),2016.0,페이퍼코리아(주)
395,2018,보성파워텍(주),2016.0,평화산업(주)
396,2018,보해양조(주),2014.0,평화홀딩스(주)
397,2014,비케이탑스(주),2018.0,한국전력공사(주)
398,2013,사조동아원(주),2015.0,한국정밀기계(주)
399,2019,삼강엠앤티(주),2014.0,한국화장품(주)
400,2018,삼보산업(주),2014.0,한솔테크닉스(주)
401,2013,삼부토건(주),2014.0,한올바이오파마(주)
402,2017,삼성제약(주),2014.0,한일철강(주)
403,2017,삼성중공업(주),2016.0,현대바이오사이언스(주)
404,2015,삼영화학공업(주),2018.0,휴림로봇(주)
405,2013,삼일제약(주),2017.0,휴마시스(주)
406,2019,삼천리자전거(주),2019.0,흥아해운(주)
407,2013,삼화전자공업(주),,
408,2013,서울전자통신(주),,
409,2014,성문전자(주),,
410,2012,성우테크론(주),,
411,2014,성창기업지주(주),,
412,2014,성호전자(주),,
413,2013,세기상사(주),,
414,2013,세원이앤씨(주),,
415,2013,세종텔레콤(주),,
416,2016,소니드(주),,
417,2018,신라젠(주),,
418,2018,신송홀딩스(주),,
419,2013,신풍제지(주),,
420,2013,쌍용자동차(주),,
421,2016,쌍용정보통신(주),,
422,2013,써니전자(주),,
423,2018,씨비아이(주),,
424,2014,씨앤티85(주),,
425,2013,아남전자(주),,
426,2012,아비코전자(주),,
427,2015,아시아나항공(주),,
428,2017,아이진(주),,
429,2011,애머릿지코퍼레이션,,
430,2014,에스디엔(주),,
431,2016,에스맥(주),,
432,2017,에스비더블유생명과학(주),,
433,2018,에스지씨에너지(주),,
434,2019,에스지에이(주),,
435,2013,에쓰씨엔지니어링(주),,
436,2019,에이비엘바이오(주),,
437,2015,에이치에스디엔진(주),,
438,2013,에이치엘비(주),,
439,2013,에이치엘비글로벌(주),,
440,2013,에이치엘비생명과학(주),,
441,2017,에이치엘비제약(주),,
442,2013,에이치엘비테라퓨틱스(주),,
443,2013,에이치엠엠(주),,
444,2013,에이프로젠제약(주),,
445,2019,에이피에스홀딩스(주),,
446,2018,에코바이오홀딩스(주),,
447,2016,엑스큐어(주),,
448,2014,엔시트론(주),,
449,2013,엘컴텍(주),,
450,2011,오성첨단소재(주),,
451,2019,올릭스(주),,
452,2018,우리바이오(주),,
453,2018,우리엔터프라이즈(주),,
454,2017,우진비앤지(주),,
455,2018,웰바이오텍(주),,
456,2013,유니슨(주),,
457,2012,유진기업(주),,
458,2013,이구산업(주),,
459,2017,이노시스(주),,
460,2018,이엠코리아(주),,
461,2014,이원컴포텍(주),,
462,2016,이트론(주),,
463,2014,이화산업(주),,
464,2013,이화전기공업(주),,
465,2013,인선이엔티(주),,
466,2018,인화정공(주),,
467,2018,일동홀딩스(주),,
468,2014,일양약품(주),,
469,2019,일정실업(주),,
470,2014,일진머티리얼즈(주),,
471,2011,재영솔루텍(주),,
472,2013,전방(주),,
473,2018,제너셈(주),,
474,2014,제이더블유신약(주),,
475,2012,제이더블유홀딩스(주),,
476,2013,제이스코홀딩스(주),,
477,2013,제이엠아이(주),,
478,2013,제이준코스메틱(주),,
479,2016,조아제약(주),,
480,2016,조일알미늄(주),,
481,2013,주성엔지니어링(주),,
482,2018,줌인터넷(주),,
483,2016,지나인제약(주),,
484,2016,지엘팜텍(주),,
485,2017,진양제약(주),,
486,2019,진양화학(주),,
487,2016,참존글로벌(주),,
488,2018,커머스마이너 (주),,
489,2013,컨버즈(주),,
490,2019,케이비아이동국실업(주),,
491,2015,케이씨코트렐(주),,
492,2014,케이알모터스(주),,
493,2016,케이엠제약(주),,
494,2018,코나아이(주),,
495,2013,코드네이처(주),,
496,2012,코스모신소재(주),,
497,2014,코스모화학(주),,
498,2018,코아스템(주),,
499,2014,코오롱글로벌(주),,
500,2019,코오롱생명과학(주),,
501,2019,코오롱티슈진(주),,
502,2013,큐렉소(주),,
503,2015,크로바하이텍(주),,
504,2014,크루셜텍(주),,
505,2013,크리스탈지노믹스(주),,
506,2014,테라사이언스(주),,
507,2018,티와이엠(주),,
508,2013,티케이지애강(주),,
509,2019,파나케이아(주),,
510,2013,팜젠사이언스(주),,
511,2013,팬오션(주),,
512,2018,퍼스텍(주),,
513,2015,페이퍼코리아(주),,
514,2015,평화산업(주),,
515,2013,평화홀딩스(주),,
516,2013,포스코스틸리온(주),,
517,2013,한국전력공사(주),,
518,2014,한국정밀기계(주),,
519,2018,한국정보공학(주),,
520,2019,한국주강(주),,
521,2011,한국철강(주),,
522,2013,한국화장품(주),,
523,2013,한솔테크닉스(주),,
